k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,1106113613,0,3020285577,1.0,0.2681,0.4228
2,0.007874,1106113613,0,3020285577,1.0,0.2681,0.4228
3,0.011811,1106113613,0,3020285577,1.0,0.2681,0.4228
4,0.015748,1106113537,76,3020280284,1.0,0.2681,0.4228
5,0.019685,1106101968,11645,3019971116,1.0,0.2681,0.4228
6,0.023622,1105939347,174266,3016621593,0.9998,0.2683,0.423
7,0.027559,1105135669,977944,3001736778,0.9991,0.2691,0.424
8,0.031496,1103158819,2954794,2964829640,0.9973,0.2712,0.4264
9,0.035433,1099644377,6469236,2897908034,0.9942,0.2751,0.4309
10,0.03937,1094685991,11427622,2795634796,0.9897,0.2814,0.4382
11,0.043307,1088360397,17753216,2632015953,0.9839,0.2925,0.451
12,0.047244,1080471628,25641985,2361605720,0.9768,0.3139,0.4751
13,0.051181,1071462918,34650695,2021530612,0.9687,0.3464,0.5103
14,0.055118,1060870791,45242822,1666271822,0.9591,0.389,0.5535
15,0.059055,1049052822,57060791,1353801289,0.9484,0.4366,0.5979
16,0.062992,1036347860,69765753,1103822786,0.9369,0.4842,0.6385
17,0.066929,1023128202,82985411,917030129,0.925,0.5273,0.6717
18,0.070866,1009559845,96553768,782051700,0.9127,0.5635,0.6968
19,0.074803,995138658,110974955,678555868,0.8997,0.5946,0.716
20,0.07874,980381342,125732271,599498877,0.8863,0.6205,0.73
21,0.082677,964862332,141251281,534974011,0.8723,0.6433,0.7405
22,0.086614,948686277,157427336,480752498,0.8577,0.6637,0.7483
23,0.090551,932568764,173544849,436102101,0.8431,0.6814,0.7537
24,0.094488,916027339,190086274,397346161,0.8281,0.6975,0.7572
25,0.098425,898446317,207667296,362094350,0.8123,0.7127,0.7593
26,0.102362,880721369,225392244,331545624,0.7962,0.7265,0.7598
27,0.106299,863297240,242816373,305286846,0.7805,0.7388,0.759
28,0.110236,846807112,259306501,283258243,0.7656,0.7493,0.7574
