epoch,eff_cm,kind,diam_lo_m,diam_hi_m,n_bracketed,n_detected,recall,px_per_crown_at_eff_gsd
2011s,38.1,bin,0,2,115,96,0.8348,5.4
2011s,38.1,bin,2,3,933,829,0.8885,33.8
2011s,38.1,bin,3,4,2707,2421,0.8943,66.3
2011s,38.1,bin,4,5,5911,5429,0.9185,109.6
2011s,38.1,bin,5,6,10383,9707,0.9349,163.7
2011s,38.1,bin,6,8,31260,29770,0.9523,265.1
2011s,38.1,bin,8,10,34732,33515,0.965,438.3
2011s,38.1,bin,10,14,55386,54199,0.9786,779.1
2011s,38.1,bin,14,,28278,28059,0.9923,1388029.9
2011s,38.1,cumulative_ge,0,,169705,164025,0.9665,
2011s,38.1,cumulative_ge,2,,169590,163929,0.9666,
2011s,38.1,cumulative_ge,3,,168657,163100,0.9671,
2011s,38.1,cumulative_ge,4,,165950,160679,0.9682,
2011s,38.1,cumulative_ge,5,,160039,155250,0.9701,
2011s,38.1,cumulative_ge,6,,149656,145543,0.9725,
2011s,38.1,cumulative_ge,8,,118396,115773,0.9778,
2011s,38.1,cumulative_ge,10,,83664,82258,0.9832,
2011s,38.1,cumulative_ge,14,,28278,28059,0.9923,
2013,13.2,bin,0,2,94,89,0.9468,45.1
2013,13.2,bin,2,3,793,727,0.9168,281.7
2013,13.2,bin,3,4,2272,2154,0.9481,552.2
2013,13.2,bin,4,5,5158,4933,0.9564,912.8
2013,13.2,bin,5,6,9200,8910,0.9685,1363.5
2013,13.2,bin,6,8,28563,27913,0.9772,2208.7
2013,13.2,bin,8,10,32877,32398,0.9854,3651.1
2013,13.2,bin,10,14,53899,53460,0.9919,6490.9
2013,13.2,bin,14,,27982,27906,0.9973,11563809.2
2013,13.2,cumulative_ge,0,,160838,158490,0.9854,
2013,13.2,cumulative_ge,2,,160744,158401,0.9854,
2013,13.2,cumulative_ge,3,,159951,157674,0.9858,
2013,13.2,cumulative_ge,4,,157679,155520,0.9863,
2013,13.2,cumulative_ge,5,,152521,150587,0.9873,
2013,13.2,cumulative_ge,6,,143321,141677,0.9885,
2013,13.2,cumulative_ge,8,,114758,113764,0.9913,
2013,13.2,cumulative_ge,10,,81881,81366,0.9937,
2013,13.2,cumulative_ge,14,,27982,27906,0.9973,
2015,13.7,bin,0,2,116,87,0.75,41.8
2015,13.7,bin,2,3,953,735,0.7712,261.5
2015,13.7,bin,3,4,2766,2135,0.7719,512.6
2015,13.7,bin,4,5,6092,4887,0.8022,847.4
2015,13.7,bin,5,6,10735,8814,0.8211,1265.8
2015,13.7,bin,6,8,32559,27834,0.8549,2050.4
2015,13.7,bin,8,10,36222,32371,0.8937,3389.5
2015,13.7,bin,10,14,57159,53429,0.9347,6025.8
2015,13.7,bin,14,,28760,27896,0.97,10735138.4
2015,13.7,cumulative_ge,0,,175362,158188,0.9021,
2015,13.7,cumulative_ge,2,,175246,158101,0.9022,
2015,13.7,cumulative_ge,3,,174293,157366,0.9029,
2015,13.7,cumulative_ge,4,,171527,155231,0.905,
2015,13.7,cumulative_ge,5,,165435,150344,0.9088,
2015,13.7,cumulative_ge,6,,154700,141530,0.9149,
2015,13.7,cumulative_ge,8,,122141,113696,0.9309,
2015,13.7,cumulative_ge,10,,85919,81325,0.9465,
2015,13.7,cumulative_ge,14,,28760,27896,0.97,
2016,35.4,bin,0,2,108,86,0.7963,6.3
2016,35.4,bin,2,3,787,690,0.8767,39.2
2016,35.4,bin,3,4,2305,2052,0.8902,76.8
2016,35.4,bin,4,5,5283,4801,0.9088,126.9
2016,35.4,bin,5,6,9362,8682,0.9274,189.6
2016,35.4,bin,6,8,29303,27717,0.9459,307.1
2016,35.4,bin,8,10,33779,32385,0.9587,507.7
2016,35.4,bin,10,14,54791,53389,0.9744,902.5
2016,35.4,bin,14,,28137,27854,0.9899,1607837.9
2016,35.4,cumulative_ge,0,,163855,157656,0.9622,
2016,35.4,cumulative_ge,2,,163747,157570,0.9623,
2016,35.4,cumulative_ge,3,,162960,156880,0.9627,
2016,35.4,cumulative_ge,4,,160655,154828,0.9637,
2016,35.4,cumulative_ge,5,,155372,150027,0.9656,
2016,35.4,cumulative_ge,6,,146010,141345,0.9681,
2016,35.4,cumulative_ge,8,,116707,113628,0.9736,
2016,35.4,cumulative_ge,10,,82928,81243,0.9797,
2016,35.4,cumulative_ge,14,,28137,27854,0.9899,
2019,12.6,bin,0,2,120,100,0.8333,49.5
2019,12.6,bin,2,3,987,831,0.8419,309.2
2019,12.6,bin,3,4,2780,2423,0.8716,606.0
2019,12.6,bin,4,5,6223,5649,0.9078,1001.8
2019,12.6,bin,5,6,10990,10175,0.9258,1496.5
2019,12.6,bin,6,8,33267,31736,0.954,2424.1
2019,12.6,bin,8,10,36760,35876,0.976,4007.1
2019,12.6,bin,10,14,57295,56626,0.9883,7123.8
2019,12.6,bin,14,,28558,28428,0.9954,12691346.2
2019,12.6,cumulative_ge,0,,176980,171844,0.971,
2019,12.6,cumulative_ge,2,,176860,171744,0.9711,
2019,12.6,cumulative_ge,3,,175873,170913,0.9718,
2019,12.6,cumulative_ge,4,,173093,168490,0.9734,
2019,12.6,cumulative_ge,5,,166870,162841,0.9759,
2019,12.6,cumulative_ge,6,,155880,152666,0.9794,
2019,12.6,cumulative_ge,8,,122613,120930,0.9863,
2019,12.6,cumulative_ge,10,,85853,85054,0.9907,
2019,12.6,cumulative_ge,14,,28558,28428,0.9954,
2021,12.6,bin,0,2,99,82,0.8283,49.5
2021,12.6,bin,2,3,850,768,0.9035,309.2
2021,12.6,bin,3,4,2513,2286,0.9097,606.0
2021,12.6,bin,4,5,5961,5449,0.9141,1001.8
2021,12.6,bin,5,6,10689,9891,0.9253,1496.5
2021,12.6,bin,6,8,33059,31427,0.9506,2424.1
2021,12.6,bin,8,10,36516,35547,0.9735,4007.1
2021,12.6,bin,10,14,56236,55661,0.9898,7123.8
2021,12.6,bin,14,,27774,27683,0.9967,12691346.2
2021,12.6,cumulative_ge,0,,173697,168794,0.9718,
2021,12.6,cumulative_ge,2,,173598,168712,0.9719,
2021,12.6,cumulative_ge,3,,172748,167944,0.9722,
2021,12.6,cumulative_ge,4,,170235,165658,0.9731,
2021,12.6,cumulative_ge,5,,164274,160209,0.9753,
2021,12.6,cumulative_ge,6,,153585,150318,0.9787,
2021,12.6,cumulative_ge,8,,120526,118891,0.9864,
2021,12.6,cumulative_ge,10,,84010,83344,0.9921,
2021,12.6,cumulative_ge,14,,27774,27683,0.9967,
2009,26.1,conditional_cover,,,137901,,0.9712,
2011s,38.1,conditional_cover,,,137901,,0.978,
2013,13.2,conditional_cover,,,137901,,0.982,
2015,13.7,conditional_cover,,,137901,,0.9699,
2016,35.4,conditional_cover,,,137901,,0.9845,
2019,12.6,conditional_cover,,,137901,,0.9819,
2021,12.6,conditional_cover,,,137901,,0.9926,
2024,6.8,conditional_cover,,,137901,,0.9707,
