part,band_lo_m,band_hi_m,recall,called,missed,edge_width_m
interior,2,5,0.2914,188154,457497,2.0
interior,5,10,0.5254,1154822,1043067,2.0
interior,10,15,0.7121,1668887,674580,2.0
interior,15,20,0.8303,2233442,456593,2.0
interior,20,25,0.8967,2568391,295959,2.0
interior,25,30,0.9284,2474656,190890,2.0
interior,30,100,0.9567,4821508,218338,2.0
edge,0,2,0.1604,723,3784,2.0
edge,2,5,0.0958,50307,475043,2.0
edge,5,10,0.1982,200290,810329,2.0
edge,10,15,0.3347,231710,460480,2.0
edge,15,20,0.4452,223691,278770,2.0
edge,20,25,0.5223,182836,167227,2.0
edge,25,30,0.5617,133972,104536,2.0
edge,30,100,0.6235,160447,96891,2.0
