part,band_lo_m,band_hi_m,recall,called,missed,edge_width_m
interior,2,5,0.2307,196788,656070,2.0
interior,5,10,0.4758,1140831,1256790,2.0
interior,10,15,0.6938,1567707,691797,2.0
interior,15,20,0.8495,2160210,382675,2.0
interior,20,25,0.9338,2519465,178511,2.0
interior,25,30,0.9714,2454474,72265,2.0
interior,30,100,0.9929,4782350,34277,2.0
edge,0,2,0.0704,675,8909,2.0
edge,2,5,0.0568,37757,627169,2.0
edge,5,10,0.1427,146158,878054,2.0
edge,10,15,0.2739,163792,434152,2.0
edge,15,20,0.4142,170981,241825,2.0
edge,20,25,0.5446,163611,136828,2.0
edge,25,30,0.6692,141605,69999,2.0
edge,30,100,0.8002,197062,49217,2.0
