#param,value
#ref,D:\edmonds-pipeline\Imagery\ccap_2016_hires_lc.tif
#prob,G:\My Drive\treedata\phase4\masks\edmonds_canopy_prob_2013_citywide_rgb.tif
#thresh,0.5
#forest_codes,9 10 11
#stable_with,
#denominator,full_forest
#chm,D:\edmonds-pipeline\Imagery\lidar_snoh_chm.tif

metric,tp_mean,tp_std,fn_mean,fn_std,delta,n_tp,n_fn
prob,0.6808,0.0725,0.1917,0.116,-0.489,832907181,339111614
R,76.9151,41.5966,83.4727,51.8366,6.5576,832907181,339111614
G,84.6927,41.1159,83.7942,47.9979,-0.8986,832907181,339111614
B,53.2145,26.6648,66.482,38.9629,13.2675,832907181,339111614
brightness,71.6074,35.6808,77.9163,45.2895,6.3088,832907181,339111614
saturation,0.4118,0.1526,0.322,0.182,-0.0898,832907181,339111614
NDVI,nan,nan,nan,nan,nan,0,0
GRVI,0.0838,0.1139,0.0415,0.1223,-0.0422,832907181,339111614
height_m,23.7062,10.4564,11.4004,8.0217,-12.3058,832907181,339111614

forest_px,1172018795,tp,832907181,fn,339111614,recall,0.7107,indep_cells,26121748,denominator,full_forest
