#param,value
#ref,D:\edmonds-pipeline\Imagery\ccap_2016_hires_lc.tif
#prob,G:\My Drive\treedata\phase4\masks\edmonds_canopy_prob_2016.tif
#thresh,0.4615
#forest_codes,9 10 11
#stable_with,
#denominator,full_forest
#chm,D:\edmonds-pipeline\Imagery\lidar_snoh_chm.tif

metric,tp_mean,tp_std,fn_mean,fn_std,delta,n_tp,n_fn
prob,0.7079,0.0864,0.1251,0.1148,-0.5828,268789495,125272355
R,52.9547,33.0404,58.6611,49.1614,5.7064,268789495,125272355
G,76.821,37.226,70.881,43.4042,-5.9399,268789495,125272355
B,69.5691,16.7002,76.0874,29.1336,6.5183,268789495,125272355
brightness,66.4483,28.4994,68.5432,39.8867,2.0949,268789495,125272355
saturation,0.4351,0.148,0.4307,0.2006,-0.0045,268789495,125272355
NDVI,0.5684,0.1555,0.3493,0.2572,-0.2191,268789495,125272355
GRVI,0.2183,0.0883,0.1651,0.1248,-0.0531,268789495,125272355
height_m,23.8128,10.3991,11.8021,8.2902,-12.0107,268789495,125272355

forest_px,394061850,tp,268789495,fn,125272355,recall,0.6821,indep_cells,9152423,denominator,full_forest
