rank,lon,lat,missed_px,forest_px,fn_frac
1,-122.364521,47.778905,64616,64627,0.9998
2,-122.330532,47.829176,62265,65278,0.9538
3,-122.336369,47.801971,61539,65536,0.939
4,-122.348042,47.788825,61302,63876,0.9597
5,-122.331219,47.813961,60953,65536,0.9301
6,-122.329502,47.809581,60135,63723,0.9437
7,-122.366581,47.781212,59769,60874,0.9818
8,-122.378597,47.789748,59439,61488,0.9667
9,-122.371731,47.783519,58786,60060,0.9788
10,-122.336712,47.796206,57495,65443,0.8786
11,-122.342548,47.795283,57215,65535,0.873
12,-122.345982,47.802663,56053,63430,0.8837
