ts,year,tag,prob_name,thresh,n_windows_scored,n_windows_skipped,pooled_tp,pooled_fn,pooled_fp,pooled_recall,pooled_precision,pooled_iou,git_sha,note
2026-08-25 09:34:03,2016,,edmonds_canopy_prob_2016.tif,0.509,10,2,17775243,5887151,2440689,0.7512,0.8793,0.681,2288159-dirty,E07 baseline; ccap=ccap_2016_hires_lc.tif; ndvi=ndvi_ref_2016.tif; thr_dn=130; report_only_v1
2026-08-25 09:34:42,2016,,edmonds_canopy_prob_2016.tif,0.509,10,2,17775243,5887151,2440689,0.7512,0.8793,0.681,2288159-dirty,E07 sweep; ccap=ccap_2016_hires_lc.tif; ndvi=ndvi_ref_2016.tif; thr_dn=130; report_only_v1
2026-08-25 09:35:28,2016,corrected,edmonds_canopy_prob_2016_corrected.tif,0.509,10,2,20808483,2853911,5343744,0.8794,0.7957,0.7174,2288159-dirty,E07 sweep; ccap=ccap_2016_hires_lc.tif; ndvi=ndvi_ref_2016.tif; thr_dn=130; report_only_v1
2026-08-25 09:35:45,2019n,p2nir,edmonds_canopy_prob_2019n_p2nir.tif,0.495,12,0,1371978,327767,75628,0.8072,0.9478,0.7728,2288159-dirty,E07 sweep; ccap=ccap_2021_hires_lc.tif; ndvi=ndvi_ref_2019n.tif; thr_dn=126; report_only_v1
2026-08-25 09:36:27,2021s,p2nir,edmonds_canopy_prob_2021s_p2nir.tif,0.499,10,2,17405289,6102083,1902817,0.7404,0.9014,0.685,2288159-dirty,E07 sweep; ccap=ccap_2021_hires_lc.tif; ndvi=ndvi_ref_2021s.tif; thr_dn=127; report_only_v1
2026-08-25 09:36:40,2023n,,edmonds_canopy_prob_2023n.tif,0.404,12,0,1286220,347209,82435,0.7874,0.9398,0.7496,2288159-dirty,E07 sweep; ccap=ccap_2021_hires_lc.tif; ndvi=ndvi_ref_2023n.tif; thr_dn=103; report_only_v1
2026-08-25 09:38:00,2023n,,edmonds_canopy_prob_2023n.tif,0.404,12,0,1286220,347209,82435,0.7874,0.9398,0.7496,617c478-dirty,E07 validation rerun; ccap=ccap_2021_hires_lc.tif; ndvi=ndvi_ref_2023n.tif; thr_dn=103; report_only_v1
2026-08-25 17:28:08,2016,,edmonds_canopy_prob_2016.tif,0.509,10,2,17775243,5887151,2440689,0.7512,0.8793,0.681,37bdb6b,post-fullext sweep; ccap=ccap_2016_hires_lc.tif; ndvi=ndvi_ref_2016.tif; thr_dn=130; report_only_v1
2026-08-25 17:28:20,2016,corrected,edmonds_canopy_prob_2016_corrected.tif,0.509,10,2,20808483,2853911,5343744,0.8794,0.7957,0.7174,37bdb6b,post-fullext sweep; ccap=ccap_2016_hires_lc.tif; ndvi=ndvi_ref_2016.tif; thr_dn=130; report_only_v1
2026-08-25 17:28:23,2016,fullext_sectors_v1,edmonds_canopy_prob_2016_fullext_sectors_v1.tif,0.5223,1,11,629169,160213,25065,0.797,0.9617,0.7725,37bdb6b,post-fullext sweep; ccap=ccap_2016_hires_lc.tif; ndvi=ndvi_ref_2016.tif; thr_dn=133; report_only_v1
2026-08-25 17:28:32,2019n,p2nir,edmonds_canopy_prob_2019n_p2nir.tif,0.495,12,0,1371978,327767,75628,0.8072,0.9478,0.7728,37bdb6b,post-fullext sweep; ccap=ccap_2021_hires_lc.tif; ndvi=ndvi_ref_2019n.tif; thr_dn=126; report_only_v1
2026-08-25 17:28:41,2021s,fullext_sectors_v1,edmonds_canopy_prob_2021s_fullext_sectors_v1.tif,0.5,1,11,2560870,499167,113996,0.8369,0.9574,0.8068,37bdb6b,post-fullext sweep; ccap=ccap_2021_hires_lc.tif; ndvi=ndvi_ref_2021s.tif; thr_dn=127; report_only_v1
2026-08-25 17:28:58,2021s,p2nir,edmonds_canopy_prob_2021s_p2nir.tif,0.499,10,2,17405289,6102083,1902817,0.7404,0.9014,0.685,37bdb6b,post-fullext sweep; ccap=ccap_2021_hires_lc.tif; ndvi=ndvi_ref_2021s.tif; thr_dn=127; report_only_v1
2026-08-25 17:29:03,2023n,,edmonds_canopy_prob_2023n.tif,0.404,12,0,1286220,347209,82435,0.7874,0.9398,0.7496,37bdb6b,post-fullext sweep; ccap=ccap_2021_hires_lc.tif; ndvi=ndvi_ref_2023n.tif; thr_dn=103; report_only_v1
