prefix,encoder,warm_start,treatment,ref,quantity,year,value,n_years,years,floor,flag,note
t1,resnet101,p3_ckpt,base,ccap_2016_hires_lc.tif,h1_premise,,0.1150,3,"2006s,2011s,2016",0.0069,INCOMPLETE,EXP-H1 K1 at 2xfloor 0.014
t1,resnet101,p3_ckpt,base,ccap_2016_hires_lc.tif,recall,2006s,0.6695,,,0.0069,,
t1,resnet101,p3_ckpt,base,ccap_2016_hires_lc.tif,recall,2011s,0.7845,,,0.0069,,
t1,resnet101,p3_ckpt,base,ccap_2016_hires_lc.tif,recall,2016,0.7207,,,0.0069,,
t1,resnet101,p3_ckpt,base,ccap_2016_hires_lc.tif,spread,,0.1150,3,"2006s,2011s,2016",0.0069,INCOMPLETE,max-min over the years listed
t1,resnet101,p3_ckpt,base,ccap_2016_hires_lc.tif|ccap_2021_hires_lc.tif,ref_epoch_share,,0.1821,3,"2006s,2011s,2016",0.0069,,1 - s2016/s2021 on the common years; cut 0.4
t1,resnet101,p3_ckpt,base,ccap_2021_hires_lc.tif,h1_premise,,0.1406,5,"2006s,2011s,2016,2019n,2020",0.0069,SPREAD EXCEEDS 2xFLOOR,EXP-H1 K1 at 2xfloor 0.014
t1,resnet101,p3_ckpt,base,ccap_2021_hires_lc.tif,recall,2006s,0.5847,,,0.0069,,
t1,resnet101,p3_ckpt,base,ccap_2021_hires_lc.tif,recall,2011s,0.7253,,,0.0069,,
t1,resnet101,p3_ckpt,base,ccap_2021_hires_lc.tif,recall,2016,0.6693,,,0.0069,,
t1,resnet101,p3_ckpt,base,ccap_2021_hires_lc.tif,recall,2019n,0.6749,,,0.0069,,
t1,resnet101,p3_ckpt,base,ccap_2021_hires_lc.tif,recall,2020,0.6402,,,0.0069,,
t1,resnet101,p3_ckpt,base,ccap_2021_hires_lc.tif,spread,,0.1406,5,"2006s,2011s,2016,2019n,2020",0.0069,,max-min over the years listed
t1,resnet101,p3_ckpt,in05,ccap_2016_hires_lc.tif,recall,2006s,0.7048,,,0.0069,,
t1,resnet101,p3_ckpt,in05,ccap_2016_hires_lc.tif,recall,2011s,0.8023,,,0.0069,,
t1,resnet101,p3_ckpt,in05,ccap_2016_hires_lc.tif,recall,2016,0.7874,,,0.0069,,
