unit_id,blind_order,is_control,stratum_id,stratum_name,tier,gap_left_yr,gap_right_yr,gap_years,gap_bucket,size_class,bracket_years,epoch_prev,epoch_filled,epoch_next,x,y,epsg,row,col,n_cells,area_m2,equiv_diam_m,control_flank,adjudicable,adjudicator,adjudicator_dyear,adjudicate,present_in_filled_epoch,notes
F2015_03204_01054,1,0,6,HEAL|1-2|6-8,HEAL,2,1,2,1-2,6-8,3,2013,2015,2016,547197.0,5294509.0,26910,3204,1054,12,48.0,7.82,,1,lidar_chm2_2016_50cm,-1,1,,
F2019_02865_02030,2,0,68,BLIND|3|5-6,BLIND,3,2,3,3,5-6,5,2016,2019,2021,549149.0,5295187.0,26910,2865,2030,7,28.0,5.97,,0,,,0,,
C2021_03317_00705,3,1,69,BLIND|3|6-8,BLIND,2,3,3,3,6-8,5,2019,2021,2024,546499.0,5294283.0,26910,3317,705,12,48.0,7.82,prev,0,,,0,,
F2015_01388_01488,4,0,7,HEAL|1-2|8-10,HEAL,2,1,2,1-2,8-10,3,2013,2015,2016,548065.0,5298141.0,26910,1388,1488,15,60.0,8.74,,1,lidar_chm2_2016_50cm,-1,0,,
C2019_03925_00916,5,1,69,BLIND|3|6-8,BLIND,3,2,3,3,6-8,5,2016,2019,2021,546921.0,5293067.0,26910,3925,916,8,32.0,6.38,next,0,,,0,,
F2019_01520_02498,6,0,71,BLIND|3|10-14,BLIND,3,2,3,3,10-14,5,2016,2019,2021,550085.0,5297877.0,26910,1520,2498,21,84.0,10.34,,0,,,0,,
F2016_03395_01204,7,0,70,BLIND|3|8-10,BLIND,1,3,3,3,8-10,4,2015,2016,2019,547497.0,5294127.0,26910,3395,1204,14,56.0,8.44,,1,lidar_chm2_2016_50cm,0,0,,
F2015_04491_01245,8,0,6,HEAL|1-2|6-8,HEAL,2,1,2,1-2,6-8,3,2013,2015,2016,547579.0,5291935.0,26910,4491,1245,11,44.0,7.48,,1,lidar_chm2_2016_50cm,-1,1,,
F2015_02537_02178,9,0,5,HEAL|1-2|5-6,HEAL,2,1,2,1-2,5-6,3,2013,2015,2016,549445.0,5295843.0,26910,2537,2178,7,28.0,5.97,,1,lidar_chm2_2016_50cm,-1,0,,
C2019_01772_01341,10,1,69,BLIND|3|6-8,BLIND,3,2,3,3,6-8,5,2016,2019,2021,547771.0,5297373.0,26910,1772,1341,8,32.0,6.38,next,0,,,0,,
C2013_04298_01780,11,1,7,HEAL|1-2|8-10,HEAL,2,2,2,1-2,8-10,4,2011s,2013,2015,548649.0,5292321.0,26910,4298,1780,14,56.0,8.44,prev,0,,,0,,
F2016_02679_00915,12,0,69,BLIND|3|6-8,BLIND,1,3,3,3,6-8,4,2015,2016,2019,546919.0,5295559.0,26910,2679,915,8,32.0,6.38,,1,lidar_chm2_2016_50cm,0,1,,
C2015_01947_01362,13,1,5,HEAL|1-2|5-6,HEAL,2,1,2,1-2,5-6,3,2013,2015,2016,547813.0,5297023.0,26910,1947,1362,7,28.0,5.97,next,1,lidar_chm2_2016_50cm,-1,1,,
