unit_id,blind_order,is_control,stratum_id,stratum_name,tier,gap_left_yr,gap_right_yr,gap_years,gap_bucket,size_class,bracket_years,epoch_prev,epoch_filled,epoch_next,x,y,epsg,row,col,n_cells,area_m2,equiv_diam_m,control_flank,adjudicable,adjudicator,adjudicator_dyear,adjudicate,present_in_filled_epoch,notes
F2017_02255_00798,1,0,33,REVIEW|1-2|6-8,REVIEW,1,2,2,1-2,6-8,3,2016,2017,2019,546685.0,5296407.0,26910,2255,798,8,32.0,6.38,,0,,,0,,
F2022_01424_02019,2,0,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2021,2022,2023,549127.0,5298069.0,26910,1424,2019,14,56.0,8.44,,0,,,0,,
C2023_03146_01888,3,1,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2022,2023,2024,548865.0,5294625.0,26910,3146,1888,9,36.0,6.77,prev,0,,,0,,
F2016_01567_01444,4,0,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2015,2016,2017,547977.0,5297783.0,26910,1567,1444,17,68.0,9.3,,1,lidar_chm2_2016_50cm,0,1,,
C2022_02233_01484,5,1,35,REVIEW|1-2|10-14,REVIEW,1,1,1,1-2,10-14,2,2021,2022,2023,548057.0,5296451.0,26910,2233,1484,25,100.0,11.28,prev,0,,,0,,
F2020_02675_01551,6,0,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2019,2020,2021,548191.0,5295567.0,26910,2675,1551,8,32.0,6.38,,0,,,0,,
F2020_01012_01772,7,0,32,REVIEW|1-2|5-6,REVIEW,1,1,1,1-2,5-6,2,2019,2020,2021,548633.0,5298893.0,26910,1012,1772,7,28.0,5.97,,0,,,0,,
F2017_03197_02274,8,0,35,REVIEW|1-2|10-14,REVIEW,1,2,2,1-2,10-14,3,2016,2017,2019,549637.0,5294523.0,26910,3197,2274,20,80.0,10.09,,1,lidar_chm2_2016_50cm,1,1,,
F2016_04484_01740,9,0,32,REVIEW|1-2|5-6,REVIEW,1,1,1,1-2,5-6,2,2015,2016,2017,548569.0,5291949.0,26910,4484,1740,7,28.0,5.97,,1,lidar_chm2_2016_50cm,0,1,,
C2020_03333_01645,10,1,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2019,2020,2021,548379.0,5294251.0,26910,3333,1645,9,36.0,6.77,next,0,,,0,,
C2016_02282_01218,11,1,36,REVIEW|1-2|14+,REVIEW,1,1,1,1-2,14+,2,2015,2016,2017,547525.0,5296353.0,26910,2282,1218,42,168.0,14.63,prev,1,lidar_chm2_2016_50cm,0,0,,
F2020_00326_02452,12,0,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2019,2020,2021,549993.0,5300265.0,26910,326,2452,8,32.0,6.38,,0,,,0,,
