fill_id,epoch,prev_epoch,next_epoch,tier,k,gap_years,dt_left_yr,dt_right_yr,dt_basis,n_cells,area_m2,crown_id,crown_diam_m,size_class,crown_cells,fill_cells_in_crown,fill_share_of_crown,crown_cover_raw,p_t_list,p_t_source,miss_product,epsilon_interval,epsilon_interval_next,gamma_interval_colonisation,gamma_interval_emptysite,lambda_colonisation,lambda_colonisation_emptysite,lambda_rule,log10_lambda_colonisation,log10_lambda_rule,posterior_fill_colonisation,posterior_fill_colonisation_emptysite,posterior_fill_rule
2011s#5_2357,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,11,44.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#7_2479,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#9_2450,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,12,48.0,225,17.54,14+,25,1,0.04,0.96,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#10_2437,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#77_2467,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,114,456.0,2175,11.19,10-14,9,9,1.0,0.0,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#83_2481,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,16,64.0,2184,13.24,10-14,17,1,0.059,0.941,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#85_2519,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,16,64.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#103_2425,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,3881,13.01,10-14,15,7,0.467,0.267,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#105_2453,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,3884,7.12,6-8,5,4,0.8,0.2,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#115_2462,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#119_2421,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,3933,9.5,8-10,8,1,0.125,0.875,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#120_2430,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,14,56.0,3939,10.05,10-14,7,3,0.429,0.571,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#125_2479,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#132_2385,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,16,64.0,3728,8.39,8-10,8,6,0.75,0.25,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#132_2391,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,3733,14.41,14+,17,4,0.235,0.706,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#134_2470,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,3575,16.54,14+,25,1,0.04,0.96,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#141_2388,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,29,116.0,4961,15.19,14+,20,7,0.35,0.65,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#142_2507,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,11,44.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#143_2348,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,17,68.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#149_2492,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,14,56.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#150_2511,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,16,64.0,4922,5.88,5-6,4,4,1.0,0.0,0.9349,2011s|bin|5-6,0.0651,0.008764,0.008764,0.0004121,0.0009761,17710.5,7477.62,36.494,4.2482,1.5622,0.99994354,0.99986629,0.97332908
2011s#158_2390,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,5004,8.54,8-10,6,6,1.0,0.0,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#160_2349,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,18,72.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#163_2359,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,70,280.0,5012,13.78,10-14,18,13,0.722,0.278,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#165_2392,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,11,44.0,5016,5.48,5-6,3,2,0.667,0.333,0.9349,2011s|bin|5-6,0.0651,0.008764,0.008764,0.0004121,0.0009761,17710.5,7477.62,36.494,4.2482,1.5622,0.99994354,0.99986629,0.97332908
2011s#171_2652,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,5351,7.81,6-8,5,4,0.8,0.0,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
