point_id,label,terminal_absent_epochs,terminal_laundered,terminal_censored,raw_trajectory,healed_trajectory,n_epochs_touched,epochs_touched,tiers_touched,impossible_triples_raw,impossible_triples_healed,healed_to_canopy,healed_to_ignore
1,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
10,nochange,8,0,0,........,........,0,,,0,0,0,0
100,nochange,8,0,0,........,........,0,,,0,0,0,0
1000,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1001,nochange,1,0,0,.C..C.C.,.C..C.C.,0,,,1,1,0,0
1002,nochange,8,0,0,........,........,0,,,0,0,0,0
1003,nochange,8,0,0,........,........,0,,,0,0,0,0
1004,nochange,8,0,0,........,........,0,,,0,0,0,0
1005,nochange,4,0,0,...C....,...C....,0,,,0,0,0,0
1006,nochange,6,0,0,.x......,.x......,0,,,0,0,0,0
1007,nochange,3,0,0,....C...,....C...,0,,,0,0,0,0
1008,nochange,8,0,0,........,........,0,,,0,0,0,0
1009,nochange,8,0,0,........,........,0,,,0,0,0,0
101,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1010,nochange,8,0,0,........,........,0,,,0,0,0,0
1011,nochange,8,0,0,........,........,0,,,0,0,0,0
1012,nochange,8,0,0,........,........,0,,,0,0,0,0
1013,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1014,nochange,8,0,0,........,........,0,,,0,0,0,0
1015,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1016,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1017,nochange,2,0,0,..CCCC..,..CCCC..,0,,,0,0,0,0
1018,loss,1,0,0,CCCCC.C.,CCCCC.C.,0,,,1,1,0,0
1019,nochange,0,0,0,.CCC...C,.CCC...C,0,,,0,0,0,0
102,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1020,nochange,8,0,0,........,........,0,,,0,0,0,0
1021,nochange,0,0,0,CCC.C..C,CCCCC..C,1,2015,HEAL,1,0,1,0
