session,step,basis,gpu_present,samples,hours,gpu_busy_frac,gpu_util_mean,cpu50_frac,iowait10_frac,tx1_frac,rx1_frac,disk5_frac,nothing_frac,ambiguous_dropped,samples_parsed,span_hours,source_file,phase
base18,(between),marker,1.0000,35,0.0486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1143,0.8857,0,576,0.8072,hw_base18.csv,
base18,ALL,marker,1.0000,576,0.8000,0.1406,8.8420,0.5660,0.0000,0.0764,0.0243,0.1719,0.2361,0,576,0.8072,hw_base18.csv,
base18,evaluate,marker,1.0000,11,0.0153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,576,0.8072,hw_base18.csv,launching
base18,evaluate,marker,1.0000,12,0.0167,0.0833,2.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.9167,0,576,0.8072,hw_base18.csv,open
base18,train,marker,1.0000,8,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.7500,0,576,0.8072,hw_base18.csv,launching
base18,train,marker,1.0000,509,0.7069,0.1572,9.9411,0.6405,0.0000,0.0864,0.0275,0.1827,0.1493,0,576,0.8072,hw_base18.csv,open
base18,train,marker,1.0000,1,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,576,0.8072,hw_base18.csv,verifying
base50,(between),marker,1.0000,55,0.0764,0.0000,0.0000,0.0000,0.0182,0.0364,0.0000,0.0727,0.9273,0,816,1.1425,hw_base50.csv,
base50,ALL,marker,1.0000,816,1.1333,0.1225,7.4706,0.3787,0.0012,0.0772,0.0184,0.1348,0.4265,0,816,1.1425,hw_base50.csv,
base50,evaluate,marker,1.0000,15,0.0208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,816,1.1425,hw_base50.csv,launching
base50,evaluate,marker,1.0000,45,0.0625,0.0444,0.9556,0.0000,0.0000,0.0000,0.0000,0.0000,0.9556,0,816,1.1425,hw_base50.csv,open
base50,train,marker,1.0000,1,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0,816,1.1425,hw_base50.csv,launching
base50,train,marker,1.0000,699,0.9708,0.1402,8.6595,0.4421,0.0000,0.0873,0.0215,0.1488,0.3419,0,816,1.1425,hw_base50.csv,open
base50,train,marker,1.0000,1,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0,816,1.1425,hw_base50.csv,verifying
bb18,(between),marker,1.0000,345,0.4792,0.0029,0.1449,0.0000,0.0000,0.0319,0.0000,0.0261,0.9507,0,5292,7.3989,hw_bb18.csv,
bb18,ALL,marker,1.0000,5292,7.3500,0.0414,2.5365,0.1153,0.0076,0.0898,0.0728,0.1232,0.6253,0,5292,7.3989,hw_bb18.csv,
bb18,evaluate,marker,1.0000,45,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0667,0.9333,0,5292,7.3989,hw_bb18.csv,launching
bb18,evaluate,marker,1.0000,223,0.3097,0.0448,1.1121,0.0000,0.0000,0.0000,0.0000,0.0045,0.9507,0,5292,7.3989,hw_bb18.csv,open
bb18,labels,marker,1.0000,58,0.0806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.9828,0,5292,7.3989,hw_bb18.csv,launching
bb18,tile,marker,1.0000,33,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9697,0,5292,7.3989,hw_bb18.csv,launching
bb18,tile,marker,1.0000,2198,3.0528,0.0000,0.0000,0.0000,0.0182,0.0605,0.1438,0.0446,0.7807,0,5292,7.3989,hw_bb18.csv,open
bb18,tile,marker,1.0000,11,0.0153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,5292,7.3989,hw_bb18.csv,verifying
bb18,train,marker,1.0000,24,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417,0.9583,0,5292,7.3989,hw_bb18.csv,launching
bb18,train,marker,1.0000,2311,3.2097,0.0900,5.6794,0.2640,0.0000,0.1419,0.0299,0.2328,0.3669,0,5292,7.3989,hw_bb18.csv,open
bb18,train,marker,1.0000,44,0.0611,0.0000,0.0000,0.0000,0.0000,0.0682,0.0000,0.0227,0.9091,0,5292,7.3989,hw_bb18.csv,verifying
bb50,(between),marker,1.0000,243,0.3375,0.0000,0.0123,0.0000,0.0000,0.0988,0.0000,0.0206,0.8930,0,3876,5.4158,hw_bb50.csv,
bb50,ALL,marker,1.0000,3876,5.3833,0.0261,1.5534,0.0485,0.0036,0.1099,0.0663,0.1086,0.6925,0,3876,5.4158,hw_bb50.csv,
bb50,evaluate,marker,1.0000,19,0.0264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,3876,5.4158,hw_bb50.csv,launching
bb50,evaluate,marker,1.0000,144,0.2000,0.0486,1.4653,0.0000,0.0000,0.0000,0.0000,0.0000,0.9514,0,3876,5.4158,hw_bb50.csv,open
bb50,labels,marker,1.0000,17,0.0236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0588,0.9412,0,3876,5.4158,hw_bb50.csv,launching
bb50,tile,marker,1.0000,24,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9583,0,3876,5.4158,hw_bb50.csv,launching
bb50,tile,marker,1.0000,1850,2.5694,0.0000,0.0000,0.0000,0.0059,0.0508,0.1114,0.0178,0.8292,0,3876,5.4158,hw_bb50.csv,open
bb50,tile,marker,1.0000,1,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,3876,5.4158,hw_bb50.csv,verifying
bb50,train,marker,1.0000,18,0.0250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,3876,5.4158,hw_bb50.csv,launching
bb50,train,marker,1.0000,1342,1.8639,0.0700,4.3271,0.1401,0.0022,0.1975,0.0380,0.2846,0.4054,0,3876,5.4158,hw_bb50.csv,open
bb50,train,marker,1.0000,218,0.3028,0.0000,0.0000,0.0000,0.0000,0.1972,0.0000,0.0000,0.8028,0,3876,5.4158,hw_bb50.csv,verifying
bb50b.csv.prev.1000,(between),marker,1.0000,132,0.1833,0.0076,0.1364,0.0000,0.0000,0.0000,0.0000,0.0227,0.9621,0,2160,3.0189,hw_bb50b.csv.prev.1000.csv,
