file,agree,severity,differing,local_bytes,drive_bytes,local_width,drive_width,local_height,drive_height,local_bands,drive_bands,local_epsg,drive_epsg,local_true_gsd_cm,drive_true_gsd_cm,local_zero_frac,drive_zero_frac,local_unique_b1,drive_unique_b1,local_fill,drive_fill
1990_snoh_10ft_pan.tif,YES,,,6713257,6713257,2513,2513,3527,3527,1,1,2285,2285,304.801,304.801,0.1451,0.1451,256,256,varies,varies
1996_snoh_1m_rgb.tif,YES,,,221226039,221226039,7656,7656,10748,10748,3,3,2285,2285,100.0,100.0,0.0588,0.0588,255,255,varies,varies
1998_snoh_3ft_pan.tif,YES,,,79721073,79721073,8373,8373,11754,11754,1,1,2285,2285,91.44,91.44,0.0093,0.0093,227,227,varies,varies
2001_snoh_1ft_pan.tif,YES,,,474665129,474665129,25117,25117,35260,35260,1,1,2285,2285,30.48,30.48,0.2366,0.2366,256,256,varies,varies
2002_snoh_1ft_rgb.tif,YES,,,1704437706,1704437706,25116,25116,35259,35259,3,3,2285,2285,30.48,30.48,0.1241,0.1241,255,255,varies,varies
2002_usgs_30cm_rgb.tif,YES,,,2010711608,2010711608,25112,25112,35535,35535,3,3,26910,26910,30.0,30.0,0.1939,0.1939,253,253,varies,varies
2003_snoh_1ft_rgb.tif,YES,,,1501046192,1501046192,25116,25116,35259,35259,3,3,2285,2285,30.48,30.48,0.124,0.124,255,255,varies,varies
2006_snoh_1m_rgb.tif,YES,,,218544136,218544136,7656,7656,10748,10748,3,3,2285,2285,100.0,100.0,0.0,0.0,253,253,varies,varies
2007_snoh_1ft_rgb.tif,YES,,,1548181188,1548181188,25116,25116,35259,35259,3,3,2285,2285,30.48,30.48,0.0,0.0,249,249,varies,varies
2009_snoh_1ft_rgb.tif,YES,,,2348259187,2348259187,25117,25117,35260,35260,3,3,2285,2285,30.48,30.48,0.0157,0.0157,244,244,varies,varies
2011_snoh_1ft_rgb.tif,YES,,,1987295246,1987295246,25117,25117,35259,35259,3,3,2926,2926,30.48,30.48,0.2005,0.2005,255,255,varies,varies
2012_snoh_9in_rgb.tif,YES,,,3237421325,3237421325,33489,33489,47012,47012,3,3,2926,2926,22.86,22.86,0.1768,0.1768,256,256,varies,varies
2013_snoh_1m_rgb.tif,YES,,,155772878,155772878,7655,7655,10745,10745,3,3,2285,2285,100.021,100.021,0.0,0.0,232,232,varies,varies
2015_naip_1m_rgbi.tif,YES,,,267712247,267712247,7534,7534,10661,10661,4,4,26910,26910,100.0,100.0,0.0,0.0,226,226,varies,varies
2015_snoh_1ft_rgb.tif,YES,,,1209251170,1209251170,25116,25116,35259,35259,3,3,2285,2285,30.48,30.48,0.0,0.0,234,234,varies,varies
2016_snoh_1ft_rgbi.tif,YES,,,2586179492,2586179492,25116,25116,35259,35259,4,4,2285,2285,30.48,30.48,0.1766,0.1766,250,250,varies,varies
2017_naip_1m_rgbi.tif,YES,,,258837380,258837380,7534,7534,10661,10661,4,4,26910,26910,100.0,100.0,0.0,0.0,238,238,varies,varies
2017_snoh_1ft_rgbi.tif,YES,,,2907364608,2907364608,25116,25116,35259,35259,4,4,2285,2285,30.48,30.48,0.0,0.0,221,221,varies,varies
2018_coe_marsh2cm_rgb.tif,YES,,,776564473,776564473,27090,27090,25379,25379,3,3,3857,3857,2.507,2.507,0.4143,0.4143,256,256,varies,varies
2018_snoh_6in_rgbi.tif,YES,,,11470030126,11470030126,50232,50232,70518,70518,4,4,2285,2285,15.24,15.24,0.0,0.0,237,237,varies,varies
2019_naip_60cm_rgbi.tif,YES,,,757507269,757507269,12556,12556,17768,17768,4,4,26910,26910,60.0,60.0,0.0,0.0,222,222,varies,varies
2019_snoh_1ft_rgbi.tif,YES,,,2890831516,2890831516,25116,25116,35259,35259,4,4,2285,2285,30.48,30.48,0.0,0.0,194,194,varies,varies
2021_naip_60cm_rgbi.tif,YES,,,706833908,706833908,12556,12556,17768,17768,4,4,26910,26910,60.0,60.0,0.0,0.0,241,241,varies,varies
2021_snoh_6in_rgbi.tif,YES,,,10764289402,10764289402,50232,50232,70518,70518,4,4,2285,2285,15.24,15.24,0.0,0.0,201,201,varies,varies
2023_naip_60cm_rgbi.tif,YES,,,727595134,727595134,12556,12556,17768,17768,4,4,26910,26910,60.0,60.0,0.0,0.0,244,244,varies,varies
2020_snoh_3in_rgb.tif,NOT MEASURED ON DRIVE,visible in the local Drive view but NOT measured on the Drive plane — may be a pending upload rather than a file in the cloud; confirm from a VM,,,,,,,,,,,,,,,,,,,
2022_snoh_3in_rgb.tif,NOT MEASURED ON DRIVE,visible in the local Drive view but NOT measured on the Drive plane — may be a pending upload rather than a file in the cloud; confirm from a VM,,,,,,,,,,,,,,,,,,,
2024_snoh_3in_rgb.tif,NOT ON DRIVE,no data-lake copy — single-copy on D: only,,,,,,,,,,,,,,,,,,,
