file,key,valid_frac,padding_values,edge_gap_frac,interior_gap_frac,interior_gap_ha,decimation,grade
2000_king_rgb.tif,2000,0.7128,0,0.2785,0.00872,71.37,17,FAIL
2002_usgs_30cm_rgb.tif,2002,0.806,0,0.194,0.0,0.0,23,OK
2002_snoh_1ft_rgb.tif,2002s,0.8759,0,0.1241,0.0,0.03,23,OK
2003_snoh_1ft_rgb.tif,2003s,0.876,0,0.1239,0.00013,1.09,23,WARN
2005_king_rgb.tif,2005,1.0,0,0.0,5e-05,0.39,35,OK
2006_snoh_1m_rgb.tif,2006s,1.0,0,0.0,0.0,0.0,7,OK
2007_king_rgb.tif,2007,0.9994,0,0.0,0.00055,4.42,35,WARN
2007_snoh_1ft_rgb.tif,2007s,1.0,0,0.0,0.0,0.0,23,OK
2009_king_rgb.tif,2009,0.9475,0,0.0515,0.001,8.02,35,WARN
2009_snoh_1ft_rgb.tif,2009s,0.9843,0,0.0156,9e-05,0.74,23,OK
2011_snoh_1ft_rgb.tif,2011s,0.7994,0,0.2006,0.0,0.0,23,OK
2012_snoh_9in_rgb.tif,2012s,0.8235,0,0.1765,0.0,0.0,31,OK
2013_king_rgb.tif,2013,0.9045,0,0.0943,0.0012,9.52,70,WARN
2013_snoh_1m_rgb.tif,2013s,1.0,0,0.0,0.0,0.0,7,OK
2015_king_rgb.tif,2015,0.9066,0,0.0925,0.00092,7.34,70,WARN
2016_snoh_1ft_rgbi.tif,2016,0.8234,0,0.1766,0.0,0.0,23,OK
2019_king_rgb.tif,2019,0.8961,0,0.1037,0.00013,1.06,70,WARN
2015_naip_1m_rgbi.tif,2015n,1.0,0,0.0,0.0,0.0,7,OK
2015_snoh_1ft_rgb.tif,2015s,1.0,0,0.0,0.0,0.0,23,OK
2017_snoh_1ft_rgbi.tif,2017s,1.0,0,0.0,0.0,0.0,23,OK
2019_snoh_1ft_rgbi.tif,2019s,1.0,0,0.0,0.0,0.0,23,OK
2017_naip_1m_rgbi.tif,2017n,1.0,0,0.0,0.0,0.0,7,OK
2018_snoh_6in_rgbi.tif,2018s,1.0,0,0.0,0.0,0.0,47,OK
2019_naip_60cm_rgbi.tif,2019n,1.0,0,0.0,0.0,0.0,11,OK
2020_snoh_3in_rgb.tif,2020s,0.9809,0,0.0191,0.0,0.0,94,OK
2021_king_rgb.tif,2021,0.8962,0,0.1037,6e-05,0.44,70,OK
2021_snoh_6in_rgbi.tif,2021s,1.0,0,0.0,0.0,0.0,47,OK
2021_naip_60cm_rgbi.tif,2021n,1.0,0,0.0,0.0,0.0,11,OK
2022_snoh_3in_rgb.tif,2022s,0.9809,0,0.0191,0.0,0.0,94,OK
2023_naip_60cm_rgbi.tif,2023n,1.0,0,0.0,0.0,0.0,11,OK
2023_king_rgb.tif,2023,0.8962,0,0.1037,7e-05,0.57,70,OK
2024_snoh_3in_rgb.tif,2024s,0.9809,0,0.0191,0.0,0.0,94,OK
1990_snoh_10ft_pan.tif,-,0.8559,0,0.136,0.00813,66.94,2,FAIL
1998_snoh_3ft_pan.tif,-,0.9971,0,0.0,0.00288,23.67,7,WARN
2001_snoh_1ft_pan.tif,-,0.763,0,0.2064,0.03057,251.51,23,FAIL
1996_snoh_1m_rgb.tif,-,0.9413,0,0.0587,0.0,0.0,7,OK
1936_king_pan.tif,-,0.2457,0;253,0.7542,4e-05,0.29,17,OK
1998_king_pan.tif,-,1.0,0,0.0,0.0,0.0,17,OK
