year,a,b,site,common_px_cm,dx_px,dy_px,offset_px,offset_m,peak_ratio,overlap
2007,2007_king_rgb.tif,2007_snoh_1ft_rgb.tif,S1_forest_nw,30.48,-0.404,-2.014,2.054,0.626,12.7,1.0
2007,2007_king_rgb.tif,2007_snoh_1ft_rgb.tif,S2_parking,30.48,-5.004,-0.866,5.079,1.548,28.3,1.0
2007,2007_king_rgb.tif,2007_snoh_1ft_rgb.tif,S3_residential,30.48,-4.605,0.049,4.605,1.404,48.0,1.0
2007,2007_king_rgb.tif,2007_snoh_1ft_rgb.tif,S4_forest_s,30.48,-12.13,1.047,12.176,3.711,23.0,1.0
2007,2007_king_rgb.tif,2007_snoh_1ft_rgb.tif,S5_suburb_ne,30.48,-1.366,1.308,1.891,0.576,46.6,1.0
2009,2009_king_rgb.tif,2009_snoh_1ft_rgb.tif,S1_forest_nw,30.48,7.083,-4.987,8.662,2.64,11.5,1.0
2009,2009_king_rgb.tif,2009_snoh_1ft_rgb.tif,S2_parking,30.48,-0.138,2.925,2.928,0.893,38.3,1.0
2009,2009_king_rgb.tif,2009_snoh_1ft_rgb.tif,S3_residential,30.48,20.821,13.015,24.554,7.484,25.8,0.999
2009,2009_king_rgb.tif,2009_snoh_1ft_rgb.tif,S4_forest_s,30.48,2.261,1.117,2.522,0.769,45.7,1.0
2013,2013_king_rgb.tif,2013_snoh_1m_rgb.tif,S1_forest_nw,100.02,2.7,0.565,2.758,2.759,12.6,1.0
2013,2013_king_rgb.tif,2013_snoh_1m_rgb.tif,S2_parking,100.02,3.849,8.09,8.959,8.961,10.7,1.0
2013,2013_king_rgb.tif,2013_snoh_1m_rgb.tif,S3_residential,100.02,2.705,0.292,2.72,2.721,10.9,1.0
2013,2013_king_rgb.tif,2013_snoh_1m_rgb.tif,S4_forest_s,100.02,3.073,0.15,3.077,3.077,13.5,1.0
2015,2015_king_rgb.tif,2015_naip_1m_rgbi.tif,S1_forest_nw,100.0,5.913,-7.862,9.837,9.837,8.8,1.0
2015,2015_king_rgb.tif,2015_naip_1m_rgbi.tif,S2_parking,100.0,1.565,0.21,1.579,1.579,11.7,1.0
2015,2015_king_rgb.tif,2015_naip_1m_rgbi.tif,S3_residential,100.0,1.224,-0.803,1.464,1.464,28.6,1.0
2015,2015_king_rgb.tif,2015_naip_1m_rgbi.tif,S4_forest_s,100.0,0.617,-0.638,0.888,0.888,20.0,1.0
2015,2015_king_rgb.tif,2015_naip_1m_rgbi.tif,S5_suburb_ne,100.0,0.348,-0.035,0.35,0.35,48.1,1.0
2015,2015_king_rgb.tif,2015_snoh_1ft_rgb.tif,S1_forest_nw,30.48,-60.899,-52.14,80.171,24.436,9.3,1.0
2015,2015_king_rgb.tif,2015_snoh_1ft_rgb.tif,S2_parking,30.48,2.598,-0.577,2.661,0.811,14.6,1.0
2015,2015_king_rgb.tif,2015_snoh_1ft_rgb.tif,S3_residential,30.48,2.545,-3.698,4.489,1.368,20.2,1.0
2015,2015_king_rgb.tif,2015_snoh_1ft_rgb.tif,S4_forest_s,30.48,1.326,-3.041,3.318,1.011,17.4,1.0
2015,2015_king_rgb.tif,2015_snoh_1ft_rgb.tif,S5_suburb_ne,30.48,-2.679,-1.099,2.896,0.883,35.5,1.0
2017,2017_coe_rgb.tif,2017_naip_1m_rgbi.tif,S1_forest_nw,100.0,1.999,-0.903,2.193,2.193,11.0,1.0
2017,2017_coe_rgb.tif,2017_naip_1m_rgbi.tif,S2_parking,100.0,-0.182,-0.605,0.632,0.632,19.2,1.0
2017,2017_coe_rgb.tif,2017_naip_1m_rgbi.tif,S3_residential,100.0,0.676,0.035,0.677,0.677,37.9,1.0
2017,2017_coe_rgb.tif,2017_naip_1m_rgbi.tif,S4_forest_s,100.0,1.957,0.692,2.076,2.076,10.9,1.0
2017,2017_coe_rgb.tif,2017_snoh_1ft_rgbi.tif,S1_forest_nw,30.48,22.167,-11.019,24.755,7.545,9.2,1.0
2017,2017_coe_rgb.tif,2017_snoh_1ft_rgbi.tif,S2_parking,30.48,0.698,-2.786,2.872,0.875,32.1,1.0
2017,2017_coe_rgb.tif,2017_snoh_1ft_rgbi.tif,S3_residential,30.48,0.695,-2.079,2.193,0.668,30.5,1.0
2017,2017_coe_rgb.tif,2017_snoh_1ft_rgbi.tif,S4_forest_s,30.48,5.13,1.072,5.24,1.597,10.0,1.0
2017,2017_coe_rgb.tif,2017_snoh_1ft_rgbi.tif,S5_suburb_ne,30.48,0.357,-1.416,1.46,0.445,49.8,1.0
2019,2019_king_rgb.tif,2019_naip_60cm_rgbi.tif,S1_forest_nw,60.0,-27.075,-24.885,36.774,22.065,9.6,1.0
2019,2019_king_rgb.tif,2019_naip_60cm_rgbi.tif,S2_parking,60.0,0.129,-0.07,0.147,0.088,44.6,1.0
2019,2019_king_rgb.tif,2019_naip_60cm_rgbi.tif,S3_residential,60.0,-0.174,-0.237,0.294,0.177,34.5,1.0
2019,2019_king_rgb.tif,2019_naip_60cm_rgbi.tif,S4_forest_s,60.0,-2.043,-0.99,2.27,1.362,11.2,1.0
2019,2019_king_rgb.tif,2019_naip_60cm_rgbi.tif,S5_suburb_ne,60.0,1.959,0.113,1.963,1.178,38.9,1.0
2019,2019_king_rgb.tif,2019_snoh_1ft_rgbi.tif,S1_forest_nw,30.48,-12.997,3.057,13.352,4.07,10.4,1.0
2019,2019_king_rgb.tif,2019_snoh_1ft_rgbi.tif,S2_parking,30.48,0.314,-0.969,1.018,0.31,43.3,1.0
2019,2019_king_rgb.tif,2019_snoh_1ft_rgbi.tif,S3_residential,30.48,-0.182,-0.586,0.613,0.187,30.3,1.0
2019,2019_king_rgb.tif,2019_snoh_1ft_rgbi.tif,S4_forest_s,30.48,-59.037,31.891,67.1,20.452,9.7,1.0
2019,2019_king_rgb.tif,2019_snoh_1ft_rgbi.tif,S5_suburb_ne,30.48,4.193,0.679,4.247,1.295,26.3,1.0
2019,2019_naip_60cm_rgbi.tif,2019_snoh_1ft_rgbi.tif,S1_forest_nw,60.0,-14.021,-26.008,29.547,17.728,10.7,1.0
2021,2021_king_rgb.tif,2021_naip_60cm_rgbi.tif,S1_forest_nw,60.0,2.884,-9.03,9.479,5.687,9.0,1.0
2021,2021_king_rgb.tif,2021_naip_60cm_rgbi.tif,S2_parking,60.0,0.135,0.954,0.963,0.578,43.6,1.0
2021,2021_king_rgb.tif,2021_naip_60cm_rgbi.tif,S3_residential,60.0,0.615,0.001,0.615,0.369,45.4,1.0
2021,2021_king_rgb.tif,2021_naip_60cm_rgbi.tif,S4_forest_s,60.0,-0.069,-0.529,0.534,0.32,21.1,1.0
2021,2021_king_rgb.tif,2021_naip_60cm_rgbi.tif,S5_suburb_ne,60.0,0.858,0.769,1.153,0.692,34.0,1.0
2021,2021_king_rgb.tif,2021_snoh_6in_rgbi.tif,S1_forest_nw,15.24,118.823,26.015,121.637,18.538,10.0,1.0
2021,2021_king_rgb.tif,2021_snoh_6in_rgbi.tif,S4_forest_s,15.24,-0.46,0.31,0.554,0.085,17.9,1.0
2023,2023_king_rgb.tif,2023_naip_60cm_rgbi.tif,S1_forest_nw,60.0,-24.939,-18.865,31.271,18.763,8.2,1.0
2023,2023_king_rgb.tif,2023_naip_60cm_rgbi.tif,S2_parking,60.0,-0.108,1.081,1.086,0.652,26.6,1.0
2023,2023_king_rgb.tif,2023_naip_60cm_rgbi.tif,S3_residential,60.0,0.639,0.809,1.031,0.619,46.6,1.0
2023,2023_king_rgb.tif,2023_naip_60cm_rgbi.tif,S4_forest_s,60.0,3.975,-1.995,4.448,2.669,10.3,1.0
