file,key,site,bands,b1_mean,b1_std,b1_sat_hi,b1_sat_lo,b1_entropy,b2_mean,b2_std,b2_sat_hi,b2_sat_lo,b2_entropy,b3_mean,b3_std,b3_sat_hi,b3_sat_lo,b3_entropy,flags,b4_mean,b4_std,b4_sat_hi,b4_sat_lo,b4_entropy
2000_king_rgb.tif,2000,S1_forest_nw,3,70.1,49.08,0.0022,0.0265,7.39,87.92,54.21,0.0006,0.0121,7.63,74.05,52.08,0.0026,0.026,7.48,,,,,,
2000_king_rgb.tif,2000,S2_parking,3,100.96,60.67,0.0614,0.0001,7.13,115.32,60.06,0.05,0.0001,7.37,125.15,61.45,0.0737,0.0001,7.34,b1 6% clipped high; b3 7% clipped high,,,,,
2000_king_rgb.tif,2000,S3_residential,3,111.87,49.24,0.0309,0.001,7.35,127.69,50.41,0.0292,0.0015,7.45,131.26,53.8,0.0374,0.002,7.54,,,,,,
2000_king_rgb.tif,2000,S4_forest_s,3,81.48,54.11,0.0158,0.0481,7.36,94.52,56.35,0.011,0.0258,7.55,97.74,60.63,0.0228,0.0274,7.6,,,,,,
2000_king_rgb.tif,2000,S5_suburb_ne,3,105.39,55.27,0.0324,0.011,7.47,118.02,55.89,0.0284,0.0108,7.55,117.24,59.43,0.0416,0.0127,7.57,,,,,,
2002_usgs_30cm_rgb.tif,2002,S1_forest_nw,3,72.93,42.06,0.0,0.0,7.1,76.36,43.2,0.0,0.0,7.07,67.44,32.7,0.0,0.0,6.9,,,,,,
2002_usgs_30cm_rgb.tif,2002,S2_parking,3,154.52,34.92,0.0,0.0,6.63,154.13,36.0,0.0,0.0,6.7,141.85,36.58,0.0,0.0,6.49,,,,,,
2002_usgs_30cm_rgb.tif,2002,S3_residential,3,148.43,48.43,0.0,0.0,7.14,148.08,48.82,0.0,0.0,7.13,134.17,49.33,0.0,0.0,7.14,,,,,,
2002_usgs_30cm_rgb.tif,2002,S4_forest_s,3,99.97,51.26,0.0,0.0,7.5,99.4,50.44,0.0,0.0,7.44,88.55,44.64,0.0,0.0,7.27,,,,,,
2002_usgs_30cm_rgb.tif,2002,S5_suburb_ne,3,124.2,52.46,0.0254,0.0,7.37,125.02,52.74,0.0325,0.0,7.32,111.6,51.19,0.0284,0.0,7.22,,,,,,
2002_snoh_1ft_rgb.tif,2002s,S1_forest_nw,3,71.43,41.02,0.0,0.0161,7.23,74.9,41.93,0.0,0.0153,7.22,65.9,32.5,0.0,0.0076,6.97,,,,,,
2002_snoh_1ft_rgb.tif,2002s,S2_parking,3,153.18,34.83,0.008,0.0,6.79,152.74,35.29,0.0072,0.0,6.81,140.44,35.06,0.0026,0.0,6.83,,,,,,
2002_snoh_1ft_rgb.tif,2002s,S3_residential,3,146.29,48.36,0.022,0.0,7.42,145.98,48.3,0.0214,0.0,7.41,132.02,48.48,0.0092,0.0,7.44,,,,,,
2002_snoh_1ft_rgb.tif,2002s,S4_forest_s,3,99.89,51.05,0.0017,0.0004,7.54,99.33,49.88,0.0015,0.0005,7.48,87.98,44.66,0.0005,0.0014,7.37,,,,,,
2002_snoh_1ft_rgb.tif,2002s,S5_suburb_ne,3,123.89,52.71,0.0157,0.0,7.54,124.64,52.56,0.0194,0.0,7.5,111.1,51.51,0.014,0.0001,7.49,,,,,,
2003_snoh_1ft_rgb.tif,2003s,S1_forest_nw,3,71.46,40.73,0.0,0.0124,7.13,74.94,41.62,0.0,0.0116,7.13,65.93,32.26,0.0,0.0063,6.87,,,,,,
2003_snoh_1ft_rgb.tif,2003s,S2_parking,3,153.15,34.54,0.0067,0.0,6.68,152.75,35.0,0.0058,0.0,6.71,140.44,34.75,0.0006,0.0,6.72,,,,,,
