file,key,year,bands,windows,auroc_exg,auroc_ndvi,ndvi_gain
2000_king_rgb.tif,2000,2000,3,40,0.7286,,
2002_usgs_30cm_rgb.tif,2002,2002,3,40,0.6347,,
2002_snoh_1ft_rgb.tif,2002s,2002,3,40,0.6502,,
2003_snoh_1ft_rgb.tif,2003s,2003,3,40,0.651,,
2005_king_rgb.tif,2005,2005,3,40,0.7019,,
2006_snoh_1m_rgb.tif,2006s,2006,3,40,0.8362,,
2007_king_rgb.tif,2007,2007,3,40,0.8084,,
2007_snoh_1ft_rgb.tif,2007s,2007,3,40,0.6531,,
2009_king_rgb.tif,2009,2009,3,40,0.7449,,
2009_snoh_1ft_rgb.tif,2009s,2009,3,40,0.7201,,
2011_snoh_1ft_rgb.tif,2011s,2011,3,40,0.8085,,
2012_snoh_9in_rgb.tif,2012s,2012,3,40,0.7096,,
2013_king_rgb.tif,2013,2013,3,40,0.7368,,
2013_snoh_1m_rgb.tif,2013s,2013,3,40,0.7098,,
2015_king_rgb.tif,2015,2015,3,40,0.6415,,
2016_snoh_1ft_rgbi.tif,2016,2016,4,40,0.7317,0.8626,0.1309
2017_coe_rgb.tif,2017,2017,3,40,0.7481,,
2019_king_rgb.tif,2019,2019,3,40,0.7364,,
2015_naip_1m_rgbi.tif,2015n,2015,4,40,0.8416,0.8526,0.011
2015_snoh_1ft_rgb.tif,2015s,2015,3,40,0.7867,,
2017_snoh_1ft_rgbi.tif,2017s,2017,4,40,0.7289,0.8857,0.1568
2019_snoh_1ft_rgbi.tif,2019s,2019,4,40,0.6924,0.8445,0.1521
2017_naip_1m_rgbi.tif,2017n,2017,4,40,0.8549,0.8472,-0.0077
2018_snoh_6in_rgbi.tif,2018s,2018,4,40,0.7906,0.8725,0.0819
2019_naip_60cm_rgbi.tif,2019n,2019,4,40,0.7343,0.8498,0.1155
2020_coe_rgb.tif,2020,2020,3,40,0.7898,,
2020_snoh_3in_rgb.tif,2020s,2020,3,40,0.7905,,
2021_king_rgb.tif,2021,2021,3,40,0.7058,,
2021_snoh_6in_rgbi.tif,2021s,2021,4,40,0.8404,0.8837,0.0433
2021_naip_60cm_rgbi.tif,2021n,2021,4,40,0.7086,0.8678,0.1592
2022_coe_rgb.tif,2022,2022,3,40,0.7524,,
2022_snoh_3in_rgb.tif,2022s,2022,3,40,0.7523,,
2023_naip_60cm_rgbi.tif,2023n,2023,4,40,0.7591,0.8354,0.0763
2023_king_rgb.tif,2023,2023,3,40,0.7253,,
2024_coe_rgb.tif,2024,2024,3,40,0.7339,,
2024_snoh_3in_rgb.tif,2024s,2024,3,40,0.7345,,
1996_snoh_1m_rgb.tif,-,-,3,40,0.5512,,
