epoch,reference,n_landmarks,n_matched,est_dx_m,est_dy_m,expected_dx_m,expected_dy_m,p68_mag_m,recall_at_cut
2009,2021,6813,1728,-0.142,-0.275,0.132,-0.146,3.802,0.7594
2011s,2021,8352,2232,0.593,-0.89,-0.496,-0.874,1.735,0.7933
2013,2021,8624,2550,-0.227,-0.167,0.183,0.011,3.942,0.7885
2015,2021,6976,1600,-0.25,-0.3,0.177,-0.209,3.928,0.7289
2016,2021,7296,2415,0.308,-0.164,-0.393,-0.115,2.031,0.7997
2019,2021,11294,4077,0.02,0.429,-0.005,0.024,1.105,0.7656
2024,2021,10658,3803,1.0,-0.561,-0.965,-0.637,2.918,0.6955
# sign_dx,-1
# r_dx,0.993
# sign_dy,1
# r_dy,0.8758
# r_est_vs_expected,0.9457
# median_abs_err_m,0.0745
# r_residual_vs_recall,0.1483
# r_residual_vs_p68,-0.459
# permutation_p,0.0002
# permutation_n,5040
