scope,band_lo_m,band_hi_m,n,pi,source,sensitivity,specificity,youden_j,flag
global,,,21066144,0.2912,ccap,0.8935,0.9506,0.8441,
global,,,21066144,0.2912,ndvi_ref,0.9872,0.8729,0.8601,
global,,,21066144,0.2912,model,0.75,0.9917,0.7417,
band,0,2,3545476,0.0351,ccap,0.2463,0.9983,0.2445,
band,0,2,3545476,0.0351,ndvi_ref,0.0373,0.9977,0.0351,
band,0,2,3545476,0.0351,model,0.1622,0.985,0.1472,
band,2,5,3574484,0.1799,ccap,0.4112,0.9486,0.3599,
band,2,5,3574484,0.1799,ndvi_ref,0.9802,0.7777,0.7579,
band,2,5,3574484,0.1799,model,0.2269,0.9994,0.2263,
band,5,10,4269682,0.2565,ccap,0.7028,0.9164,0.6192,
band,5,10,4269682,0.2565,ndvi_ref,0.982,0.8262,0.8082,
band,5,10,4269682,0.2565,model,0.4435,0.9983,0.4418,
band,10,15,1776496,0.484,ccap,0.8622,0.8402,0.7024,
band,10,15,1776496,0.484,ndvi_ref,0.9803,0.7812,0.7615,
band,10,15,1776496,0.484,model,0.6492,0.9939,0.6431,
band,15,20,1155542,0.7405,ccap,0.9104,0.6738,0.5842,
band,15,20,1155542,0.7405,ndvi_ref,0.9839,0.6884,0.6724,
band,15,20,1155542,0.7405,model,0.7965,0.9815,0.778,
band,20,25,1006583,0.8449,ccap,0.9312,0.5924,0.5236,
band,20,25,1006583,0.8449,ndvi_ref,0.9884,0.6679,0.6563,
band,20,25,1006583,0.8449,model,0.8756,0.9662,0.8418,
band,25,30,837811,0.8996,ccap,0.9439,0.4457,0.3897,
band,25,30,837811,0.8996,ndvi_ref,0.9931,0.5869,0.58,
band,25,30,837811,0.8996,model,0.9196,0.9274,0.847,
band,30,100,1421421,0.9535,ccap,0.9681,0.3636,0.3317,
band,30,100,1421421,0.9535,ndvi_ref,0.9948,0.5554,0.5501,
band,30,100,1421421,0.9535,model,0.9529,0.9343,0.8872,
