scope,band_lo_m,band_hi_m,n,pi,source,sensitivity,specificity,youden_j,flag
global,,,21066144,0.349,ccap,0.7717,0.9602,0.7319,
global,,,21066144,0.349,ndvi_ref,0.9643,0.937,0.9013,
global,,,21066144,0.349,model,0.9476,0.9661,0.9137,
band,0,2,3545476,0.052,ccap,0.1208,0.9958,0.1165,
band,0,2,3545476,0.052,ndvi_ref,0.0515,0.9991,0.0506,
band,0,2,3545476,0.052,model,0.4779,0.9633,0.4411,
band,2,5,3574484,0.2972,ccap,0.2755,0.9512,0.2267,
band,2,5,3574484,0.2972,ndvi_ref,0.9561,0.8939,0.85,
band,2,5,3574484,0.2972,model,0.7045,0.9791,0.6836,
band,5,10,4269682,0.3404,ccap,0.5677,0.9254,0.4931,
band,5,10,4269682,0.3404,ndvi_ref,0.9498,0.9123,0.8621,
band,5,10,4269682,0.3404,model,0.8623,0.9709,0.8332,
band,10,15,1776496,0.571,ccap,0.7768,0.8689,0.6456,
band,10,15,1776496,0.571,ndvi_ref,0.9497,0.895,0.8447,
band,10,15,1776496,0.571,model,0.9435,0.9336,0.8771,
band,15,20,1155542,0.8117,ccap,0.8709,0.7246,0.5955,
band,15,20,1155542,0.8117,ndvi_ref,0.9656,0.8638,0.8293,
band,15,20,1155542,0.8117,model,0.9777,0.8263,0.804,
band,20,25,1006583,0.893,ccap,0.9102,0.6526,0.5629,
band,20,25,1006583,0.893,ndvi_ref,0.9762,0.8614,0.8376,
band,20,25,1006583,0.893,model,0.99,0.7413,0.7313,
band,25,30,837811,0.9353,ccap,0.9316,0.483,0.4146,
band,25,30,837811,0.9353,ndvi_ref,0.9875,0.826,0.8135,
band,25,30,837811,0.9353,model,0.996,0.5698,0.5658,
band,30,100,1421421,0.9725,ccap,0.9626,0.3966,0.3591,
band,30,100,1421421,0.9725,ndvi_ref,0.9923,0.8495,0.8419,
band,30,100,1421421,0.9725,model,0.9984,0.5193,0.5177,
