scope,band_lo_m,band_hi_m,n,pi,source,sensitivity,specificity,youden_j,flag
global,,,1506600,0.2931,ccap,0.8695,0.9496,0.8192,
global,,,1506600,0.2931,ndvi_ref,0.9543,0.8669,0.8212,
global,,,1506600,0.2931,model,0.7382,0.9935,0.7317,
band,0,2,262517,0.0453,ccap,0.3219,0.9898,0.3118,
band,0,2,262517,0.0453,ndvi_ref,0.1232,0.9914,0.1146,
band,0,2,262517,0.0453,model,0.0825,0.9982,0.0807,
band,2,5,258656,0.1983,ccap,0.4224,0.9379,0.3604,
band,2,5,258656,0.1983,ndvi_ref,0.9584,0.804,0.7625,
band,2,5,258656,0.1983,model,0.0911,0.9994,0.0905,
band,5,10,309580,0.2469,ccap,0.6991,0.9166,0.6158,
band,5,10,309580,0.2469,ndvi_ref,0.9575,0.8405,0.7979,
band,5,10,309580,0.2469,model,0.2553,0.9985,0.2538,
band,10,15,129821,0.4631,ccap,0.8071,0.8688,0.6759,
band,10,15,129821,0.4631,ndvi_ref,0.9538,0.7631,0.717,
band,10,15,129821,0.4631,model,0.5733,0.9846,0.5579,
band,15,20,85839,0.7157,ccap,0.851,0.7681,0.619,
band,15,20,85839,0.7157,ndvi_ref,0.9575,0.6833,0.6408,
band,15,20,85839,0.7157,model,0.8145,0.9478,0.7624,
band,20,25,74734,0.8194,ccap,0.8834,0.7268,0.6103,
band,20,25,74734,0.8194,ndvi_ref,0.9616,0.6917,0.6533,
band,20,25,74734,0.8194,model,0.9279,0.8748,0.8027,
band,25,30,62803,0.8932,ccap,0.8986,0.7042,0.6028,
band,25,30,62803,0.8932,ndvi_ref,0.9614,0.7317,0.6931,
band,25,30,62803,0.8932,model,0.9719,0.7648,0.7367,
band,30,100,108418,0.9527,ccap,0.9357,0.7279,0.6636,
band,30,100,108418,0.9527,ndvi_ref,0.96,0.7952,0.7552,
band,30,100,108418,0.9527,model,0.995,0.4938,0.4888,
