scope,band_lo_m,band_hi_m,n,pi,source,sensitivity,specificity,youden_j,flag
global,,,21908871,0.282,ccap,0.866,0.971,0.837,
global,,,21908871,0.282,ndvi_ref,0.9949,0.8524,0.8473,
global,,,21908871,0.282,model,0.7443,0.9964,0.7406,
band,0,2,3545447,0.0553,ccap,0.3971,0.9977,0.3948,
band,0,2,3545447,0.0553,ndvi_ref,0.0309,0.9974,0.0284,
band,0,2,3545447,0.0553,model,0.0895,0.9964,0.0859,
band,2,5,3574482,0.1975,ccap,0.4958,0.9616,0.4573,
band,2,5,3574482,0.1975,ndvi_ref,0.996,0.7183,0.7142,
band,2,5,3574482,0.1975,model,0.1707,0.9998,0.1705,
band,5,10,4269682,0.2721,ccap,0.708,0.9499,0.6579,
band,5,10,4269682,0.2721,ndvi_ref,0.9976,0.7833,0.7808,
band,5,10,4269682,0.2721,model,0.3952,0.9992,0.3944,
band,10,15,1776496,0.4827,ccap,0.8117,0.9194,0.7311,
band,10,15,1776496,0.4827,ndvi_ref,0.9973,0.7218,0.7192,
band,10,15,1776496,0.4827,model,0.6251,0.9968,0.622,
band,15,20,1155542,0.7202,ccap,0.8688,0.8608,0.7296,
band,15,20,1155542,0.7202,ndvi_ref,0.9973,0.6157,0.6131,
band,15,20,1155542,0.7202,model,0.8055,0.9847,0.7902,
band,20,25,1006583,0.8246,ccap,0.8932,0.8391,0.7323,
band,20,25,1006583,0.8246,ndvi_ref,0.9973,0.6103,0.6075,
band,20,25,1006583,0.8246,model,0.9054,0.9536,0.8589,
band,25,30,837811,0.8925,ccap,0.909,0.8097,0.7188,
band,25,30,837811,0.8925,ndvi_ref,0.9975,0.6039,0.6014,
band,25,30,837811,0.8925,model,0.9551,0.8806,0.8357,
band,30,100,1421421,0.946,ccap,0.9399,0.8043,0.7442,
band,30,100,1421421,0.946,ndvi_ref,0.9977,0.6734,0.6712,
band,30,100,1421421,0.946,model,0.9862,0.7757,0.7619,
