job,year,tag,step,state,exit,minutes,detail,ts,host,session
hard_year_pilot_hy_e3_2006s,2006s,hy_e3_2006s,labels,OK,0,11.8,"RECOVERED-FROM-LOGS(ts=start): train_queue_nohup_queue_hard_year_pilot_20260901T172249Z.log outcome verbatim: ""[hard_year_pilot_hy_e3_2006s/labels] exit=0  elapsed 11.8 min""; ts=run_id-stamp@phase4_semantic_finetune_labels_2006s_2026-09-01T17-37.log",2026-09-01 17:25:59,,
hard_year_pilot_hy_e3_2006s,2006s,hy_e3_2006s,VERIFY:labels,OK,,,"RECOVERED-FROM-LOGS(ts=completed): train_queue_nohup_queue_hard_year_pilot_20260901T172249Z.log verdict verbatim: ""citywide: labels step is skipped by design""; ts=engine-completed@phase4_semantic_finetune_labels_2006s_2026-09-01T17-37.log",2026-09-01 17:37:41,,
hard_year_pilot_hy_e3_2006s,2006s,hy_e3_2006s,tile,OK,0,15.1,"RECOVERED-FROM-LOGS(ts=start): train_queue_nohup_queue_hard_year_pilot_20260901T172249Z.log outcome verbatim: ""[hard_year_pilot_hy_e3_2006s/tile] exit=0  elapsed 15.1 min""; ts=run_id-stamp@phase4_semantic_finetune_tile_2006s_2026-09-01T17-52.log",2026-09-01 17:37:46,,
hard_year_pilot_hy_e3_2006s,2006s,hy_e3_2006s,VERIFY:tile,OK,,,"RECOVERED-FROM-LOGS(ts=completed): train_queue_nohup_queue_hard_year_pilot_20260901T172249Z.log verdict verbatim: ""585 tiles indexed; probed 20 paths, 0 missing""; ts=engine-completed@phase4_semantic_finetune_tile_2006s_2026-09-01T17-52.log",2026-09-01 17:52:48,,
hard_year_pilot_hy_e3_2006s,2006s,hy_e3_2006s,train,OK,0,42.0,"RECOVERED-FROM-LOGS(ts=start): train_queue_nohup_queue_hard_year_pilot_only2006s_20260901T175906Z.log outcome verbatim: ""[hard_year_pilot_hy_e3_2006s/train] exit=0  elapsed 42.0 min""; ts=run_id-stamp@phase4_semantic_finetune_train_2006s_2026-09-01T18-45.log",2026-09-01 18:03:53,,
hard_year_pilot_hy_e3_2006s,2006s,hy_e3_2006s,VERIFY:train,OK,,,"RECOVERED-FROM-LOGS(ts=completed): train_queue_nohup_queue_hard_year_pilot_only2006s_20260901T175906Z.log verdict verbatim: ""1113MB, BE27, run_id ok, drive md5 ok (1s)""; ts=engine-completed@phase4_semantic_finetune_train_2006s_2026-09-01T18-45.log",2026-09-01 18:45:44,,
hard_year_pilot_hy_e3_2006s,2006s,hy_e3_2006s,evaluate,OK,0,16.5,"RECOVERED-FROM-LOGS(ts=start): train_queue_nohup_queue_hard_year_pilot_only2006s_20260901T175906Z.log outcome verbatim: ""[hard_year_pilot_hy_e3_2006s/evaluate] exit=0  elapsed 16.5 min""; ts=run_id-stamp@phase4_semantic_finetune_evaluate_2006s_2026-09-01T19-02.log",2026-09-01 18:46:04,,
hard_year_pilot_hy_e3_2006s,2006s,hy_e3_2006s,VERIFY:evaluate,OK,,,"RECOVERED-FROM-LOGS(ts=completed): train_queue_nohup_queue_hard_year_pilot_only2006s_20260901T175906Z.log verdict verbatim: ""2 rows for 2006s/hy_e3_2006s, written 19:02:27""; ts=engine-completed@phase4_semantic_finetune_evaluate_2006s_2026-09-01T19-02.log",2026-09-01 19:02:30,,
hard_year_pilot_hy_e3_2006s,2006s,hy_e3_2006s,inference,OK,0,1.3,"RECOVERED-FROM-LOGS(ts=start): train_queue_nohup_queue_hard_year_pilot_only2006s_20260901T175906Z.log outcome verbatim: ""[hard_year_pilot_hy_e3_2006s/inference] exit=0  elapsed 1.3 min""; ts=run_id-stamp@phase4_semantic_finetune_inference_2006s_2026-09-01T19-03.log",2026-09-01 19:02:38,,
hard_year_pilot_hy_e3_2006s,2006s,hy_e3_2006s,VERIFY:inference,OK,,,"RECOVERED-FROM-LOGS(ts=completed): train_queue_nohup_queue_hard_year_pilot_only2006s_20260901T175906Z.log verdict verbatim: ""33MB valid=100.0% maxprob=0.937 p99.9=0.874 [2369x1687 sample]""; ts=engine-completed@phase4_semantic_finetune_inference_2006s_2026-09-01T19-03.log",2026-09-01 19:03:51,,
