attempt_id,work_key,route,identifier,year,at,workstream,http_codes,tried,detail_excerpt,bytes_recorded,sha256_recorded,bytes_kept,bytes_kept_path,bytes_kept_length,match_method,sub_status,basis,cause,free_to_fix,fix_grade,fix,reason,landing_pdf_pointer,work_has_file_now
01a0a153-1379-74d8-9b5d-a05fd3a0fad7,Page_1954_continuous-inspection-schemes,annas,10.1093/biomet/41.1-2.100,1954,2026-09-14T12:09:31.381242-07:00,edge-pre1990,null,wtgadtq.org:404 | hxd7ms.org:404 | yqrii5.org:404 | Sci-Hub: 10.1093/biomet/41.1-2.100@sci-hub.ru:200 | Z-Library@z-library.sk:0 | Z-Library on Tor@bookszlibb74ugqojhzhg2a63w5i2atv5bqarulgczawnbmsb6s6qead.onion:0 | Libgen.li@libgen.li:200 | libgen.pw@libgen.pw:200 | randombook.org@randombook.org:200 | Bulk torrent downloads@annas-archive.gl:200,scidb,,,n,,,none,html_response,inferred,mirror_sweep_no_pdf,n,,,"the archive sweep's hosts answered 404, 0 or a 200 non-PDF page; no bytes were kept",,y
01a0a154-18c4-7c63-bcb9-aa46ceb94581,Page_1954_continuous-inspection-schemes,annas,10.1093/biomet/41.1-2.100,1954,2026-09-14T12:10:38.276539-07:00,edge-pre1990,null,wtgadtq.org:404 | hxd7ms.org:404 | yqrii5.org:404 | Sci-Hub: 10.1093/biomet/41.1-2.100@sci-hub.ru:200 | Z-Library@z-library.sk:513 | Z-Library on Tor@bookszlibb74ugqojhzhg2a63w5i2atv5bqarulgczawnbmsb6s6qead.onion:0 | Libgen.li@libgen.li:200 | libgen.pw@libgen.pw:200 | randombook.org@randombook.org:200 | Bulk torrent downloads@annas-archive.gl:200,scidb,,,n,,,none,html_response,inferred,mirror_sweep_no_pdf,n,,,"the archive sweep's hosts answered 404, 0 or a 200 non-PDF page; no bytes were kept",,y
01a0adcf-9a14-7240-9bb5-ae6e700f419d,Pfitzmann_2022_doclaynet-large-human-annotated,annas,10.1145/3534678.3539043,2022,2026-09-16T22:20:58.899673-07:00,improve-review-1,null,api0:400/Invalid domain_index or path_index | api1:400/Invalid domain_index or path_index | api2:400/Invalid domain_index or path_index | Nexus/STC@libstc.cc:0 | IPFS@annas-archive.gl:403 | Sci-Hub: 10.1145/3534678.3539043@sci-hub.ru:200 | ipfs/ipfs.filebase.io@ipfs.filebase.io:504 | ipfs/4everland.io@4everland.io:504 | ipfs/ipfs.orbitor.dev@ipfs.orbitor.dev:504 | ipfs/trustless-gateway.link@trust,the 58 bytes served do not begin with %PDF-; scidb,58,a8df0738841565def7e4eed97dbe6cb1f3f8289675eb91ed647ebe2c6c99047f,y,_quarantine/Pfitzmann_2022_doclaynet-large-human-annotated__bad-file__a8df07388415.2.pdf,58,sha256+qp.attempt,,,misbooked,n,,"book it a transport failure (retriable), not a download",transport_error_string: the bytes are a Python URLError message the client wrote; no host served them,n,n
01a0add7-22a7-7b21-a133-cf1368fb35ad,Pfitzmann_2022_doclaynet-large-human-annotated,annas,10.1145/3534678.3539043,2022,2026-09-16T22:29:12.615413-07:00,improve-review-1,null,api0:400/Invalid domain_index or path_index | api1:400/Invalid domain_index or path_index | api2:400/Invalid domain_index or path_index | Nexus/STC@libstc.cc:0 | IPFS@annas-archive.gl:403 | Sci-Hub: 10.1145/3534678.3539043@sci-hub.ru:200 | ipfs/ipfs.filebase.io@ipfs.filebase.io:504 | ipfs/4everland.io@4everland.io:504 | ipfs/ipfs.orbitor.dev@ipfs.orbitor.dev:504 | ipfs/trustless-gateway.link@trust,the 58 bytes served do not begin with %PDF-; scidb,58,a8df0738841565def7e4eed97dbe6cb1f3f8289675eb91ed647ebe2c6c99047f,y,_quarantine/Pfitzmann_2022_doclaynet-large-human-annotated__bad-file__a8df07388415.2.pdf,58,sha256+qp.attempt,,,misbooked,n,,"book it a transport failure (retriable), not a download",transport_error_string: the bytes are a Python URLError message the client wrote; no host served them,n,n
01a0c379-a77e-764c-96d3-7c8711386d94,Pfitzmann_2022_doclaynet-large-human-annotated,annas,10.1145/3534678.3539043,2022,2026-09-21T03:18:44.990016-07:00,edges-1,null,api0:400/Invalid domain_index or path_index | api1:400/Invalid domain_index or path_index | api2:400/Invalid domain_index or path_index | Nexus/STC@libstc.cc:0 | IPFS@annas-archive.gl:403 | Sci-Hub: 10.1145/3534678.3539043@sci-hub.ru:200 | ipfs/ipfs.filebase.io@ipfs.filebase.io:504 | ipfs/4everland.io@4everland.io:504 | ipfs/ipfs.orbitor.dev@ipfs.orbitor.dev:504 | ipfs/trustless-gateway.link@trust,the 58 bytes served do not begin with %PDF-; scidb,58,a8df0738841565def7e4eed97dbe6cb1f3f8289675eb91ed647ebe2c6c99047f,y,_quarantine/Pfitzmann_2022_doclaynet-large-human-annotated__bad-file__a8df07388415.2.pdf,58,sha256+qp.attempt,,,misbooked,n,,"book it a transport failure (retriable), not a download",transport_error_string: the bytes are a Python URLError message the client wrote; no host served them,n,n
01a0a871-4373-7a60-b96f-6d26a14bef98,Strong_2003_edge-preserving-scale-dependent,annas,10.1088/0266-5611/19/6/059,2003,2026-09-15T21:19:50.253780-07:00,held-queue,null,wtgadtq.org:404 | hxd7ms.org:404 | yqrii5.org:404 | Sci-Hub: 10.1088/0266-5611/19/6/059@sci-hub.ru:200 | Z-Library@z-library.sk:0 | Z-Library on Tor@bookszlibb74ugqojhzhg2a63w5i2atv5bqarulgczawnbmsb6s6qead.onion:0 | Libgen.li@libgen.li:200 | libgen.pw@libgen.pw:200 | randombook.org@randombook.org:200 | Bulk torrent downloads@annas-archive.gl:200,scidb,,,n,,,none,html_response,inferred,mirror_sweep_no_pdf,n,,,"the archive sweep's hosts answered 404, 0 or a 200 non-PDF page; no bytes were kept",,n
01a0a872-94f2-70ef-8e6c-d3103d3b7754,Strong_2003_edge-preserving-scale-dependent,annas,10.1088/0266-5611/19/6/059,2003,2026-09-15T21:21:16.653245-07:00,held-queue,null,wtgadtq.org:404 | hxd7ms.org:404 | yqrii5.org:404 | Sci-Hub: 10.1088/0266-5611/19/6/059@sci-hub.ru:200 | Z-Library@z-library.sk:513 | Z-Library on Tor@bookszlibb74ugqojhzhg2a63w5i2atv5bqarulgczawnbmsb6s6qead.onion:0 | Libgen.li@libgen.li:200 | libgen.pw@libgen.pw:200 | randombook.org@randombook.org:200 | Bulk torrent downloads@annas-archive.gl:200,scidb,,,n,,,none,html_response,inferred,mirror_sweep_no_pdf,n,,,"the archive sweep's hosts answered 404, 0 or a 200 non-PDF page; no bytes were kept",,n
01a0c717-c9dc-7979-a092-870ca7a308c4,Appel_2024_efficient-data-driven-gap,open_access,10.1175/aies-d-22-0055.1,2024,2026-09-21T20:10:20.124198-07:00,ruled-hunts-1,[202],journals.ametsoc.org:202,,,,n,,,none,,,misbooked,n,,blocked/challenge_or_bot_check,challenge_interstitial: HTTP 202 and no %PDF-: a WAF interstitial's shape (C7; bytes not kept),,n
01a0a7c6-2d73-7022-88c0-162b24490faa,Culbert_2025_reference-coverage-analysis-openalex,open_access,10.1007/s11192-025-05293-3,2025,2026-09-15T18:12:57.967166-07:00,linkage-review,"[200, 200, 403]",link.springer.com:200 | www.ssoar.info:200 | resolver.sub.uni-goettingen.de:403,,,,n,,,none,html_response,inferred,landing_page,y,inferred,Stage C on the landing page (INFERRED: the page was not kept),a host answered 200 with no %PDF-: the shape of a landing page (bytes not kept),,y
01a0a83b-5d69-7ee5-aae9-c141c4f529b8,Culbert_2025_reference-coverage-analysis-openalex,open_access,10.1007/s11192-025-05293-3,2025,2026-09-15T20:20:57.957335-07:00,linkage-review,"[200, 200, 403]",link.springer.com:200 | www.ssoar.info:200 | resolver.sub.uni-goettingen.de:403,,,,n,,,none,html_response,inferred,landing_page,y,inferred,Stage C on the landing page (INFERRED: the page was not kept),a host answered 200 with no %PDF-: the shape of a landing page (bytes not kept),,y
