doi,resolver,url,method,status,content_type,length,final_url,verdict
10.1002/wics.1317,crossref_link,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fwics.1317,GET,400,text/plain,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fwics.1317,status-400
10.1002/wics.1317,s2,http://www.census.gov/srd/papers/pdf/rr93-8.pdf,GET,404,text/html,,http://www.census.gov/srd/papers/pdf/rr93-8.pdf,HTML
10.1007/0-387-69505-2_13,crossref_link,http://link.springer.com/content/pdf/10.1007/0-387-69505-2_13.pdf,HEAD,200,text/html; charset=utf-8,3038,https://link.springer.com/content/pdf/10.1007/0-387-69505-2_13.pdf,HTML
10.1007/978-3-030-32248-9_57,s2,https://arxiv.org/pdf/1910.12077,HEAD,200,application/pdf,603791,https://arxiv.org/pdf/1910.12077,FREE-PDF
10.1007/bf00531768,crossref_link,http://link.springer.com/content/pdf/10.1007/BF00531768.pdf,HEAD,200,text/html; charset=utf-8,3038,https://link.springer.com/content/pdf/10.1007/BF00531768.pdf,HTML
10.1007/s00267-023-01934-6,crossref_link,https://link.springer.com/content/pdf/10.1007/s00267-023-01934-6.pdf,HEAD,200,text/html; charset=utf-8,3038,https://link.springer.com/content/pdf/10.1007/s00267-023-01934-6.pdf,HTML
10.1007/s10980-012-9719-2,crossref_link,http://link.springer.com/content/pdf/10.1007/s10980-012-9719-2.pdf,HEAD,200,text/html; charset=utf-8,3038,https://link.springer.com/content/pdf/10.1007/s10980-012-9719-2.pdf,HTML
10.1016/j.isprsjprs.2018.06.002,s2,https://doi.org/10.1016/j.isprsjprs.2018.06.002,HEAD,200,text/html;charset=UTF-8,2725,https://linkinghub.elsevier.com/retrieve/pii/S0924271618301655,HTML
10.1016/j.rse.2019.111261,s2,https://doi.org/10.1016/j.rse.2019.111261,HEAD,200,text/html;charset=UTF-8,2755,https://linkinghub.elsevier.com/retrieve/pii/S0034425719302809,HTML
10.1016/j.rse.2021.112806,s2,https://doi.org/10.1016/j.rse.2021.112806,HEAD,200,text/html;charset=UTF-8,2749,https://linkinghub.elsevier.com/retrieve/pii/S0034425721005265,HTML
10.1016/j.ufug.2018.03.006,s2,https://doi.org/10.1016/j.ufug.2018.03.006,HEAD,200,text/html;charset=UTF-8,2677,https://linkinghub.elsevier.com/retrieve/pii/S1618866717307094,HTML
10.1017/s0003055418000783,s2,https://doi.org/10.2139/ssrn.3214172,GET,403,text/html; charset=UTF-8,,https://doi.org/10.2139/ssrn.3214172,HTML
10.1017/s0003055418000783,citation_pdf_url,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/DB2955F64A1F4E262C5B9B26C6D7552E/S0003055418000783a.pdf/div-class-title-using-a-probabilistic-model-to-assist-merging-of-large-scale-administrative-records-div.pdf,HEAD,200,text/html; charset=utf-8,,https://www.cambridge.org/core/journals/american-political-science-review/article/abs/using-a-probabilistic-model-to-assist-merging-of-largescale-administrative-records/DB2955F64A1F4E262C5B9B26C6D7552E,HTML
10.1023/a:1003403601725,crossref_link,https://link.springer.com/content/pdf/10.1023/A:1003403601725.pdf,HEAD,200,text/html; charset=utf-8,3038,https://link.springer.com/content/pdf/10.1023/A:1003403601725.pdf,HTML
10.1088/0266-5611/19/6/059,citation_pdf_url,https://iopscience.iop.org/article/10.1088/0266-5611/19/6/059/pdf,HEAD,200,text/html;charset=UTF-8,,https://iopscience.iop.org/article/10.1088/0266-5611/19/6/059/pdf,HTML
10.1093/biomet/asq010,crossref_link,http://academic.oup.com/biomet/article-pdf/97/2/419/583997/asq010.pdf,GET,403,text/html; charset=UTF-8,,http://academic.oup.com/biomet/article-pdf/97/2/419/583997/asq010.pdf,HTML
10.1109/igarss.2019.8898071,s2,https://arxiv.org/pdf/1903.06529,HEAD,200,application/pdf,2899303,https://arxiv.org/pdf/1903.06529,FREE-PDF
10.1109/jcdl52503.2021.00029,s2,http://arxiv.org/pdf/2103.07534,HEAD,200,application/pdf,474579,https://arxiv.org/pdf/2103.07534,FREE-PDF
10.1111/ectj.12097,crossref_link,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fectj.12097,GET,400,text/plain,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fectj.12097,status-400
10.1142/s2382626615500057,s2,https://arxiv.org/pdf/1502.04592,HEAD,200,application/pdf,917995,https://arxiv.org/pdf/1502.04592,FREE-PDF
