doi,openalex_status,openalex_is_oa,openalex_pdf,openalex_n_pdf,crossref_status,crossref_pdf_link,crossref_license,s2_status,s2_pdf,landing_status,citation_pdf_url,landing_final_url,landing_note,unpaywall_url,unpaywall_note
10.1002/wics.1317,200,False,,0,200,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fwics.1317,http://onlinelibrary.wiley.com/termsAndConditions#vor,200,http://www.census.gov/srd/papers/pdf/rr93-8.pdf,403,,https://doi.org/10.1002/wics.1317,,,unpaywall is_oa=False oa_status=closed
10.1007/0-387-69505-2_13,200,False,,0,200,http://link.springer.com/content/pdf/10.1007/0-387-69505-2_13.pdf,,200,,200,,https://link.springer.com/chapter/10.1007/0-387-69505-2_13,,,unpaywall is_oa=False oa_status=closed
10.1007/978-3-030-32248-9_57,200,False,,0,200,,https://www.springernature.com/gp/researchers/text-and-data-mining;https://www.springernature.com/gp/researchers/text-and-data-mining,200,https://arxiv.org/pdf/1910.12077,200,,https://link.springer.com/10.1007/978-3-030-32248-9_57,,,unpaywall is_oa=False oa_status=closed
10.1007/978-3-031-43849-3_5,200,False,,0,200,,https://www.springernature.com/gp/researchers/text-and-data-mining;https://www.springernature.com/gp/researchers/text-and-data-mining,200,,200,,https://link.springer.com/10.1007/978-3-031-43849-3_5,,,unpaywall is_oa=False oa_status=closed
10.1007/bf00531768,200,False,,0,200,http://link.springer.com/content/pdf/10.1007/BF00531768.pdf,http://www.springer.com/tdm,200,,200,,https://link.springer.com/article/10.1007/BF00531768,,,unpaywall is_oa=False oa_status=closed
10.1007/s00267-023-01934-6,200,False,,0,200,https://link.springer.com/content/pdf/10.1007/s00267-023-01934-6.pdf,https://www.springernature.com/gp/researchers/text-and-data-mining;https://www.springernature.com/gp/researchers/text-and-data-mining,200,,200,,https://link.springer.com/10.1007/s00267-023-01934-6,,,unpaywall is_oa=False oa_status=closed
10.1007/s10980-012-9719-2,200,False,,0,200,http://link.springer.com/content/pdf/10.1007/s10980-012-9719-2.pdf,http://www.springer.com/tdm,200,,200,,https://link.springer.com/article/10.1007/s10980-012-9719-2,,,unpaywall is_oa=False oa_status=closed
10.1016/j.agrformet.2023.109809,200,False,,0,200,,https://www.elsevier.com/tdm/userlicense/1.0/;https://www.elsevier.com/legal/tdmrep-license,200,,200,,https://linkinghub.elsevier.com/retrieve/pii/S0168192323004999,,,unpaywall is_oa=False oa_status=closed
10.1016/j.isprsjprs.2013.10.007,200,False,,0,200,,https://www.elsevier.com/tdm/userlicense/1.0/,200,,200,,https://linkinghub.elsevier.com/retrieve/pii/S0924271613002293,,,unpaywall is_oa=False oa_status=closed
10.1016/j.isprsjprs.2018.06.002,200,True,,0,200,,https://www.elsevier.com/tdm/userlicense/1.0/;https://www.elsevier.com/legal/tdmrep-license,200,https://doi.org/10.1016/j.isprsjprs.2018.06.002,200,,https://linkinghub.elsevier.com/retrieve/pii/S0924271618301655,,https://doi.org/10.1016/j.isprsjprs.2018.06.002,unpaywall is_oa=True oa_status=bronze
10.1016/j.rse.2010.07.008,200,False,,0,200,,https://www.elsevier.com/tdm/userlicense/1.0/,200,,200,,https://linkinghub.elsevier.com/retrieve/pii/S0034425710002245,,,unpaywall is_oa=False oa_status=closed
10.1016/j.rse.2010.07.010,200,False,,0,200,,https://www.elsevier.com/tdm/userlicense/1.0/,200,,200,,https://linkinghub.elsevier.com/retrieve/pii/S0034425710002269,,,unpaywall is_oa=False oa_status=closed
10.1016/j.rse.2019.111261,200,True,,0,200,,https://www.elsevier.com/tdm/userlicense/1.0/;https://www.elsevier.com/legal/tdmrep-license,200,https://doi.org/10.1016/j.rse.2019.111261,200,,https://linkinghub.elsevier.com/retrieve/pii/S0034425719302809,,https://doi.org/10.1016/j.rse.2019.111261,unpaywall is_oa=True oa_status=bronze
10.1016/j.rse.2021.112806,200,True,,0,200,,https://www.elsevier.com/tdm/userlicense/1.0/;https://www.elsevier.com/legal/tdmrep-license,200,https://doi.org/10.1016/j.rse.2021.112806,200,,https://linkinghub.elsevier.com/retrieve/pii/S0034425721005265,,https://doi.org/10.1016/j.rse.2021.112806,unpaywall is_oa=True oa_status=bronze
10.1016/j.ufug.2018.03.006,200,True,,0,200,,https://www.elsevier.com/tdm/userlicense/1.0/;https://www.elsevier.com/legal/tdmrep-license,200,https://doi.org/10.1016/j.ufug.2018.03.006,200,,https://linkinghub.elsevier.com/retrieve/pii/S1618866717307094,,https://doi.org/10.1016/j.ufug.2018.03.006,unpaywall is_oa=True oa_status=bronze
10.1016/s0034-4257(98)00010-8,200,False,,0,200,,https://www.elsevier.com/tdm/userlicense/1.0/,200,,200,,https://linkinghub.elsevier.com/retrieve/pii/S0034425798000108,,,unpaywall is_oa=False oa_status=closed
10.1017/s0003055418000783,200,False,,0,200,,https://www.cambridge.org/core/terms;https://www.cambridge.org/core/terms,200,https://doi.org/10.2139/ssrn.3214172,200,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/DB2955F64A1F4E262C5B9B26C6D7552E/S0003055418000783a.pdf/div-class-title-using-a-probabilistic-model-to-assist-merging-of-large-scale-administrative-records-div.pdf,https://www.cambridge.org/core/journals/american-political-science-review/article/abs/using-a-probabilistic-model-to-assist-merging-of-largescale-administrative-records/DB2955F64A1F4E262C5B9B26C6D7552E,,,unpaywall is_oa=False oa_status=closed
10.1023/a:1003403601725,200,False,,0,200,https://link.springer.com/content/pdf/10.1023/A:1003403601725.pdf,https://www.springernature.com/gp/researchers/text-and-data-mining;https://www.springernature.com/gp/researchers/text-and-data-mining,200,,200,,https://link.springer.com/10.1023/A:1003403601725,,,unpaywall is_oa=False oa_status=closed
