published_doi,preprint_doi,pdf_url,oai_identifier,datestamp,rights
,10.31223/osf.io/x6h4e,https://eartharxiv.org/repository/object/1679/download/3570/,oai:EA:id:1679,2018-07-02T16:47:47Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.1016/j.gca.2015.05.026,10.31223/osf.io/kr3ge,https://eartharxiv.org/repository/object/1678/download/3569/,oai:EA:id:1678,2018-07-02T16:47:47Z,http://opensource.org/licenses/AFL-3.0
10.1016/j.quascirev.2018.04.013,10.31223/osf.io/7g4kq,https://eartharxiv.org/repository/object/1677/download/3565/,oai:EA:id:1677,2018-07-02T16:47:47Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.1016/j.marpetgeo.2017.12.031,10.31223/osf.io/qt7dz,https://eartharxiv.org/repository/object/1676/download/3564/,oai:EA:id:1676,2018-07-02T16:47:48Z,http://opensource.org/licenses/AFL-3.0
10.1111/sed.12346,10.31223/osf.io/xmj2w,https://eartharxiv.org/repository/object/1675/download/3563/,oai:EA:id:1675,2019-05-11T00:30:28Z,http://opensource.org/licenses/AFL-3.0
10.1016/j.quascirev.2018.04.006,10.31223/osf.io/wvs9r,https://eartharxiv.org/repository/object/1674/download/3562/,oai:EA:id:1674,2018-07-02T16:47:49Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.2110/jsr.2019.16,10.31223/osf.io/adw6s,https://eartharxiv.org/repository/object/1673/download/3557/,oai:EA:id:1673,2019-03-16T01:06:29Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.1111/j.1502-3931.2009.00202.x,10.31223/osf.io/hb2r4,https://eartharxiv.org/repository/object/1672/download/3556/,oai:EA:id:1672,2018-07-02T16:47:49Z,http://opensource.org/licenses/AFL-3.0
,10.31223/osf.io/5k3er,https://eartharxiv.org/repository/object/1671/download/3555/,oai:EA:id:1671,2018-07-02T16:47:49Z,http://opensource.org/licenses/AFL-3.0
10.1038/srep40566,10.31223/osf.io/xhe5r,https://eartharxiv.org/repository/object/1670/download/3554/,oai:EA:id:1670,2018-07-02T16:47:51Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.1016/j.gr.2017.02.010,10.31223/osf.io/w6qvx,https://eartharxiv.org/repository/object/1669/download/3553/,oai:EA:id:1669,2018-07-02T16:47:51Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.1080/15740773.2017.1357900,10.31223/osf.io/6pk4y,https://eartharxiv.org/repository/object/1668/download/3552/,oai:EA:id:1668,2018-07-02T16:47:51Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.5194/se-8-1161-2017,10.31223/osf.io/k6g2e,https://eartharxiv.org/repository/object/1667/download/3551/,oai:EA:id:1667,2018-07-02T16:47:52Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.1130/g35160.1,10.31223/osf.io/ge27p,https://eartharxiv.org/repository/object/1666/download/3550/,oai:EA:id:1666,2018-07-02T16:47:53Z,http://opensource.org/licenses/AFL-3.0
10.3997/1873-0604.2017033,10.31223/osf.io/m3gkj,https://eartharxiv.org/repository/object/1665/download/3548/,oai:EA:id:1665,2018-07-02T16:47:53Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.1093/gji/ggx336,10.31223/osf.io/uztng,https://eartharxiv.org/repository/object/1664/download/3547/,oai:EA:id:1664,2018-07-02T16:47:53Z,http://opensource.org/licenses/AFL-3.0
10.1002/2017gc006933,10.31223/osf.io/t59c7,https://eartharxiv.org/repository/object/1663/download/3546/,oai:EA:id:1663,2018-07-02T16:47:53Z,http://opensource.org/licenses/AFL-3.0
10.1017/s0016756816000856,10.31223/osf.io/sp2uz,https://eartharxiv.org/repository/object/1662/download/3545/,oai:EA:id:1662,2018-07-02T16:47:53Z,http://opensource.org/licenses/AFL-3.0
10.1016/j.epsl.2016.06.021,10.31223/osf.io/uvqs6,https://eartharxiv.org/repository/object/1661/download/3544/,oai:EA:id:1661,2018-07-02T16:47:53Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.1080/2331835.2017.1284293,10.31223/osf.io/7mcnx,https://eartharxiv.org/repository/object/1660/download/3543/,oai:EA:id:1660,2018-07-02T16:49:41Z,http://opensource.org/licenses/AFL-3.0
,10.31223/osf.io/3cqfn,https://eartharxiv.org/repository/object/1659/download/3542/,oai:EA:id:1659,2018-07-02T16:49:41Z,http://opensource.org/licenses/AFL-3.0
10.1016/j.jhydrol.2018.08.022,10.31223/osf.io/atqxg,https://eartharxiv.org/repository/object/1658/download/3540/,oai:EA:id:1658,2018-08-14T20:23:32Z,https://creativecommons.org/licenses/by/4.0/legalcode
,10.31223/osf.io/mbcav,https://eartharxiv.org/repository/object/1657/download/3539/,oai:EA:id:1657,2018-07-02T16:49:41Z,http://opensource.org/licenses/AFL-3.0
10.1038/ngeo3027,10.31223/osf.io/c58a3,https://eartharxiv.org/repository/object/1656/download/3538/,oai:EA:id:1656,2018-07-02T16:49:41Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.1016/j.jsg.2017.08.006,10.31223/osf.io/rhcws,https://eartharxiv.org/repository/object/1655/download/3537/,oai:EA:id:1655,2018-07-02T16:49:42Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.1016/j.epsl.2017.07.014,10.31223/osf.io/56r73,https://eartharxiv.org/repository/object/1654/download/3536/,oai:EA:id:1654,2018-07-02T16:49:42Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.1016/j.marpetgeo.2017.07.025,10.31223/osf.io/d6yvx,https://eartharxiv.org/repository/object/1652/download/3534/,oai:EA:id:1652,2018-07-02T16:49:42Z,https://creativecommons.org/licenses/by/4.0/legalcode
10.1016/j.epsl.2017.09.003,10.31223/osf.io/f2ehc,https://eartharxiv.org/repository/object/1653/download/3535/,oai:EA:id:1653,2018-07-02T16:49:42Z,https://creativecommons.org/licenses/by/4.0/legalcode
,10.31223/osf.io/vfzcb,https://eartharxiv.org/repository/object/1651/download/3532/,oai:EA:id:1651,2018-07-02T16:49:42Z,http://opensource.org/licenses/AFL-3.0
