A,B,R,n_cells,r_composed_vs_observed,median_resid_composed_m,median_resid_globalonly_m,median_abs_field_m,p_shuffle
2009,2011s,2013,93,0.7562,0.3749,0.4408,0.6344,0.00249
2009,2011s,2015,63,0.7217,0.4409,0.3425,0.6164,0.00249
2009,2011s,2016,64,0.6591,0.2973,0.4308,0.647,0.00249
2009,2011s,2019,84,0.7453,0.4323,0.4239,0.6539,0.00249
2009,2011s,2021,61,0.6436,0.4852,0.4435,0.608,0.00249
2009,2011s,2024,67,0.6458,0.539,0.4393,0.6736,0.00249
2009,2013,2015,78,0.5677,0.4614,0.4582,0.3839,0.00249
2009,2013,2016,64,0.5338,0.4178,0.3663,0.4233,0.00249
2009,2013,2019,93,0.6583,0.4093,0.4727,0.4118,0.00249
2009,2013,2021,62,0.4287,0.4965,0.3649,0.3874,0.00249
2009,2013,2024,70,0.3928,0.5321,0.3691,0.4066,0.00249
2009,2015,2016,46,0.5008,0.5091,0.4409,0.5587,0.00249
2009,2015,2019,72,0.462,0.5001,0.4859,0.5839,0.00249
2009,2015,2021,49,0.2451,0.7261,0.5969,0.562,0.01496
2009,2015,2024,57,0.425,0.7297,0.6249,0.5925,0.00249
2009,2016,2019,63,0.57,0.5146,0.535,0.5836,0.00249
2009,2016,2021,55,0.4695,0.5101,0.4955,0.5434,0.00249
2009,2016,2024,57,0.4115,0.6448,0.5277,0.5843,0.00249
2009,2019,2021,63,0.5436,0.4418,0.4545,0.5866,0.00249
2009,2019,2024,73,0.5947,0.503,0.5056,0.6734,0.00249
2009,2021,2024,55,0.331,0.5891,0.4779,0.4454,0.00499
2011s,2013,2015,72,0.7418,0.4146,0.2971,0.7303,0.00249
2011s,2013,2016,92,0.8257,0.3381,0.2745,0.7221,0.00249
2011s,2013,2019,113,0.7625,0.4203,0.3322,0.7079,0.00249
2011s,2013,2021,76,0.7293,0.4216,0.3077,0.7281,0.00249
2011s,2013,2024,93,0.7357,0.4483,0.3184,0.7265,0.00249
2011s,2015,2016,52,0.6817,0.5237,0.4485,0.7358,0.00249
2011s,2015,2019,70,0.6807,0.6214,0.487,0.7525,0.00249
2011s,2015,2021,48,0.6043,0.5478,0.452,0.75,0.01247
2011s,2015,2024,61,0.4995,0.7038,0.5583,0.7525,0.00998
2011s,2016,2019,99,0.78,0.3396,0.3489,0.6395,0.00249
2011s,2016,2021,75,0.6307,0.415,0.3377,0.6223,0.00249
2011s,2016,2024,86,0.6671,0.424,0.3387,0.6207,0.00249
2011s,2019,2021,81,0.8294,0.4176,0.367,0.8864,0.00249
2011s,2019,2024,95,0.8176,0.4512,0.376,0.8829,0.00249
2011s,2021,2024,79,0.7064,0.5239,0.4881,0.7971,0.00249
2013,2015,2016,58,0.3003,0.4477,0.2588,0.2666,0.00249
2013,2015,2019,94,0.3001,0.4408,0.2896,0.2701,0.00249
2013,2015,2021,54,0.1122,0.4657,0.3217,0.2287,0.06484
2013,2015,2024,74,0.1288,0.5738,0.4248,0.2737,0.00748
2013,2016,2019,99,0.7094,0.3258,0.4016,0.479,0.00249
2013,2016,2021,74,0.6475,0.3806,0.3747,0.4345,0.00249
2013,2016,2024,85,0.5766,0.4535,0.382,0.4345,0.00249
2013,2019,2021,93,0.5663,0.3679,0.3742,0.416,0.00249
2013,2019,2024,108,0.4516,0.3948,0.3449,0.3991,0.00249
2013,2021,2024,88,0.4927,0.3801,0.4691,0.5164,0.00249
2015,2016,2019,59,0.637,0.5637,0.5573,0.5932,0.00249
2015,2016,2021,43,0.535,0.5547,0.544,0.5394,0.00249
2015,2016,2024,52,0.5412,0.5307,0.5534,0.5602,0.00249
2015,2019,2021,55,0.5469,0.5006,0.4332,0.5429,0.00249
2015,2019,2024,80,0.4503,0.4847,0.4332,0.5473,0.00249
2015,2021,2024,53,0.4345,0.4675,0.4475,0.5338,0.00249
2016,2019,2021,86,0.7845,0.3033,0.3931,0.6008,0.00249
2016,2019,2024,96,0.7314,0.4086,0.4324,0.5844,0.00249
2016,2021,2024,84,0.6402,0.3996,0.4657,0.4907,0.00249
2019,2021,2024,117,0.5362,0.3262,0.3636,0.4208,0.00249
# median_r_composed,0.5857
# median_resid_composed_m,0.4524
# median_resid_globalonly_m,0.4328
# n_triples,56
# n_triples_composed_beats_global,15
# n_triples_shuffle_p_lt_05,55
