file,verdict,size_mb,valid_frac,max_prob,mean_prob,nodata,crs,width,height,note,ts
edmonds_canopy_prob_2017_xsensor_rgb.tif,MOSTLY_NODATA,405.64,0.0348,0.9331,0.2925,255.0,EPSG:3857,148736,211968,96.5% nodata — failed or partial inference run; do NOT score,2026-08-17 23:06:36
edmonds_canopy_prob_2015_citywide_rgb.tif,SUSPECT_PARTIAL,226.03,0.0745,0.8819,0.2993,255.0,EPSG:3857,74496,105984,valid 7.4% vs 90.8% for another 2015 raster — likely an unfinished run,2026-08-17 23:06:36
edmonds_canopy_prob_2000_xsensor_sample.tif,SPARSE_BY_DESIGN,13.22,0.0227,0.5906,0.3219,255.0,EPSG:3857,18944,26880,"sample/train tile subset — sparse is CORRECT here; not citywide, do not score as a year",2026-08-17 23:06:36
edmonds_canopy_prob_2000_xsensor_train.tif,SPARSE_BY_DESIGN,17.61,0.0413,0.5984,0.2553,255.0,EPSG:3857,18944,26880,"sample/train tile subset — sparse is CORRECT here; not citywide, do not score as a year",2026-08-17 23:06:36
edmonds_canopy_prob_2002_xsensor_train.tif,SPARSE_BY_DESIGN,18.93,0.0459,0.8504,0.2605,255.0,EPSG:3857,18944,26880,"sample/train tile subset — sparse is CORRECT here; not citywide, do not score as a year",2026-08-17 23:06:36
edmonds_canopy_prob_2013_xsensor_train.tif,SPARSE_BY_DESIGN,69.32,0.0031,0.689,0.2555,255.0,EPSG:3857,74496,105984,"sample/train tile subset — sparse is CORRECT here; not citywide, do not score as a year",2026-08-17 23:06:36
edmonds_canopy_prob_2015_xsensor_train.tif,SPARSE_BY_DESIGN,69.84,0.0031,1.0,0.4065,255.0,EPSG:3857,74496,105984,"sample/train tile subset — sparse is CORRECT here; not citywide, do not score as a year",2026-08-17 23:06:36
edmonds_canopy_prob_2019_xsensor_train.tif,SPARSE_BY_DESIGN,69.09,0.0031,0.8701,0.214,255.0,EPSG:3857,74496,105984,"sample/train tile subset — sparse is CORRECT here; not citywide, do not score as a year",2026-08-17 23:06:36
edmonds_canopy_prob_2022_xsensor_train.tif,SPARSE_BY_DESIGN,2.54,0.0,nan,nan,255.0,EPSG:3857,148736,211968,"sample/train tile subset — sparse is CORRECT here; not citywide, do not score as a year",2026-08-17 23:06:36
edmonds_canopy_prob_2000.tif,OK,224.42,0.7216,0.8858,0.2777,255.0,EPSG:3857,18944,26880,,2026-08-17 23:06:36
edmonds_canopy_prob_2000_citywide_rgb.tif,OK,214.64,0.7216,0.8504,0.2479,255.0,EPSG:3857,18944,26880,,2026-08-17 23:06:36
edmonds_canopy_prob_2000_xsensor_rgb.tif,OK,227.4,0.7216,0.8346,0.2972,255.0,EPSG:3857,18944,26880,,2026-08-17 23:06:36
edmonds_canopy_prob_2002.tif,OK,230.32,0.8042,0.8465,0.2521,255.0,EPSG:3857,18944,26880,,2026-08-17 23:06:36
edmonds_canopy_prob_2002_citywide_rgb.tif,OK,216.12,0.8042,0.8386,0.2315,255.0,EPSG:3857,18944,26880,,2026-08-17 23:06:36
edmonds_canopy_prob_2002_xsensor_rgb.tif,OK,223.15,0.8042,0.8425,0.2435,255.0,EPSG:3857,18944,26880,,2026-08-17 23:06:36
edmonds_canopy_prob_2013.tif,OK,2063.09,0.9057,0.9606,0.2276,255.0,EPSG:3857,74496,105984,,2026-08-17 23:06:36
edmonds_canopy_prob_2013_citywide_rgb.tif,OK,2510.94,0.9057,0.811,0.2475,255.0,EPSG:3857,74496,105984,,2026-08-17 23:06:36
edmonds_canopy_prob_2013_xsensor_rgb.tif,OK,2364.33,0.9057,0.8858,0.2318,255.0,EPSG:3857,74496,105984,,2026-08-17 23:06:36
edmonds_canopy_prob_2015.tif,OK,2172.11,0.9075,0.8189,0.2284,255.0,EPSG:3857,74496,105984,,2026-08-17 23:06:36
edmonds_canopy_prob_2015_xsensor_rgb.tif,OK,2612.7,0.9075,0.8819,0.2469,255.0,EPSG:3857,74496,105984,,2026-08-17 23:06:36
edmonds_canopy_prob_2016.tif,OK,471.49,0.9612,0.8976,0.2072,255.0,EPSG:2285,43893,31965,,2026-08-17 23:06:36
