tag,px_m,tol_m,dilate_px,recall,precision
t1_2006s_base,3.2808,0.0,0,0.7694,0.6315
t1_2006s_base,3.2808,0.5,0,0.7694,0.6315
t1_2006s_base,3.2808,1.0,0,0.7694,0.6315
t1_2006s_base,3.2808,2.0,1,0.8011,0.7117
t1_2006s_in16,3.2808,0.0,0,0.7674,0.6566
t1_2006s_in16,3.2808,0.5,0,0.7674,0.6566
t1_2006s_in16,3.2808,1.0,0,0.7674,0.6566
t1_2006s_in16,3.2808,2.0,1,0.7987,0.7367
t1_2011s_base,1.0,0.0,0,0.7831,0.709
t1_2011s_base,1.0,0.5,0,0.7831,0.709
t1_2011s_base,1.0,1.0,1,0.8036,0.7329
t1_2011s_base,1.0,2.0,2,0.8225,0.7541
t1_2011s_in16,1.0,0.0,0,0.7798,0.7249
t1_2011s_in16,1.0,0.5,0,0.7798,0.7249
t1_2011s_in16,1.0,1.0,1,0.8038,0.7489
t1_2011s_in16,1.0,2.0,2,0.8259,0.7698
t1_2016_base,1.0,0.0,0,0.7798,0.6794
t1_2016_base,1.0,0.5,0,0.7798,0.6794
t1_2016_base,1.0,1.0,1,0.7983,0.7032
t1_2016_base,1.0,2.0,2,0.8157,0.7247
t1_2016_in16,1.0,0.0,0,0.7825,0.7116
t1_2016_in16,1.0,0.5,0,0.7825,0.7116
t1_2016_in16,1.0,1.0,1,0.8105,0.7355
t1_2016_in16,1.0,2.0,2,0.836,0.7561
t1_2019n_base,0.6,0.0,0,0.7567,0.7112
t1_2019n_base,0.6,0.5,1,0.7835,0.7566
t1_2019n_base,0.6,1.0,2,0.8074,0.7944
t1_2019n_base,0.6,2.0,3,0.8285,0.8262
t1_2020_base,0.0746,0.0,0,0.7039,0.7383
t1_2020_base,0.0746,0.5,7,0.7837,0.7638
t1_2020_base,0.0746,1.0,13,0.8371,0.7818
t1_2020_base,0.0746,2.0,27,0.9197,0.8131
t1_2020_in16,0.0746,0.0,0,0.6592,0.7968
t1_2020_in16,0.0746,0.5,7,0.7229,0.8211
t1_2020_in16,0.0746,1.0,13,0.769,0.8382
t1_2020_in16,0.0746,2.0,27,0.848,0.8675
