capture,interp,true_net_pp,power_excl_zero,median_ci_halfwidth_pp
0.5,0.0,-2.0,0.798,1.43
0.5,0.0,-1.5,0.556,1.42
0.5,0.0,-1.0,0.281,1.42
0.5,0.0,0.0,0.051,1.43
0.5,0.0,1.0,0.288,1.42
0.5,0.0,1.5,0.551,1.42
0.5,0.0,2.0,0.781,1.42
0.5,0.005,-2.0,0.74,1.53
0.5,0.005,-1.5,0.477,1.53
0.5,0.005,-1.0,0.257,1.53
0.5,0.005,0.0,0.042,1.53
0.5,0.005,1.0,0.259,1.56
0.5,0.005,1.5,0.49,1.57
0.5,0.005,2.0,0.737,1.53
0.5,0.01,-2.0,0.68,1.66
0.5,0.01,-1.5,0.436,1.66
0.5,0.01,-1.0,0.211,1.67
0.5,0.01,0.0,0.057,1.66
0.5,0.01,1.0,0.209,1.66
0.5,0.01,1.5,0.412,1.66
0.5,0.01,2.0,0.68,1.63
0.5,0.02,-2.0,0.562,1.84
0.5,0.02,-1.5,0.356,1.84
0.5,0.02,-1.0,0.177,1.85
0.5,0.02,0.0,0.048,1.85
0.5,0.02,1.0,0.191,1.84
0.5,0.02,1.5,0.368,1.85
0.5,0.02,2.0,0.548,1.84
0.7,0.0,-2.0,0.931,1.14
0.7,0.0,-1.5,0.717,1.15
0.7,0.0,-1.0,0.412,1.16
0.7,0.0,0.0,0.054,1.15
0.7,0.0,1.0,0.389,1.15
0.7,0.0,1.5,0.722,1.15
0.7,0.0,2.0,0.928,1.15
0.7,0.005,-2.0,0.849,1.32
0.7,0.005,-1.5,0.635,1.32
0.7,0.005,-1.0,0.327,1.33
0.7,0.005,0.0,0.053,1.29
0.7,0.005,1.0,0.351,1.32
0.7,0.005,1.5,0.622,1.32
0.7,0.005,2.0,0.862,1.28
0.7,0.01,-2.0,0.793,1.44
0.7,0.01,-1.5,0.566,1.44
0.7,0.01,-1.0,0.28,1.44
0.7,0.01,0.0,0.048,1.44
0.7,0.01,1.0,0.291,1.44
0.7,0.01,1.5,0.536,1.44
0.7,0.01,2.0,0.786,1.44
0.7,0.02,-2.0,0.662,1.64
0.7,0.02,-1.5,0.432,1.65
0.7,0.02,-1.0,0.212,1.64
0.7,0.02,0.0,0.05,1.65
0.7,0.02,1.0,0.223,1.65
0.7,0.02,1.5,0.431,1.65
0.7,0.02,2.0,0.643,1.64
0.9,0.0,-2.0,0.995,0.78
0.9,0.0,-1.5,0.947,0.79
0.9,0.0,-1.0,0.667,0.79
0.9,0.0,0.0,0.044,0.8
0.9,0.0,1.0,0.674,0.8
0.9,0.0,1.5,0.938,0.79
0.9,0.0,2.0,0.997,0.78
0.9,0.005,-2.0,0.969,1.02
0.9,0.005,-1.5,0.822,1.03
0.9,0.005,-1.0,0.522,1.03
0.9,0.005,0.0,0.04,1.03
0.9,0.005,1.0,0.53,1.03
0.9,0.005,1.5,0.832,0.97
0.9,0.005,2.0,0.968,0.99
0.9,0.01,-2.0,0.914,1.17
0.9,0.01,-1.5,0.705,1.17
0.9,0.01,-1.0,0.392,1.18
0.9,0.01,0.0,0.051,1.18
0.9,0.01,1.0,0.406,1.17
0.9,0.01,1.5,0.72,1.17
0.9,0.01,2.0,0.904,1.17
0.9,0.02,-2.0,0.766,1.41
0.9,0.02,-1.5,0.521,1.42
0.9,0.02,-1.0,0.276,1.42
0.9,0.02,0.0,0.052,1.42
0.9,0.02,1.0,0.274,1.42
0.9,0.02,1.5,0.547,1.42
0.9,0.02,2.0,0.783,1.41
