point_id,src,dx,dy
D01,969,-0.09,-2.0
D02,932,-1.02,-1.72
D03,882,0.17,-1.99
D04,949,-1.61,-1.19
D05,955,1.6,-1.21
D06,946,-0.5,1.94
D07,961,0.91,1.78
D08,830,-0.59,-1.91
D09,844,1.57,1.24
D10,821,0.14,2.0
D11,908,1.41,1.42
D12,904,-0.75,1.85
D13,921,-1.85,0.75
D14,1000,-1.7,1.05
D15,970,1.34,1.48
D16,934,-1.8,-0.87
D17,894,1.66,1.12
D18,878,0.84,1.82
D19,915,-2.0,-0.06
D20,879,1.82,-0.82
D21,880,1.83,0.81
D22,870,1.6,1.2
D23,995,2.0,0.09
D24,937,-1.03,1.71
D25,988,1.6,1.2
D26,886,-1.69,-1.06
D27,920,0.96,1.76
D28,868,-0.82,-1.83
D29,832,1.82,0.84
D30,873,1.22,1.59
