point_id,label,ts
D01,nochange,2026-09-05T19:51:21Z
D02,nochange,2026-09-05T19:51:22Z
D03,nochange,2026-09-05T19:51:22Z
D04,nochange,2026-09-05T19:51:24Z
D05,loss,2026-09-05T19:52:10Z
D06,nochange,2026-09-05T19:52:14Z
D07,nochange,2026-09-05T19:52:15Z
D08,nochange,2026-09-05T19:52:15Z
D09,nochange,2026-09-05T19:52:17Z
D10,nochange,2026-09-05T19:52:18Z
D11,nochange,2026-09-05T19:52:19Z
D12,nochange,2026-09-05T19:52:23Z
D13,nochange,2026-09-05T19:52:24Z
D14,nochange,2026-09-05T19:52:25Z
D15,nochange,2026-09-05T19:52:26Z
D16,nochange,2026-09-05T19:52:27Z
D17,nochange,2026-09-05T19:52:28Z
D18,nochange,2026-09-05T19:52:29Z
D19,nochange,2026-09-05T19:52:32Z
D20,nochange,2026-09-05T19:52:33Z
D21,nochange,2026-09-05T19:52:34Z
D22,nochange,2026-09-05T19:52:35Z
D23,nochange,2026-09-05T19:52:36Z
D24,loss,2026-09-05T19:52:41Z
D25,nochange,2026-09-05T19:52:43Z
D26,undo,2026-09-05T19:52:43Z
D25,nochange,2026-09-05T19:52:48Z
D26,nochange,2026-09-05T19:52:49Z
D27,nochange,2026-09-05T19:52:50Z
D28,nochange,2026-09-05T19:52:52Z
D29,nochange,2026-09-05T19:53:03Z
D30,nochange,2026-09-05T19:53:03Z
