point_id,label,stratum,stratum_name,estimator_stratum,x,y,verify_overturned
1,nochange,1,cand_change,1,549805.0,5300765.0,0
10,nochange,1,cand_change,1,549645.0,5293893.0,0
100,nochange,1,cand_change,1,549371.0,5295021.0,0
1000,nochange,3,stable_canopy,3,549583.0,5298461.0,0
1001,nochange,4,stable_other,4,549019.0,5297459.0,0
1002,nochange,4,stable_other,4,547939.0,5293559.0,0
1003,nochange,4,stable_other,4,547465.0,5294121.0,0
1004,nochange,4,stable_other,4,549591.0,5295101.0,0
1005,nochange,4,stable_other,4,547463.0,5292957.0,0
1006,nochange,4,stable_other,4,546989.0,5297017.0,0
1007,nochange,4,stable_other,4,549605.0,5292171.0,0
1008,nochange,4,stable_other,4,549805.0,5293403.0,0
1009,nochange,4,stable_other,4,547647.0,5292795.0,0
101,nochange,1,cand_change,1,547965.0,5292973.0,0
1010,nochange,4,stable_other,4,549011.0,5295011.0,0
1011,nochange,4,stable_other,4,548453.0,5295589.0,0
1012,nochange,4,stable_other,4,547681.0,5296573.0,0
1013,nochange,4,stable_other,4,548665.0,5297603.0,0
1014,nochange,4,stable_other,4,547851.0,5291841.0,0
1015,nochange,4,stable_other,4,548773.0,5291903.0,0
1016,nochange,4,stable_other,4,550135.0,5300751.0,0
1017,nochange,4,stable_other,4,546499.0,5296147.0,0
1018,loss,4,stable_other,4,547581.0,5295937.0,0
1019,nochange,4,stable_other,4,549151.0,5295521.0,0
102,nochange,1,cand_change,1,548235.0,5295771.0,0
1020,nochange,4,stable_other,4,548275.0,5294845.0,0
1021,nochange,4,stable_other,4,547333.0,5292219.0,0
1022,nochange,4,stable_other,4,549269.0,5298117.0,0
1024,nochange,4,stable_other,4,548925.0,5296695.0,0
1025,nochange,4,stable_other,4,548837.0,5292147.0,0
1026,nochange,4,stable_other,4,546953.0,5295617.0,0
1027,nochange,4,stable_other,4,548387.0,5291995.0,0
1028,nochange,4,stable_other,4,547177.0,5293539.0,0
1029,nochange,4,stable_other,4,546813.0,5292403.0,0
103,nochange,1,cand_change,1,548099.0,5297723.0,0
1030,nochange,4,stable_other,4,548651.0,5295429.0,0
1031,nochange,4,stable_other,4,549235.0,5296451.0,0
1032,nochange,4,stable_other,4,550361.0,5300531.0,0
1033,nochange,4,stable_other,4,547261.0,5292441.0,0
