point_id,label,ts
554,nochange,2026-09-05T00:11:18Z
1192,nochange,2026-09-05T00:11:20Z
1101,gain,2026-09-05T00:11:29Z
984,nochange,2026-09-05T00:11:31Z
970,nochange,2026-09-05T00:11:32Z
877,nochange,2026-09-05T00:11:34Z
476,unsure,2026-09-05T00:11:39Z
804,loss,2026-09-05T00:11:46Z
11,nochange,2026-09-05T00:11:48Z
576,unsure,2026-09-05T00:11:54Z
48,nochange,2026-09-05T00:11:57Z
526,nochange,2026-09-05T00:11:58Z
969,nochange,2026-09-05T00:11:59Z
1166,loss,2026-09-05T00:12:11Z
763,nochange,2026-09-05T00:12:12Z
885,nochange,2026-09-05T00:12:14Z
438,nochange,2026-09-05T00:12:16Z
197,loss,2026-09-05T00:12:50Z
637,nochange,2026-09-05T00:12:53Z
1047,nochange,2026-09-05T00:12:55Z
685,nochange,2026-09-05T00:12:56Z
976,nochange,2026-09-05T00:12:58Z
205,nochange,2026-09-05T00:12:59Z
1267,nochange,2026-09-05T00:13:01Z
16,loss,2026-09-05T00:13:04Z
459,nochange,2026-09-05T00:13:05Z
947,nochange,2026-09-05T00:13:06Z
332,nochange,2026-09-05T00:13:08Z
458,nochange,2026-09-05T00:13:09Z
1296,nochange,2026-09-05T00:13:12Z
59,nochange,2026-09-05T00:13:14Z
402,nochange,2026-09-05T00:13:15Z
593,loss,2026-09-05T00:13:19Z
1102,nochange,2026-09-05T00:13:21Z
73,nochange,2026-09-05T00:13:23Z
863,nochange,2026-09-05T00:13:24Z
447,nochange,2026-09-05T00:13:26Z
1127,nochange,2026-09-05T00:13:27Z
431,nochange,2026-09-05T00:13:28Z
392,nochange,2026-09-05T00:13:29Z
1288,nochange,2026-09-05T00:13:31Z
117,nochange,2026-09-05T00:13:35Z
1218,nochange,2026-09-05T00:13:36Z
1215,nochange,2026-09-05T00:13:37Z
677,nochange,2026-09-05T00:13:38Z
727,nochange,2026-09-05T00:13:40Z
1086,nochange,2026-09-05T00:13:42Z
6,nochange,2026-09-05T00:13:43Z
1069,nochange,2026-09-05T00:13:44Z
148,nochange,2026-09-05T00:13:46Z
1052,nochange,2026-09-05T00:13:48Z
724,nochange,2026-09-05T00:13:50Z
338,nochange,2026-09-05T00:13:51Z
263,unsure,2026-09-05T00:13:54Z
416,nochange,2026-09-05T00:13:55Z
899,nochange,2026-09-05T00:13:58Z
620,nochange,2026-09-05T00:13:59Z
221,unsure,2026-09-05T00:14:08Z
840,nochange,2026-09-05T00:14:10Z
588,nochange,2026-09-05T00:14:11Z
929,nochange,2026-09-05T00:14:17Z
1110,nochange,2026-09-05T00:14:20Z
112,nochange,2026-09-05T00:14:21Z
405,nochange,2026-09-05T00:14:24Z
1088,nochange,2026-09-05T00:14:27Z
152,nochange,2026-09-05T00:14:28Z
577,nochange,2026-09-05T00:14:30Z
963,nochange,2026-09-05T00:14:31Z
1152,nochange,2026-09-05T00:14:33Z
644,nochange,2026-09-05T00:14:35Z
422,nochange,2026-09-05T00:14:36Z
386,nochange,2026-09-05T00:14:37Z
284,nochange,2026-09-05T00:14:39Z
527,nochange,2026-09-05T00:14:40Z
960,nochange,2026-09-05T00:14:42Z
1038,nochange,2026-09-05T00:14:43Z
499,nochange,2026-09-05T00:14:44Z
7,nochange,2026-09-05T00:14:45Z
406,nochange,2026-09-05T00:14:46Z
919,nochange,2026-09-05T00:14:48Z
342,nochange,2026-09-05T00:14:49Z
776,nochange,2026-09-05T00:14:50Z
433,loss,2026-09-05T00:14:52Z
1032,nochange,2026-09-05T00:14:55Z
635,nochange,2026-09-05T00:14:57Z
78,loss,2026-09-05T00:14:58Z
1001,nochange,2026-09-05T00:15:00Z
767,nochange,2026-09-05T00:15:04Z
852,gain,2026-09-05T00:15:10Z
921,nochange,2026-09-05T00:15:13Z
712,nochange,2026-09-05T00:15:15Z
1210,nochange,2026-09-05T00:15:16Z
310,nochange,2026-09-05T00:15:17Z
913,nochange,2026-09-05T00:15:21Z
494,nochange,2026-09-05T00:15:24Z
162,nochange,2026-09-05T00:15:25Z
680,nochange,2026-09-05T00:15:26Z
972,nochange,2026-09-05T00:15:28Z
799,nochange,2026-09-05T00:15:30Z
415,nochange,2026-09-05T00:15:32Z
139,nochange,2026-09-05T00:15:34Z
941,nochange,2026-09-05T00:15:36Z
1237,nochange,2026-09-05T00:15:38Z
1117,nochange,2026-09-05T00:15:40Z
213,nochange,2026-09-05T00:15:44Z
1129,nochange,2026-09-05T00:15:46Z
967,unsure,2026-09-05T00:15:49Z
227,nochange,2026-09-05T00:15:50Z
38,nochange,2026-09-05T00:15:52Z
1106,nochange,2026-09-05T00:15:54Z
1065,nochange,2026-09-05T00:15:54Z
141,nochange,2026-09-05T00:15:55Z
478,nochange,2026-09-05T00:15:56Z
1272,loss,2026-09-05T00:16:05Z
849,nochange,2026-09-05T00:16:06Z
219,nochange,2026-09-05T00:16:07Z
1090,nochange,2026-09-05T00:16:12Z
155,nochange,2026-09-05T00:16:13Z
276,nochange,2026-09-05T00:16:14Z
792,nochange,2026-09-05T00:16:16Z
1265,nochange,2026-09-05T00:16:17Z
366,nochange,2026-09-05T00:16:20Z
91,nochange,2026-09-05T00:16:22Z
176,nochange,2026-09-05T00:16:23Z
737,loss,2026-09-05T00:16:28Z
999,nochange,2026-09-05T00:16:30Z
92,nochange,2026-09-05T00:16:31Z
194,nochange,2026-09-05T00:16:32Z
288,nochange,2026-09-05T00:16:33Z
1035,nochange,2026-09-05T00:16:35Z
1128,nochange,2026-09-05T00:16:36Z
605,nochange,2026-09-05T00:16:37Z
414,nochange,2026-09-05T00:16:39Z
1201,nochange,2026-09-05T00:16:41Z
633,nochange,2026-09-05T00:16:43Z
981,nochange,2026-09-05T00:16:44Z
802,nochange,2026-09-05T00:16:47Z
461,nochange,2026-09-05T00:16:48Z
404,loss,2026-09-05T00:16:51Z
1204,nochange,2026-09-05T00:16:55Z
927,nochange,2026-09-05T00:16:56Z
1263,nochange,2026-09-05T00:16:57Z
122,nochange,2026-09-05T00:16:58Z
381,nochange,2026-09-05T00:16:59Z
1094,nochange,2026-09-05T00:17:03Z
1005,nochange,2026-09-05T00:17:05Z
27,nochange,2026-09-05T00:17:13Z
1146,loss,2026-09-05T00:17:16Z
1029,nochange,2026-09-05T00:17:18Z
17,nochange,2026-09-05T00:17:19Z
719,nochange,2026-09-05T00:17:20Z
800,nochange,2026-09-05T00:17:21Z
419,nochange,2026-09-05T00:17:22Z
1241,nochange,2026-09-05T00:17:24Z
703,nochange,2026-09-05T00:17:25Z
631,nochange,2026-09-05T00:17:26Z
1242,nochange,2026-09-05T00:17:28Z
912,nochange,2026-09-05T00:17:30Z
475,nochange,2026-09-05T00:17:31Z
262,nochange,2026-09-05T00:17:33Z
705,nochange,2026-09-05T00:17:34Z
1240,nochange,2026-09-05T00:17:36Z
856,nochange,2026-09-05T00:17:38Z
387,nochange,2026-09-05T00:17:39Z
708,gain,2026-09-05T00:17:44Z
893,nochange,2026-09-05T00:17:45Z
207,nochange,2026-09-05T00:17:46Z
819,nochange,2026-09-05T00:17:48Z
1095,nochange,2026-09-05T00:17:49Z
1208,undo,2026-09-05T00:17:52Z
1095,unsure,2026-09-05T00:17:53Z
1208,loss,2026-09-05T00:17:56Z
597,nochange,2026-09-05T00:17:58Z
1116,nochange,2026-09-05T00:18:00Z
29,nochange,2026-09-05T00:18:01Z
93,nochange,2026-09-05T00:18:03Z
699,nochange,2026-09-05T00:18:04Z
650,nochange,2026-09-05T00:18:06Z
944,nochange,2026-09-05T00:18:07Z
1140,nochange,2026-09-05T00:18:10Z
1060,nochange,2026-09-05T00:18:11Z
709,nochange,2026-09-05T00:18:13Z
933,nochange,2026-09-05T00:18:14Z
1087,nochange,2026-09-05T00:18:16Z
66,nochange,2026-09-05T00:18:16Z
853,nochange,2026-09-05T00:18:19Z
747,nochange,2026-09-05T00:18:22Z
1028,nochange,2026-09-05T00:18:23Z
244,nochange,2026-09-05T00:18:24Z
1177,nochange,2026-09-05T00:18:26Z
321,nochange,2026-09-05T00:18:29Z
1185,nochange,2026-09-05T00:18:30Z
337,nochange,2026-09-05T00:18:31Z
958,nochange,2026-09-05T00:18:32Z
68,nochange,2026-09-05T00:18:34Z
506,nochange,2026-09-05T00:18:35Z
85,nochange,2026-09-05T00:18:36Z
757,nochange,2026-09-05T00:18:37Z
1084,nochange,2026-09-05T00:18:38Z
266,nochange,2026-09-05T00:18:40Z
520,nochange,2026-09-05T00:18:41Z
818,undo,2026-09-05T00:18:43Z
520,nochange,2026-09-05T00:18:45Z
818,nochange,2026-09-05T00:18:46Z
1004,nochange,2026-09-05T00:18:47Z
872,nochange,2026-09-05T00:18:48Z
746,nochange,2026-09-05T00:18:51Z
355,nochange,2026-09-05T00:18:52Z
842,nochange,2026-09-05T00:18:53Z
1184,nochange,2026-09-05T00:18:55Z
495,nochange,2026-09-05T00:18:56Z
311,nochange,2026-09-05T00:18:57Z
177,nochange,2026-09-05T00:18:57Z
97,nochange,2026-09-05T00:18:59Z
764,nochange,2026-09-05T00:19:00Z
542,nochange,2026-09-05T00:19:01Z
700,loss,2026-09-05T00:19:04Z
656,loss,2026-09-05T00:19:06Z
456,nochange,2026-09-05T00:19:07Z
1056,nochange,2026-09-05T00:19:09Z
521,nochange,2026-09-05T00:19:09Z
1262,nochange,2026-09-05T00:19:10Z
298,nochange,2026-09-05T00:19:11Z
1278,unsure,2026-09-05T00:19:14Z
796,nochange,2026-09-05T00:19:15Z
512,nochange,2026-09-05T00:19:16Z
1118,nochange,2026-09-05T00:19:18Z
306,nochange,2026-09-05T00:19:25Z
327,nochange,2026-09-05T00:19:26Z
785,nochange,2026-09-05T00:19:33Z
573,nochange,2026-09-05T00:19:34Z
645,nochange,2026-09-05T00:19:35Z
578,nochange,2026-09-05T00:19:36Z
154,nochange,2026-09-05T00:19:37Z
643,nochange,2026-09-05T00:19:39Z
426,nochange,2026-09-05T00:19:40Z
1273,nochange,2026-09-05T00:19:41Z
1212,nochange,2026-09-05T00:19:42Z
400,nochange,2026-09-05T00:19:43Z
435,nochange,2026-09-05T00:19:44Z
580,nochange,2026-09-05T00:19:45Z
444,nochange,2026-09-05T00:19:47Z
1245,nochange,2026-09-05T00:19:48Z
296,nochange,2026-09-05T00:19:49Z
603,undo,2026-09-05T00:19:51Z
296,nochange,2026-09-05T00:19:53Z
603,nochange,2026-09-05T00:19:54Z
1249,nochange,2026-09-05T00:19:55Z
591,nochange,2026-09-05T00:19:56Z
934,nochange,2026-09-05T00:19:56Z
729,undo,2026-09-05T00:19:58Z
934,unsure,2026-09-05T00:20:06Z
729,nochange,2026-09-05T00:20:08Z
147,nochange,2026-09-05T00:20:09Z
1219,nochange,2026-09-05T00:20:12Z
854,nochange,2026-09-05T00:20:13Z
1258,nochange,2026-09-05T00:20:14Z
436,nochange,2026-09-05T00:20:16Z
922,nochange,2026-09-05T00:20:17Z
881,nochange,2026-09-05T00:20:18Z
1148,nochange,2026-09-05T00:20:20Z
104,unsure,2026-09-05T00:20:23Z
812,nochange,2026-09-05T00:20:24Z
1283,nochange,2026-09-05T00:20:25Z
33,nochange,2026-09-05T00:20:26Z
787,nochange,2026-09-05T00:20:28Z
822,nochange,2026-09-05T00:20:29Z
471,nochange,2026-09-05T00:20:30Z
222,nochange,2026-09-05T00:20:31Z
349,nochange,2026-09-05T00:20:32Z
801,nochange,2026-09-05T00:20:33Z
136,nochange,2026-09-05T00:20:34Z
898,nochange,2026-09-05T00:20:36Z
313,nochange,2026-09-05T00:20:37Z
120,nochange,2026-09-05T00:20:39Z
649,nochange,2026-09-05T00:20:39Z
121,nochange,2026-09-05T00:20:41Z
211,nochange,2026-09-05T00:20:42Z
672,nochange,2026-09-05T00:20:43Z
465,nochange,2026-09-05T00:20:44Z
103,nochange,2026-09-05T00:20:44Z
198,loss,2026-09-05T00:20:46Z
607,nochange,2026-09-05T00:20:47Z
890,nochange,2026-09-05T00:20:49Z
352,unsure,2026-09-05T00:20:52Z
473,nochange,2026-09-05T00:20:53Z
892,unsure,2026-09-05T00:20:57Z
442,nochange,2026-09-05T00:21:00Z
127,nochange,2026-09-05T00:21:00Z
928,nochange,2026-09-05T00:21:01Z
1067,nochange,2026-09-05T00:21:05Z
553,nochange,2026-09-05T00:21:06Z
354,nochange,2026-09-05T00:21:07Z
874,nochange,2026-09-05T00:21:08Z
74,nochange,2026-09-05T00:21:10Z
460,nochange,2026-09-05T00:21:11Z
718,nochange,2026-09-05T00:21:11Z
514,nochange,2026-09-05T00:21:13Z
508,nochange,2026-09-05T00:21:14Z
362,nochange,2026-09-05T00:21:15Z
53,nochange,2026-09-05T00:21:16Z
1066,nochange,2026-09-05T00:21:17Z
670,nochange,2026-09-05T00:21:18Z
188,nochange,2026-09-05T00:21:19Z
498,nochange,2026-09-05T00:21:21Z
99,nochange,2026-09-05T00:21:22Z
60,nochange,2026-09-05T00:21:23Z
293,nochange,2026-09-05T00:21:24Z
528,undo,2026-09-05T00:21:26Z
293,unsure,2026-09-05T00:21:26Z
528,nochange,2026-09-05T00:21:30Z
1222,nochange,2026-09-05T00:21:31Z
738,nochange,2026-09-05T00:21:32Z
1271,nochange,2026-09-05T00:21:33Z
297,nochange,2026-09-05T00:21:35Z
1013,nochange,2026-09-05T00:21:38Z
1284,nochange,2026-09-05T00:22:32Z
472,nochange,2026-09-05T00:22:33Z
454,unsure,2026-09-05T00:22:38Z
482,nochange,2026-09-05T00:22:39Z
1292,nochange,2026-09-05T00:22:40Z
1172,nochange,2026-09-05T00:22:42Z
1286,nochange,2026-09-05T00:22:43Z
662,nochange,2026-09-05T00:22:44Z
32,nochange,2026-09-05T00:22:45Z
882,nochange,2026-09-05T00:22:45Z
1073,nochange,2026-09-05T00:22:47Z
572,nochange,2026-09-05T00:22:48Z
282,nochange,2026-09-05T00:22:52Z
848,nochange,2026-09-05T00:22:52Z
462,nochange,2026-09-05T00:22:53Z
