point_id,x,y,map_state
593,549325.0,5292835.0,not_in_map_loss
433,549717.0,5299867.0,in_loss
737,547929.0,5294569.0,within_10m
404,548841.0,5296101.0,in_loss
700,548105.0,5294917.0,in_loss
694,550217.0,5300281.0,in_loss
469,549545.0,5296035.0,in_loss
1123,548281.0,5295505.0,within_10m
356,549363.0,5296869.0,not_in_map_loss
385,546667.0,5296075.0,in_loss
1018,547581.0,5295937.0,in_loss
441,546919.0,5292747.0,not_in_map_loss
586,546715.0,5292153.0,in_loss
490,548565.0,5295353.0,in_loss
326,549303.0,5297569.0,not_in_map_loss
519,547665.0,5295083.0,in_loss
507,547569.0,5293073.0,in_loss
815,546803.0,5296341.0,in_loss
604,549519.0,5297755.0,in_loss
1206,548703.0,5297457.0,within_10m
8,547783.0,5293425.0,within_10m
1113,548359.0,5298605.0,in_loss
923,548961.0,5292573.0,in_loss
9,548451.0,5294391.0,in_loss
15,548571.0,5296699.0,not_in_map_loss
16,547141.0,5293079.0,in_loss
28,548355.0,5295751.0,in_loss
37,547297.0,5291937.0,in_loss
65,549325.0,5292831.0,not_in_map_loss
78,550009.0,5300533.0,in_loss
111,548289.0,5292311.0,in_loss
131,548831.0,5298861.0,in_loss
198,549485.0,5292239.0,in_loss
204,547195.0,5295005.0,in_loss
220,548271.0,5297011.0,in_loss
250,548417.0,5294791.0,not_in_map_loss
279,548479.0,5294367.0,in_loss
290,548245.0,5295399.0,in_loss
292,550033.0,5294555.0,not_in_map_loss
304,549757.0,5298877.0,within_10m
656,548641.0,5297147.0,within_10m
749,547913.0,5295697.0,within_10m
