point_id,stratum,stratum_name,x,y,kind,overlap_stratum,dup_of
554,1,cand_change,547867.0,5296323.0,live,1,
1192,4,stable_other,549725.0,5295349.0,live,4,
1101,4,stable_other,549291.0,5292589.0,live,4,
984,3,stable_canopy,548481.0,5294865.0,live,3,
970,3,stable_canopy,549933.0,5298471.0,live,3,
877,3,stable_canopy,548145.0,5292831.0,live,3,
476,1,cand_change,549601.0,5299615.0,live,1,
804,2,srs_floor,547321.0,5296075.0,live,4,
11,1,cand_change,549945.0,5292109.0,live,1,
576,1,cand_change,550407.0,5300703.0,live,1,
48,1,cand_change,548609.0,5295367.0,live,1,
526,1,cand_change,546353.0,5295379.0,live,1,
969,3,stable_canopy,547023.0,5296543.0,live,3,
1166,4,stable_other,549607.0,5292695.0,live,4,
763,2,srs_floor,549929.0,5293653.0,live,1,
885,3,stable_canopy,549579.0,5298343.0,live,3,
438,1,cand_change,549901.0,5300883.0,live,1,
197,1,cand_change,546799.0,5296353.0,live,1,
637,1,cand_change,548907.0,5295427.0,live,1,
1047,4,stable_other,550233.0,5295351.0,live,4,
685,1,cand_change,549415.0,5297805.0,live,1,
976,3,stable_canopy,547885.0,5292657.0,live,3,
205,1,cand_change,549045.0,5298569.0,live,1,
1267,4,stable_other,547715.0,5296151.0,dup,4,1099
16,1,cand_change,547141.0,5293079.0,live,1,
459,1,cand_change,547567.0,5292679.0,live,1,
947,3,stable_canopy,547153.0,5292623.0,live,3,
332,1,cand_change,546751.0,5295357.0,live,1,
458,1,cand_change,548847.0,5297951.0,live,1,
1296,3,stable_canopy,548711.0,5298075.0,blur,3,853
59,1,cand_change,546363.0,5295533.0,live,1,
402,1,cand_change,547697.0,5297201.0,live,1,
593,1,cand_change,549325.0,5292835.0,live,1,
1102,4,stable_other,549645.0,5297243.0,live,4,
73,1,cand_change,547057.0,5292961.0,live,1,
863,3,stable_canopy,548859.0,5298425.0,live,3,
447,1,cand_change,548655.0,5297119.0,live,1,
1127,4,stable_other,549901.0,5293621.0,live,4,
