epoch,reference,arm,k,n_pairs,offset_mag_m,median_err_m,p90_err_m,frac_within_1p5m,frac_within_2m,median_iou_cellquant,median_iou_best_shift,median_area_ceiling
2009,2021,naive,,1728,0.197,2.865,6.097,0.2106,0.3241,0.5333,0.62,0.7407
2009,2021,global,,1728,0.197,2.899,6.119,0.2112,0.32,0.5333,,
2009,2021,local,64,1728,0.197,2.882,6.035,0.2164,0.3299,0.5333,,
2011s,2021,naive,,2232,1.005,2.896,6.272,0.1841,0.2957,0.5246,0.6296,0.7667
2011s,2021,global,,2232,1.005,2.72,6.143,0.2227,0.3477,0.5246,,
2011s,2021,local,64,2232,1.005,2.688,6.065,0.2307,0.3566,0.5284,,
2013,2021,naive,,2550,0.183,2.39,5.866,0.2867,0.4102,0.56,0.6301,0.75
2013,2021,global,,2550,0.183,2.381,5.851,0.2847,0.4071,0.56,,
2013,2021,local,64,2550,0.183,2.389,5.842,0.2855,0.4145,0.56,,
2015,2021,naive,,1600,0.274,2.709,6.092,0.2356,0.3588,0.5545,0.6236,0.7193
2015,2021,global,,1600,0.274,2.671,6.076,0.2419,0.3581,0.5545,,
2015,2021,local,64,1600,0.274,2.637,6.084,0.245,0.3556,0.5508,,
2016,2021,naive,,2415,0.409,2.578,6.021,0.2484,0.3781,0.5625,0.6452,0.7742
2016,2021,global,,2415,0.409,2.573,6.017,0.2588,0.3843,0.5625,,
2016,2021,local,64,2415,0.409,2.462,5.885,0.2778,0.4004,0.5652,,
2019,2021,naive,,4077,0.025,1.918,4.989,0.3812,0.5224,0.6,0.6667,0.7778
2019,2021,global,,4077,0.025,1.876,4.986,0.3897,0.5337,0.6,,
2019,2021,local,64,4077,0.025,1.85,4.957,0.3937,0.5381,0.6,,
2024,2021,naive,,3803,1.156,2.35,5.309,0.2601,0.4107,0.5688,0.675,0.8
2024,2021,global,,3803,1.156,1.991,5.165,0.3539,0.503,0.5688,,
2024,2021,local,64,3803,1.156,1.921,5.096,0.3742,0.5162,0.5882,,
# k_sweep (centroid error, metres)
# ksweep,2009,8,1728,3.0628
# ksweep,2009,16,1728,2.9908
# ksweep,2009,32,1728,2.9273
# ksweep,2009,64,1728,2.8823
# ksweep,2009,128,1728,2.8666
# ksweep,2009,256,1728,2.8477
# ksweep,2009,512,1728,2.8864
# ksweep,2011s,8,2232,2.8537
# ksweep,2011s,16,2232,2.7362
# ksweep,2011s,32,2232,2.7325
# ksweep,2011s,64,2232,2.6882
# ksweep,2011s,128,2232,2.6879
# ksweep,2011s,256,2232,2.7072
# ksweep,2011s,512,2232,2.6783
# ksweep,2013,8,2550,2.5393
# ksweep,2013,16,2550,2.4201
# ksweep,2013,32,2550,2.3909
# ksweep,2013,64,2550,2.3893
# ksweep,2013,128,2550,2.3852
# ksweep,2013,256,2550,2.3811
# ksweep,2013,512,2550,2.3864
# ksweep,2015,8,1600,2.7907
# ksweep,2015,16,1600,2.7244
# ksweep,2015,32,1600,2.6571
# ksweep,2015,64,1600,2.637
# ksweep,2015,128,1600,2.6708
# ksweep,2015,256,1600,2.6458
# ksweep,2015,512,1600,2.6359
# ksweep,2016,8,2415,2.5863
# ksweep,2016,16,2415,2.5238
# ksweep,2016,32,2415,2.4881
# ksweep,2016,64,2415,2.4619
# ksweep,2016,128,2415,2.4367
# ksweep,2016,256,2415,2.4722
# ksweep,2016,512,2415,2.4958
# ksweep,2019,8,4077,1.9108
# ksweep,2019,16,4077,1.8593
# ksweep,2019,32,4077,1.854
# ksweep,2019,64,4077,1.8495
# ksweep,2019,128,4077,1.8529
# ksweep,2019,256,4077,1.8618
# ksweep,2019,512,4077,1.8644
# ksweep,2024,8,3803,2.0074
# ksweep,2024,16,3803,1.9394
# ksweep,2024,32,3803,1.9415
# ksweep,2024,64,3803,1.9214
# ksweep,2024,128,3803,1.9398
# ksweep,2024,256,3803,1.9586
# ksweep,2024,512,3803,1.9677
