year,ref,prob,canopy_def,thresh,recall,precision,grass_reject,tp,fn,fp,ref_canopy,valid,indep_1m_cells,primary,live,run_tag,ts
2016,ndvi_ref_2016.tif,edmonds_canopy_prob_2016.tif,canopy_only,0.4615,0.5937,0.9593,0.9119,302167379,206790325,12820443,508957704,1348637499,337159375,1,1,,2026-07-06 22:04:48
2016,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2016.tif,forest_only,0.4615,0.6821,0.8533,0.9345,268789495,125272355,46198327,394061850,1348637499,31323256,0,0,,2026-07-07 05:08:01
2016,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2016.tif,forest_wetland,0.4615,0.6844,0.8651,0.9345,272506259,125690211,42481563,398196470,1348637499,31323256,1,0,,2026-07-07 05:08:01
2016,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2016.tif,forest_wetland_scrub,0.4615,0.6508,0.8925,0.9345,281121695,150874070,33866127,431995765,1348637499,31323256,0,0,,2026-07-07 05:08:01
2015,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015.tif,forest_only,0.5866,0.2571,0.8901,0.9891,301363650,870655193,37202219,1172018843,4128449245,92014150,0,0,,2026-07-08 22:34:39
2015,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015.tif,forest_wetland,0.5866,0.2609,0.9122,0.9891,308823241,874766973,29742628,1183590214,4128449245,92014150,1,0,,2026-07-08 22:34:39
2015,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015.tif,forest_wetland_scrub,0.5866,0.2443,0.9246,0.9891,313049793,968115049,25516076,1281164842,4128449245,92014150,0,0,,2026-07-08 22:34:39
2000,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2000_xsensor_rgb.tif,forest_only,0.5133,0.6274,0.7635,0.8399,45830356,27214861,14199831,73045217,218988106,78092293,0,1,,2026-07-09 05:46:32
2000,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2000_xsensor_rgb.tif,forest_wetland,0.5133,0.6303,0.7745,0.8399,46496194,27267965,13533993,73764159,218988106,78092293,1,1,,2026-07-09 05:46:32
2000,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2000_xsensor_rgb.tif,forest_wetland_scrub,0.5133,0.5975,0.7948,0.8399,47713773,32143972,12316414,79857745,218988106,78092293,0,1,,2026-07-09 05:46:32
2002,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2002_xsensor_rgb.tif,forest_only,0.57,0.5039,0.8245,0.9214,36908833,36343216,7857173,73252049,244848888,87314382,0,1,,2026-07-09 05:47:10
2002,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2002_xsensor_rgb.tif,forest_wetland,0.57,0.5069,0.8377,0.9214,37501009,36474012,7264997,73975021,244848888,87314382,1,1,,2026-07-09 05:47:10
2002,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2002_xsensor_rgb.tif,forest_wetland_scrub,0.57,0.4756,0.8507,0.9214,38081841,41991572,6684165,80073413,244848888,87314382,0,1,,2026-07-09 05:47:10
2013,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2013_xsensor_rgb.tif,forest_only,0.5209,0.7072,0.8441,0.9171,828867901,343150894,153038675,1172018795,4128451251,92014194,0,1,,2026-07-09 07:26:28
2013,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2013_xsensor_rgb.tif,forest_wetland,0.5209,0.7094,0.8551,0.9171,839615974,343974223,142290602,1183590197,4128451251,92014194,1,1,,2026-07-09 07:26:28
2013,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2013_xsensor_rgb.tif,forest_wetland_scrub,0.5209,0.6739,0.8793,0.9171,863364639,417800487,118541937,1281165126,4128451251,92014194,0,1,,2026-07-09 07:26:28
2015,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015_xsensor_rgb.tif,forest_only,0.576,0.6192,0.8706,0.9473,725669555,446349288,107871308,1172018843,4128449245,92014150,0,1,,2026-07-09 09:57:50
2015,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015_xsensor_rgb.tif,forest_wetland,0.576,0.6222,0.8835,0.9473,736434374,447155840,97106489,1183590214,4128449245,92014150,1,1,,2026-07-09 09:57:50
2015,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015_xsensor_rgb.tif,forest_wetland_scrub,0.576,0.5872,0.9025,0.9473,752305928,528858914,81234935,1281164842,4128449245,92014150,0,1,,2026-07-09 09:57:50
2017,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2017_xsensor_rgb.tif,forest_only,0.4759,nan,nan,nan,0,0,0,0,0,0,0,0,UNSCORABLE-failed-inference,2026-07-09 12:00:49
2017,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2017_xsensor_rgb.tif,forest_wetland,0.4759,nan,nan,nan,0,0,0,0,0,0,1,0,UNSCORABLE-failed-inference,2026-07-09 12:00:49
2017,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2017_xsensor_rgb.tif,forest_wetland_scrub,0.4759,nan,nan,nan,0,0,0,0,0,0,0,0,UNSCORABLE-failed-inference,2026-07-09 12:00:49
