group,kind,px,area_pct,canopy_call_rate,ref,prob,thresh,ts
forest,canopy,85019919,28.431,0.641,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,0.477,2026-08-27 05:43:02
wetland,canopy,828220,0.277,0.9375,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,0.477,2026-08-27 05:43:02
scrub,canopy,4410863,1.475,0.2392,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,0.477,2026-08-27 05:43:02
grass,non-canopy,59867453,20.02,0.0634,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,0.477,2026-08-27 05:43:02
cropland,non-canopy,0,0.0,nan,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,0.477,2026-08-27 05:43:02
developed,non-canopy,119243052,39.875,0.0515,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,0.477,2026-08-27 05:43:02
barren,non-canopy,1707777,0.571,0.0026,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,0.477,2026-08-27 05:43:02
emergent_wetland,non-canopy,144463,0.048,0.0328,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,0.477,2026-08-27 05:43:02
water,non-canopy,27819021,9.303,0.0022,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,0.477,2026-08-27 05:43:02
other,non-canopy,0,0.0,nan,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,0.477,2026-08-27 05:43:02
