acquisition,band,gain,offset,reference,fit_quality,n_targets,n_points,excluded_reason,note,resid_max,pre_rms,fit_x_min,fit_x_max,acq_spine_p50,ref_spine_p50,nir_floor_water_p1,fit_method,fit_targets,source,source_group,gsd_cm,native_file
2000,R,0.793539,68.158417,2020s,5.749608,2,5,,"ols on 5 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2000 band R onto 2020s. Spine RMS residual 5.7 DN vs 47.4 DN uncorrected; 1 of 6 quantiles dropped as censored (<= 1 or >= 254 DN). VALID OVER DN [34, 221] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",9.681459,47.370877,34.0,221.0,108.5,160.0,,ols,neg_parking+school_k12,King County,king,40.1,2000_king_rgb.tif
2000,G,0.735831,55.131642,2020s,7.338316,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2000 band G onto 2020s. Spine RMS residual 7.3 DN vs 26.5 DN uncorrected. VALID OVER DN [43, 251] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",11.825141,26.517290,43.0,251.0,127.5,153.5,,ols,neg_parking+school_k12,King County,king,40.1,2000_king_rgb.tif
2000,B,0.786393,25.935974,2020s,10.218188,2,5,,"ols on 5 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2000 band B onto 2020s. Spine RMS residual 10.2 DN vs 18.0 DN uncorrected; 1 of 6 quantiles dropped as censored (<= 1 or >= 254 DN). VALID OVER DN [47, 250] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",19.293648,17.977764,47.0,250.0,139.5,139.5,,ols,neg_parking+school_k12,King County,king,40.1,2000_king_rgb.tif
2002,R,0.872180,30.447486,2020s,17.142454,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2002 band R onto 2020s. Spine RMS residual 17.1 DN vs 21.3 DN uncorrected. VALID OVER DN [79, 230] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",26.635341,21.272047,79.0,230.0,166.5,160.0,,ols,neg_parking+school_k12,USGS HRO Seattle-Tacoma (Selkirk) via WAGDA,usgs,30.0,2002_usgs_30cm_rgb.tif
2002,G,0.867273,24.758514,2020s,18.553128,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2002 band G onto 2020s. Spine RMS residual 18.6 DN vs 20.5 DN uncorrected. VALID OVER DN [77, 236] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",29.319684,20.497967,77.0,236.0,167.5,153.5,,ols,neg_parking+school_k12,USGS HRO Seattle-Tacoma (Selkirk) via WAGDA,usgs,30.0,2002_usgs_30cm_rgb.tif
2002,B,1.024945,-1.300369,2020s,11.039273,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2002 band B onto 2020s. Spine RMS residual 11.0 DN vs 11.4 DN uncorrected. VALID OVER DN [69, 215] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",24.216922,11.372481,69.0,215.0,148.0,139.5,,ols,neg_parking+school_k12,USGS HRO Seattle-Tacoma (Selkirk) via WAGDA,usgs,30.0,2002_usgs_30cm_rgb.tif
2002s,R,0.879160,30.072507,2020s,16.928514,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2002s band R onto 2020s. Spine RMS residual 16.9 DN vs 21.4 DN uncorrected. VALID OVER DN [79, 230] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",25.803051,21.361960,79.0,230.0,165.0,160.0,,ols,neg_parking+school_k12,Snohomish Co.,snoh,30.5,2002_snoh_1ft_rgb.tif
2002s,G,0.885703,22.987568,2020s,18.533821,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2002s band G onto 2020s. Spine RMS residual 18.5 DN vs 20.3 DN uncorrected. VALID OVER DN [78, 234] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",29.413494,20.301888,78.0,234.0,165.5,153.5,,ols,neg_parking+school_k12,Snohomish Co.,snoh,30.5,2002_snoh_1ft_rgb.tif
2002s,B,1.050478,-3.443970,2020s,12.040415,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2002s band B onto 2020s. Spine RMS residual 12.0 DN vs 12.9 DN uncorrected. VALID OVER DN [69, 214] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",25.673485,12.942179,69.0,214.0,147.5,139.5,,ols,neg_parking+school_k12,Snohomish Co.,snoh,30.5,2002_snoh_1ft_rgb.tif
2003s,R,0.887136,28.961504,2020s,17.337604,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2003s band R onto 2020s. Spine RMS residual 17.3 DN vs 21.6 DN uncorrected. VALID OVER DN [80, 229] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",26.580500,21.606326,80.0,229.0,165.0,160.0,,ols,neg_parking+school_k12,Snohomish Co.,snoh,30.5,2003_snoh_1ft_rgb.tif
