run_id,ts_utc,date,step,run_tag,years,engine_version,git_sha,git_dirty,git_branch,gpu,gpu_mem_gb,arch,encoder,epoch,seed,split_seed,honest_val_split,imagery,gsd_cm,label_source,label_source_size,add_canopy_mask,force_citywide,tileset_id,join_basis,env_sha,n_packages,python,argv,in_run_registry
20260822T005611Z_2000_untagged_labels,20260822T005611Z,2026-08-22,labels,,2000,v048,57bc07b0112f,false,,,,,,,42,,,2000_king_rgb.tif,40.1,,,,,113ef6dc0292,inferred_current,11c163d9fe30,705,3.13.15,--year 2000 --step labels,1
20260822T010016Z_2024_citywide_rgb_inference,20260822T010016Z,2026-08-22,inference,citywide_rgb,2024,v048,57bc07b0112f,false,,,,,,,42,,,2024_coe_rgb.tif,5.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2024 --step inference --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
20260822T010231Z_2019_citywide_rgb_labels,20260822T010231Z,2026-08-22,labels,citywide_rgb,2019,v048,57bc07b0112f,false,,,,,,,42,,,2019_king_rgb.tif,10.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2019 --step labels --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
20260822T010306Z_2019_citywide_rgb_tile,20260822T010306Z,2026-08-22,tile,citywide_rgb,2019,v048,57bc07b0112f,false,,,,,,,42,,,2019_king_rgb.tif,10.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2019 --step tile --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
20260822T011229Z_2024_citywide_rgb_inference,20260822T011229Z,2026-08-22,inference,citywide_rgb,2024,v048,57bc07b0112f,false,,,,,,,42,,,2024_coe_rgb.tif,5.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2024 --step inference --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
20260822T012910Z_2000_untagged_labels,20260822T012910Z,2026-08-22,labels,,2000,v048,57bc07b0112f,false,,,,,,,42,,,2000_king_rgb.tif,40.1,,,,,113ef6dc0292,inferred_current,11c163d9fe30,705,3.13.15,--year 2000 --step labels,1
20260822T155555Z_2024_citywide_rgb_inference,20260822T155555Z,2026-08-22,inference,citywide_rgb,2024,v048,cce075f4b3eb,false,work/p11-5-autonomy,NVIDIA A100-SXM4-40GB,40.0,,,,42,,,2024_coe_rgb.tif,5.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2024 --step inference --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
20260822T160331Z_2019_citywide_rgb_tile,20260822T160331Z,2026-08-22,tile,citywide_rgb,2019,v048,f148447968bc,false,work/p11-5-autonomy,NVIDIA A100-SXM4-40GB,40.0,,,,42,,,2019_king_rgb.tif,10.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2019 --step tile --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
20260822T161804Z_2019_citywide_rgb_train,20260822T161804Z,2026-08-22,train,citywide_rgb,2019,v048,f148447968bc,false,work/p11-5-autonomy,NVIDIA A100-SXM4-40GB,40.0,,,,42,,,2019_king_rgb.tif,10.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2019 --step train --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
20260822T164927Z_2019_citywide_rgb_evaluate,20260822T164927Z,2026-08-22,evaluate,citywide_rgb,2019,v048,f148447968bc,false,work/p11-5-autonomy,NVIDIA A100-SXM4-40GB,40.0,,,,42,,,2019_king_rgb.tif,10.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2019 --step evaluate --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
20260822T165109Z_2019_citywide_rgb_inference,20260822T165109Z,2026-08-22,inference,citywide_rgb,2019,v048,f148447968bc,false,work/p11-5-autonomy,NVIDIA A100-SXM4-40GB,40.0,,,,42,,,2019_king_rgb.tif,10.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2019 --step inference --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
20260822T172103Z_2024_citywide_rgb_inference,20260822T172103Z,2026-08-22,inference,citywide_rgb,2024,v048,d2d6e65a2e44,false,work/p11-5-autonomy,NVIDIA A100-SXM4-40GB,40.0,,,,42,,,2024_coe_rgb.tif,5.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2024 --step inference --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
20260822T173400Z_2019_citywide_rgb_inference,20260822T173400Z,2026-08-22,inference,citywide_rgb,2019,v048,bcdd4c6c89c0,false,work/p11-5-autonomy,NVIDIA A100-SXM4-40GB,40.0,,,,42,,,2019_king_rgb.tif,10.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2019 --step inference --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
20260822T175526Z_2024_citywide_rgb_inference,20260822T175526Z,2026-08-22,inference,citywide_rgb,2024,v048,fe2117714726,false,fix/20260822-inference-throughput,NVIDIA A100-SXM4-40GB,40.0,,,,42,,,2024_coe_rgb.tif,5.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2024 --step inference --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
20260822T175542Z_2017_citywide_rgb_labels,20260822T175542Z,2026-08-22,labels,citywide_rgb,2017,v048,fe2117714726,false,fix/20260822-inference-throughput,NVIDIA A100-SXM4-40GB,40.0,,,,42,,,2017_coe_rgb.tif,5.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2017 --step labels --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
20260822T175544Z_2019_citywide_rgb_inference,20260822T175544Z,2026-08-22,inference,citywide_rgb,2019,v048,fe2117714726,false,fix/20260822-inference-throughput,NVIDIA A100-SXM4-40GB,40.0,,,,42,,,2019_king_rgb.tif,10.0,,,,,,none,11c163d9fe30,705,3.13.15,--year 2019 --step inference --infer-batch 32 --run-tag citywide_rgb --force-citywide,1
