point_id,stratum,stratum_name,row,col,x,y,lon,lat,model_canopy
1,1,disagree_5_15m,3914,6003,1266304.7472808722,297707.9319853422,-122.3558266,47.8060094,0
2,1,disagree_5_15m,475,5865,1266028.7472808722,304585.9319853422,-122.3575038,47.8248465,1
3,1,disagree_5_15m,5616,7159,1268616.7472808722,294303.9319853422,-122.3461478,47.7968043,0
4,1,disagree_5_15m,2789,5811,1265920.7472808722,299957.9319853422,-122.3575702,47.8121557,0
5,1,disagree_5_15m,2791,9384,1273066.7472808722,299953.9319853422,-122.3284924,47.812529,0
6,1,disagree_5_15m,4381,5858,1266014.7472808722,296773.9319853422,-122.3569312,47.8034337,0
7,1,disagree_5_15m,6508,3866,1262030.7472808722,292519.9319853422,-122.3727932,47.7915565,1
8,1,disagree_5_15m,4693,3918,1262134.7472808722,296149.9319853422,-122.3726656,47.8015117,0
9,1,disagree_5_15m,5150,10339,1274976.7472808722,295235.9319853422,-122.3203494,47.7996987,0
10,1,disagree_5_15m,7902,3966,1262230.7472808722,289731.9319853422,-122.371753,47.7839257,0
11,1,disagree_5_15m,7918,3281,1260860.7472808722,289699.9319853422,-122.3773219,47.7837628,0
12,1,disagree_5_15m,3289,3029,1260356.7472808722,298957.9319853422,-122.3801284,47.8091104,0
13,1,disagree_5_15m,2430,10953,1276204.7472808722,300675.9319853422,-122.3157801,47.8146744,0
14,1,disagree_5_15m,4059,3306,1260910.7472808722,297417.9319853422,-122.3777486,47.8049199,0
15,1,disagree_5_15m,355,8714,1271726.7472808722,304825.9319853422,-122.3343317,47.8258114,0
16,1,disagree_5_15m,7834,3351,1261000.7472808722,289867.9319853422,-122.3767663,47.784231,0
17,1,disagree_5_15m,4238,5838,1265974.7472808722,297059.9319853422,-122.357117,47.8042154,0
18,1,disagree_5_15m,5380,6673,1267644.7472808722,294775.9319853422,-122.3501395,47.7980456,0
19,1,disagree_5_15m,1965,4523,1263344.7472808722,301605.9319853422,-122.3681858,47.8165324,0
20,1,disagree_5_15m,4875,5159,1264616.7472808722,295785.9319853422,-122.3625389,47.8006496,1
21,1,disagree_5_15m,5084,9506,1273310.7472808722,295367.9319853422,-122.3271372,47.799972,0
22,1,disagree_5_15m,403,6287,1266872.7472808722,304729.9319853422,-122.3540803,47.825287,0
23,1,disagree_5_15m,3543,2914,1260126.7472808722,298449.9319853422,-122.3810227,47.8077054,0
24,1,disagree_5_15m,2168,9947,1274192.7472808722,301199.9319853422,-122.3240088,47.8160041,0
