point_id,stratum,stratum_name,row,col,x,y,lon,lat,model_canopy
1,1,disagree_5_15m,5038,3365,549220.7999999999,5294898.599941609,-122.3426289,47.8055601,1
2,1,disagree_5_15m,2915,3759,549693.5999999999,5297446.199944157,-122.3360227,47.8284442,0
3,1,disagree_5_15m,6066,3988,549968.3999999999,5293664.999940376,-122.3327871,47.7944039,0
4,1,disagree_5_15m,4374,4340,550390.7999999999,5295695.399942406,-122.3269114,47.8126382,0
5,1,disagree_5_15m,4376,3554,549447.6,5295692.999942404,-122.3395095,47.8126898,1
6,1,disagree_5_15m,5311,1786,547325.9999999999,5294570.999941282,-122.3679692,47.8027548,0
7,1,disagree_5_15m,6661,2360,548014.7999999999,5292950.9999396615,-122.3589503,47.7881287,0
8,1,disagree_5_15m,5499,4229,550257.5999999999,5294345.399941056,-122.328847,47.8005029,0
9,1,disagree_5_15m,5800,2422,548089.2,5293984.199940695,-122.3578425,47.7974188,0
10,1,disagree_5_15m,7485,571,545868.0,5291962.1999386735,-122.3877151,47.779389,0
11,1,disagree_5_15m,7491,3748,549680.3999999999,5291954.999938666,-122.3368282,47.7790415,0
12,1,disagree_5_15m,4664,3227,549055.2,5295347.399942058,-122.3447897,47.8096105,1
13,1,disagree_5_15m,4162,4452,550525.2,5295949.799942661,-122.3250867,47.8149165,1
14,1,disagree_5_15m,5121,1403,546866.3999999999,5294798.99994151,-122.374082,47.8048397,1
15,1,disagree_5_15m,2831,2427,548095.2,5297546.999944258,-122.357367,47.8294726,0
16,1,disagree_5_15m,7455,954,546327.6,5291998.199938709,-122.3815765,47.77968,0
17,1,disagree_5_15m,5227,4779,550917.5999999999,5294671.799941382,-122.3199955,47.8033876,0
18,1,disagree_5_15m,5929,499,545781.6,5293829.39994054,-122.3886714,47.7961943,0
19,1,disagree_5_15m,3880,4571,550667.9999999999,5296288.1999429995,-122.3231397,47.8179498,0
20,1,disagree_5_15m,5626,3544,549435.6,5294192.999940904,-122.3398408,47.7991954,1
21,1,disagree_5_15m,5760,3165,548980.7999999999,5294032.199940743,-122.3459319,47.7977835,1
22,1,disagree_5_15m,2863,2614,548319.6,5297508.59994422,-122.3543731,47.8291103,1
23,1,disagree_5_15m,4827,1566,547061.9999999999,5295151.799941863,-122.3714316,47.8079996,0
24,1,disagree_5_15m,4007,1984,547563.6,5296135.799942846,-122.3646246,47.8168157,0
25,1,disagree_5_15m,6208,2318,547964.3999999999,5293494.599940206,-122.359563,47.7930232,0
26,1,disagree_5_15m,4640,3413,549278.3999999999,5295376.199942087,-122.3418054,47.8098526,1
27,1,disagree_5_15m,5659,3298,549140.3999999999,5294153.399940864,-122.3437871,47.7988617,0
28,1,disagree_5_15m,2764,2832,548581.2,5297627.399944338,-122.3508646,47.8301594,0
29,1,disagree_5_15m,3906,4332,550381.2,5296256.999942968,-122.3269743,47.8176916,1
30,1,disagree_5_15m,4580,3082,548881.2,5295448.1999421595,-122.3471022,47.8105307,1
31,1,disagree_5_15m,5999,3158,548972.3999999999,5293745.399940456,-122.3460765,47.7952038,1
32,1,disagree_5_15m,3362,4424,550491.5999999999,5296909.79994362,-122.3254236,47.8235561,0
33,1,disagree_5_15m,4862,1749,547281.6,5295109.799941821,-122.3685033,47.8076056,0
34,1,disagree_5_15m,5343,666,545982.0,5294532.599941243,-122.3859211,47.8025067,1
35,1,disagree_5_15m,3037,4495,550576.7999999999,5297299.799944011,-122.3242398,47.8270582,0
36,1,disagree_5_15m,5297,638,545948.3999999999,5294587.799941299,-122.3863639,47.8030058,0
37,1,disagree_5_15m,5348,2888,548648.3999999999,5294526.599941238,-122.3503149,47.8022567,0
38,1,disagree_5_15m,4441,2041,547631.9999999999,5295614.999942326,-122.3637682,47.812125,0
39,1,disagree_5_15m,3408,3908,549872.3999999999,5296854.599943565,-122.333702,47.8231078,0
40,1,disagree_5_15m,6356,472,545749.2,5293316.9999400275,-122.3891581,47.7915866,0
41,1,disagree_5_15m,5063,3323,549170.3999999999,5294868.59994158,-122.3433054,47.805294,0
42,1,disagree_5_15m,5433,3124,548931.6,5294424.599941135,-122.3465446,47.8013176,0
43,1,disagree_5_15m,6104,1593,547094.3999999999,5293619.399940331,-122.3711653,47.7942103,0
44,1,disagree_5_15m,4001,4164,550179.5999999999,5296142.999942854,-122.3296805,47.8166817,1
45,1,disagree_5_15m,4438,1725,547252.7999999999,5295618.599942329,-122.3688325,47.8121854,0
46,1,disagree_5_15m,4927,3748,549680.3999999999,5295031.799941743,-122.3364759,47.8067231,0
47,1,disagree_5_15m,5000,689,546009.6,5294944.199941655,-122.3855088,47.8062079,1
48,1,disagree_5_15m,4637,4367,550423.2,5295379.799942091,-122.3265154,47.8097963,0
49,1,disagree_5_15m,4537,2812,548557.2,5295499.79994221,-122.3514238,47.8110194,0
50,1,disagree_5_15m,5782,2606,548309.9999999999,5294005.7999407165,-122.3548918,47.7975966,0
51,1,disagree_5_15m,6889,509,545793.6,5292677.399939388,-122.3886328,47.7858289,1
52,1,disagree_5_15m,3071,4165,550180.7999999999,5297258.99994397,-122.3295352,47.8267221,0
53,1,disagree_5_15m,3813,2797,548539.2,5296368.59994308,-122.3515669,47.8188373,0
54,1,disagree_5_15m,4863,1715,547240.7999999999,5295108.59994182,-122.3690484,47.8075978,0
55,1,disagree_5_15m,5461,1640,547150.7999999999,5294390.999941102,-122.3703284,47.8011482,0
56,1,disagree_5_15m,5110,2271,547907.9999999999,5294812.199941523,-122.3601705,47.8048818,0
57,1,disagree_5_15m,6216,3971,549947.9999999999,5293484.999940196,-122.3330802,47.792786,0
58,1,disagree_5_15m,6492,4169,550185.5999999999,5293153.799939864,-122.3299463,47.7897878,0
59,1,disagree_5_15m,4359,1956,547529.9999999999,5295713.399942424,-122.3651197,47.8130179,0
60,1,disagree_5_15m,4746,3237,549067.2,5295248.99994196,-122.3446406,47.8087243,0
61,2,disagree_other,7516,1930,547498.7999999999,5291924.999938636,-122.3659512,47.7789361,0
62,2,disagree_other,3590,4249,550281.5999999999,5296636.199943347,-122.3282608,47.821111,0
63,2,disagree_other,6795,1228,546656.3999999999,5292790.1999395015,-122.3771025,47.7867819,0
64,2,disagree_other,4564,4469,550545.5999999999,5295467.399942178,-122.3248704,47.8105748,0
65,2,disagree_other,6270,422,545689.2,5293420.199940131,-122.3899483,47.7925193,1
66,2,disagree_other,3708,3761,549695.9999999999,5296494.599943206,-122.3360998,47.8198826,0
67,2,disagree_other,5517,1339,546789.6,5294323.799941035,-122.3751589,47.80057,1
68,2,disagree_other,5847,2339,547989.6,5293927.799940639,-122.3591786,47.7969188,0
69,2,disagree_other,5615,2233,547862.3999999999,5294206.199940917,-122.3608464,47.7994331,1
70,2,disagree_other,7206,3879,549837.5999999999,5292296.999939008,-122.3346907,47.7821063,0
71,2,disagree_other,6990,947,546319.2,5292556.199939267,-122.3816291,47.7847009,0
72,2,disagree_other,6694,4618,550724.3999999999,5292911.399939623,-122.3227813,47.7875647,0
73,2,disagree_other,4548,2465,548140.7999999999,5295486.599942197,-122.3569867,47.810932,1
74,2,disagree_other,3748,4470,550546.7999999999,5296446.599943157,-122.3247402,47.8193844,0
75,2,disagree_other,4970,2156,547769.9999999999,5294980.199941691,-122.3619949,47.8064035,1
76,2,disagree_other,5428,2245,547876.7999999999,5294430.599941142,-122.3606293,47.8014509,0
77,2,disagree_other,5161,2343,547994.3999999999,5294750.999941462,-122.3590235,47.8043248,1
78,2,disagree_other,4122,2742,548473.2,5295997.799942709,-122.35249,47.8155062,1
79,2,disagree_other,5829,1551,547043.9999999999,5293949.39994066,-122.3718024,47.797183,0
80,2,disagree_other,6629,1822,547369.2,5292989.3999397,-122.367565,47.788522,1
81,2,disagree_other,7152,982,546361.2,5292361.799939073,-122.3810892,47.7829489,0
82,2,disagree_other,5429,3564,549459.6,5294429.399941141,-122.3394934,47.8013204,1
83,2,disagree_other,4837,3815,549760.7999999999,5295139.799941851,-122.3353898,47.8076886,0
84,2,disagree_other,2964,3041,548831.9999999999,5297387.399944099,-122.3475408,47.8279812,1
85,2,disagree_other,4094,2693,548414.3999999999,5296031.399942743,-122.3532716,47.8158129,0
86,2,disagree_other,6492,1717,547243.2,5293153.799939864,-122.3692292,47.7900104,1
87,2,disagree_other,5505,1340,546790.7999999999,5294338.199941049,-122.3751414,47.8006994,0
88,2,disagree_other,2797,2743,548474.3999999999,5297587.799944298,-122.352296,47.8298112,0
89,2,disagree_other,7212,2749,548481.6,5292289.799939001,-122.3527922,47.782145,0
90,2,disagree_other,6000,672,545989.2,5293744.199940455,-122.3859085,47.795413,0
91,2,disagree_other,6933,2465,548140.7999999999,5292624.599939335,-122.3573043,47.7851827,0
92,2,disagree_other,7044,1274,546711.6,5292491.399939203,-122.3763978,47.7840896,0
93,2,disagree_other,5590,3693,549614.3999999999,5294236.199940947,-122.3374483,47.7995703,0
94,2,disagree_other,7478,4494,550575.5999999999,5291970.599938681,-122.3248774,47.7791121,1
95,2,disagree_other,2885,2069,547665.6,5297482.1999441935,-122.3631139,47.8289216,0
96,2,disagree_other,4883,3213,549038.3999999999,5295084.599941796,-122.3450438,47.8072474,0
97,2,disagree_other,4019,4229,550257.5999999999,5296121.399942832,-122.3286411,47.8164813,0
98,2,disagree_other,2955,2725,548452.7999999999,5297398.199944109,-122.3526058,47.828107,0
99,2,disagree_other,4791,1600,547102.7999999999,5295194.999941906,-122.370882,47.8083853,0
100,2,disagree_other,4335,1756,547289.9999999999,5295742.199942453,-122.3683222,47.8132947,1
101,2,disagree_other,3048,4127,550135.2,5297286.599943997,-122.3301412,47.826974,1
102,2,disagree_other,4515,3636,549545.9999999999,5295526.199942237,-122.3382143,47.8111816,0
103,2,disagree_other,7454,965,546340.7999999999,5291999.39993871,-122.3814002,47.7796898,0
104,2,disagree_other,4215,2442,548113.2,5295886.199942597,-122.357311,47.8145292,0
105,2,disagree_other,5710,429,545697.6,5294092.199940803,-122.3897653,47.7985647,0
106,3,both_canopy_5_15m,5888,680,545998.7999999999,5293878.59994059,-122.3857661,47.7966215,0
107,3,both_canopy_5_15m,5482,716,546042.0,5294365.799941077,-122.3851375,47.8010017,0
108,3,both_canopy_5_15m,5443,2753,548486.3999999999,5294412.599941123,-122.3524909,47.8012433,0
109,3,both_canopy_5_15m,3710,1800,547342.7999999999,5296492.1999432035,-122.367535,47.8200385,1
110,3,both_canopy_5_15m,6304,718,546044.3999999999,5293379.39994009,-122.3852102,47.7921269,0
111,3,both_canopy_5_15m,5019,909,546273.6,5294921.3999416325,-122.3819856,47.8059839,1
112,3,both_canopy_5_15m,5388,2251,547883.9999999999,5294478.599941189,-122.3605279,47.8018822,1
113,3,both_canopy_5_15m,2899,3666,549581.9999999999,5297465.399944176,-122.3375115,47.8286255,0
114,3,both_canopy_5_15m,6969,3678,549596.3999999999,5292581.399939292,-122.3378778,47.7846836,0
115,3,both_canopy_5_15m,5429,259,545493.6,5294429.399941141,-122.392454,47.8016129,1
116,3,both_canopy_5_15m,3552,4198,550220.3999999999,5296681.799943393,-122.329073,47.8215261,1
117,3,both_canopy_5_15m,3066,3837,549787.2,5297264.999943976,-122.334793,47.8268067,0
118,3,both_canopy_5_15m,5850,2837,548587.2,5293924.199940635,-122.3511996,47.7968416,0
119,3,both_canopy_5_15m,4703,2067,547663.2,5295300.599942012,-122.363386,47.8092941,0
120,3,both_canopy_5_15m,3731,1511,546995.9999999999,5296466.999943178,-122.3721704,47.8198372,1
121,3,both_canopy_5_15m,2657,3009,548793.6,5297755.799944467,-122.3480123,47.8312985,0
122,3,both_canopy_5_15m,4700,3285,549124.7999999999,5295304.199942015,-122.343865,47.8092166,0
123,3,both_canopy_5_15m,4766,1066,546462.0,5295224.999941936,-122.379437,47.8087018,0
124,3,both_canopy_5_15m,3480,3015,548800.7999999999,5296768.199943479,-122.3480274,47.8224127,0
125,3,both_canopy_5_15m,5857,2746,548477.9999999999,5293915.799940627,-122.3526586,47.7967743,0
126,3,both_canopy_5_15m,2593,3001,548783.9999999999,5297832.599944543,-122.3481319,47.8319902,1
127,3,both_canopy_5_15m,6155,2347,547999.2,5293558.199940269,-122.3590914,47.7935928,0
128,3,both_canopy_5_15m,6510,1947,547519.2,5293132.199939843,-122.3655468,47.7897957,1
129,3,both_canopy_5_15m,3178,2526,548213.9999999999,5297130.599943842,-122.3558261,47.8257174,1
130,3,both_canopy_5_15m,3051,2678,548396.3999999999,5297282.999943994,-122.3533722,47.8270748,0
131,3,both_canopy_5_15m,5911,4201,550223.9999999999,5293850.999940562,-122.3293529,47.7960574,1
132,3,both_canopy_5_15m,4011,2500,548182.7999999999,5296130.999942842,-122.3563541,47.8167264,1
133,3,both_canopy_5_15m,5094,694,546015.6,5294831.399941542,-122.3854407,47.8051926,1
134,3,both_canopy_5_15m,3470,3394,549255.6,5296780.199943491,-122.3419503,47.822486,0
135,3,both_canopy_5_15m,4942,1475,546952.7999999999,5295013.799941725,-122.3729049,47.806766,0
136,3,both_canopy_5_15m,6465,952,546325.2,5293186.199939897,-122.3814818,47.7903686,1
137,3,both_canopy_5_15m,6059,4232,550261.2,5293673.399940385,-122.3288768,47.7944567,0
138,3,both_canopy_5_15m,4563,2352,548005.2,5295468.599942179,-122.3587998,47.8107801,0
139,3,both_canopy_5_15m,6086,2490,548170.7999999999,5293640.999940352,-122.356791,47.794325,0
140,3,both_canopy_5_15m,3718,2727,548455.2,5296482.599943194,-122.3526762,47.8198693,0
141,3,both_canopy_5_15m,7301,470,545746.7999999999,5292182.999938894,-122.3893096,47.7813841,1
142,3,both_canopy_5_15m,7446,2590,548290.7999999999,5292008.99993872,-122.3553704,47.779633,0
143,3,both_canopy_5_15m,7038,3897,549859.2,5292498.599939209,-122.3343792,47.7839184,0
144,3,both_canopy_5_15m,7282,1774,547311.6,5292205.799938917,-122.3684194,47.7814762,0
145,3,both_canopy_5_15m,5653,3798,549740.3999999999,5294160.599940872,-122.3357745,47.7988804,0
146,4,both_canopy_other,3308,3037,548827.2,5296974.599943685,-122.3476514,47.8242676,1
147,4,both_canopy_other,6249,3622,549529.2,5293445.399940156,-122.3386763,47.7924621,1
148,4,both_canopy_other,6298,1121,546528.0,5293386.599940098,-122.3787527,47.792157,1
149,4,both_canopy_other,5430,874,546231.6,5294428.199941139,-122.382599,47.8015496,1
150,4,both_canopy_other,6176,405,545668.7999999999,5293532.999940244,-122.3902088,47.7935356,1
151,4,both_canopy_other,5781,2256,547889.9999999999,5294006.999940718,-122.3604998,47.7976388,1
152,4,both_canopy_other,3377,2701,548423.9999999999,5296891.799943603,-122.3530472,47.8235532,1
153,4,both_canopy_other,4408,3164,548979.6,5295654.599942366,-122.3457647,47.8123801,1
154,4,both_canopy_other,7072,1173,546590.3999999999,5292457.799939169,-122.3780193,47.783796,1
155,4,both_canopy_other,6298,2285,547924.7999999999,5293386.599940098,-122.3601037,47.7920545,1
156,4,both_canopy_other,3316,2486,548165.9999999999,5296964.999943676,-122.3564858,47.8242311,1
157,4,both_canopy_other,5971,541,545832.0,5293778.99994049,-122.3880038,47.7957373,1
158,4,both_canopy_other,6028,1007,546391.2,5293710.599940422,-122.3805445,47.7950819,1
159,4,both_canopy_other,3205,3344,549195.6,5297098.199943809,-122.3427158,47.8253516,1
160,4,both_canopy_other,4367,3630,549538.7999999999,5295703.799942414,-122.3382901,47.81278,1
161,4,both_canopy_other,5325,505,545788.7999999999,5294554.199941265,-122.3884988,47.8027148,1
162,4,both_canopy_other,3532,2350,548002.7999999999,5296705.799943416,-122.3586948,47.8219113,1
163,4,both_canopy_other,3465,3159,548973.6,5296786.199943497,-122.3457169,47.8225615,1
164,4,both_canopy_other,6279,445,545716.7999999999,5293409.39994012,-122.3895809,47.7924202,1
165,4,both_canopy_other,6603,1798,547340.3999999999,5293020.599939732,-122.3679461,47.7888049,1
