block_id,role,stratum,minx,miny,maxx,maxy,area_ha,epsg
TR00,train,,548250.0,5294750.0,549500.0,5296000.0,156.25,26910
TR01,train,,547000.0,5295250.0,548000.0,5296250.0,100.0,26910
SE00,selection,,548500.0,5297000.0,549500.0,5298000.0,100.0,26910
TE00,test,forest,547000.0,5293250.0,547250.0,5293500.0,6.25,26910
TE01,test,forest,548000.0,5297500.0,548250.0,5297750.0,6.25,26910
TE02,test,forest,549500.0,5292500.0,549750.0,5292750.0,6.25,26910
TE03,test,forest,548000.0,5292000.0,548250.0,5292250.0,6.25,26910
TE04,test,forest,548250.0,5296250.0,548500.0,5296500.0,6.25,26910
TE05,test,forest,547750.0,5296750.0,548000.0,5297000.0,6.25,26910
TE06,test,forest,547750.0,5292500.0,548000.0,5292750.0,6.25,26910
TE07,test,forest,546750.0,5293000.0,547000.0,5293250.0,6.25,26910
TE08,test,low,549750.0,5294000.0,550000.0,5294250.0,6.25,26910
TE09,test,low,545750.0,5295000.0,546000.0,5295250.0,6.25,26910
TE10,test,low,549000.0,5292000.0,549250.0,5292250.0,6.25,26910
TE11,test,low,547000.0,5296500.0,547250.0,5296750.0,6.25,26910
TE12,test,low,547000.0,5294500.0,547250.0,5294750.0,6.25,26910
TE13,test,low,550000.0,5295000.0,550250.0,5295250.0,6.25,26910
TE14,test,low,546500.0,5295500.0,546750.0,5295750.0,6.25,26910
TE15,test,low,546500.0,5295000.0,546750.0,5295250.0,6.25,26910
TE16,test,mixed,547750.0,5297250.0,548000.0,5297500.0,6.25,26910
TE17,test,mixed,549750.0,5292000.0,550000.0,5292250.0,6.25,26910
TE18,test,mixed,546750.0,5293750.0,547000.0,5294000.0,6.25,26910
TE19,test,mixed,549750.0,5295000.0,550000.0,5295250.0,6.25,26910
TE20,test,mixed,549750.0,5297750.0,550000.0,5298000.0,6.25,26910
TE21,test,mixed,547500.0,5292000.0,547750.0,5292250.0,6.25,26910
TE22,test,mixed,545500.0,5294750.0,545750.0,5295000.0,6.25,26910
TE23,test,mixed,548250.0,5294250.0,548500.0,5294500.0,6.25,26910
TE24,test,mixed,549000.0,5296250.0,549250.0,5296500.0,6.25,26910
TE25,test,mixed,547250.0,5294750.0,547500.0,5295000.0,6.25,26910
TE26,test,mixed,547750.0,5293250.0,548000.0,5293500.0,6.25,26910
TE27,test,mixed,548750.0,5292500.0,549000.0,5292750.0,6.25,26910
TE28,test,mixed,546750.0,5292750.0,547000.0,5293000.0,6.25,26910
TE29,test,mixed,547250.0,5296500.0,547500.0,5296750.0,6.25,26910
