year,tag,is_champion,recipe_class,recall,precision,f_half,thresh,calendar_year,ref_epoch_gap_yr,effective_cm,bands,tier,crs_family,date_shot,month,leafoff_risk,mmu_epoch2_m2,generated_utc
2000,citywide_rgb,0,citywide,0.548,0.8534,0.7678,0.5133,2000,21,109 red / 70 green / 68 blue (band-dependent; published 110.8 is red-only),3,coarse,web_mercator,"2000-06-26 (the township block containing Edmonds: T27N R3E / T27N R4E, per King County's flight-date graphic)",6,0,,2026-09-01T17:19:41Z
2000,fullext_sectors_v1,0,sector_v1,0.5895,0.9196,0.827,0.5,2000,21,109 red / 70 green / 68 blue (band-dependent; published 110.8 is red-only),3,coarse,web_mercator,"2000-06-26 (the township block containing Edmonds: T27N R3E / T27N R4E, per King County's flight-date graphic)",6,0,,2026-09-01T17:19:41Z
2000,xsensor_rgb,0,other,0.6303,0.7745,0.7406,0.5133,2000,21,109 red / 70 green / 68 blue (band-dependent; published 110.8 is red-only),3,coarse,web_mercator,"2000-06-26 (the township block containing Edmonds: T27N R3E / T27N R4E, per King County's flight-date graphic)",6,0,,2026-09-01T17:19:41Z
2002,citywide_rgb,0,citywide,0.6136,0.8372,0.7803,0.4988,2002,19,57.1,3,medium,utm_m,"NOT FOUND for the Edmonds pixels. CONTESTED product-level date 2002-06-11 (two named Selkirk frames near Bellevue, ~24 km south)",,,,2026-09-01T17:19:41Z
2002,xsensor_rgb,0,other,0.5069,0.8377,0.741,0.57,2002,19,57.1,3,medium,utm_m,"NOT FOUND for the Edmonds pixels. CONTESTED product-level date 2002-06-11 (two named Selkirk frames near Bellevue, ~24 km south)",,,,2026-09-01T17:19:41Z
2003s,sectors_v1,1,sector_v1,0.3399,0.8153,0.6371,0.5,2003,18,41.62 (median of 5 sites; 1.37x its grid),3,medium,state_plane_ft,NOT FOUND (year from the county service name Aerial_2003 only),,,,2026-09-01T17:19:41Z
2005,citywide_rgb,1,citywide,0.6346,0.9166,0.8418,0.4659,2005,16,80.7,3,medium,web_mercator,July 2005,20,0,,2026-09-01T17:19:41Z
2006s,sectors_v1,1,sector_v1,0.6378,0.4415,0.4705,0.5,2006,15,145.46 (median of 5 sites; 1.45x its grid),3,coarse,state_plane_ft,NOT FOUND (year from the county service name Aerial_2006 only),,,,2026-09-01T17:19:41Z
2007,citywide_rgb,1,citywide,0.6605,0.8813,0.8261,0.5026,2007,14,25.5,3,medium,web_mercator,"2007-06-30 to 2007-08-13 (6 days over the city: Jun 30 n=252, Jul 7 481, Jul 8 15, Jul 10 36, Jul 11 173, Aug 13 121)",6,0,,2026-09-01T17:19:41Z
2007,fullext_sectors_v1,0,sector_v1,0.624,0.871,0.8071,0.5,2007,14,25.5,3,medium,web_mercator,"2007-06-30 to 2007-08-13 (6 days over the city: Jun 30 n=252, Jul 7 481, Jul 8 15, Jul 10 36, Jul 11 173, Aug 13 121)",6,0,,2026-09-01T17:19:41Z
2009,chm2_v1,0,other,0.679,0.8617,0.8177,0.5,2009,12,26.1,3,medium,web_mercator,"2009-05-01 to 2009-05-16 (3 days over the city: May 1 n=179, May 9 121, May 16 172)",5,0,,2026-09-01T17:19:41Z
2009,citywide_rgb,1,citywide,0.6048,0.9177,0.8316,0.511,2009,12,26.1,3,medium,web_mercator,"2009-05-01 to 2009-05-16 (3 days over the city: May 1 n=179, May 9 121, May 16 172)",5,0,,2026-09-01T17:19:41Z
2009,corrupt10,0,other,0.7648,0.8131,0.803,0.5,2009,12,26.1,3,medium,web_mercator,"2009-05-01 to 2009-05-16 (3 days over the city: May 1 n=179, May 9 121, May 16 172)",5,0,,2026-09-01T17:19:41Z
2009,corrupt25,0,other,0.5653,0.8891,0.7977,0.5,2009,12,26.1,3,medium,web_mercator,"2009-05-01 to 2009-05-16 (3 days over the city: May 1 n=179, May 9 121, May 16 172)",5,0,,2026-09-01T17:19:41Z
2009,corrupt50,0,other,0.6436,0.8543,0.8018,0.5,2009,12,26.1,3,medium,web_mercator,"2009-05-01 to 2009-05-16 (3 days over the city: May 1 n=179, May 9 121, May 16 172)",5,0,,2026-09-01T17:19:41Z
2009,fullext_sectors_v1,0,sector_v1,0.6989,0.8472,0.8127,0.5,2009,12,26.1,3,medium,web_mercator,"2009-05-01 to 2009-05-16 (3 days over the city: May 1 n=179, May 9 121, May 16 172)",5,0,,2026-09-01T17:19:41Z
2009,groves_lidar,0,other,0.3911,0.9332,0.7307,0.5,2009,12,26.1,3,medium,web_mercator,"2009-05-01 to 2009-05-16 (3 days over the city: May 1 n=179, May 9 121, May 16 172)",5,0,,2026-09-01T17:19:41Z
2009,groves_nolidar,0,other,0.7503,0.7749,0.7699,0.5,2009,12,26.1,3,medium,web_mercator,"2009-05-01 to 2009-05-16 (3 days over the city: May 1 n=179, May 9 121, May 16 172)",5,0,,2026-09-01T17:19:41Z
2009,hybrid_v1,0,other,0.6253,0.8792,0.8132,0.5,2009,12,26.1,3,medium,web_mercator,"2009-05-01 to 2009-05-16 (3 days over the city: May 1 n=179, May 9 121, May 16 172)",5,0,,2026-09-01T17:19:41Z
2009,nodec_v1,0,other,0.7372,0.8073,0.7922,0.5,2009,12,26.1,3,medium,web_mercator,"2009-05-01 to 2009-05-16 (3 days over the city: May 1 n=179, May 9 121, May 16 172)",5,0,,2026-09-01T17:19:41Z
2009,rgb3_ep60,0,other,0.6997,0.8117,0.7865,0.5,2009,12,26.1,3,medium,web_mercator,"2009-05-01 to 2009-05-16 (3 days over the city: May 1 n=179, May 9 121, May 16 172)",5,0,,2026-09-01T17:19:41Z
2009,rgb3_nodeb,0,other,0.6567,0.8306,0.7888,0.5,2009,12,26.1,3,medium,web_mercator,"2009-05-01 to 2009-05-16 (3 days over the city: May 1 n=179, May 9 121, May 16 172)",5,0,,2026-09-01T17:19:41Z
2009,seed1234,0,other,0.668,0.859,0.8125,0.5,2009,12,26.1,3,medium,web_mercator,"2009-05-01 to 2009-05-16 (3 days over the city: May 1 n=179, May 9 121, May 16 172)",5,0,,2026-09-01T17:19:41Z
2011s,sectors_v1,1,sector_v1,0.5727,0.4514,0.4714,0.5,2011,10,38.12 (median of 5 sites; 1.25x its grid),3,medium,state_plane_ft,NOT FOUND (year from the county service name Aerial_2011 only),,,,2026-09-01T17:19:41Z
