year,tag,P_hat,area_ha,se,ci_lo,ci_hi,n_sectors,is_champion
2000,citywide_rgb,0.38639,217.5,0.07071,0.19009,0.58268,5,
2000,xsensor_rgb,0.41549,233.9,0.05912,0.25137,0.57961,5,
2002,citywide_rgb,0.38575,217.2,0.05878,0.22256,0.54893,5,
2002,xsensor_rgb,0.40953,230.6,0.06912,0.21765,0.60141,5,
2003s,sectors_v1,0.39041,219.8,0.08265,0.16098,0.61983,5,1
2005,citywide_rgb,0.373,210.0,0.07456,0.16601,0.57999,5,1
2006s,sectors_v1,0.41819,235.4,0.0471,0.28743,0.54896,5,1
2007,citywide_rgb,0.36926,207.9,0.05407,0.21915,0.51937,5,1
2009,citywide_rgb,0.37411,210.6,0.07084,0.17746,0.57076,5,1
2011s,sectors_v1,0.39877,224.5,0.02646,0.32533,0.47222,5,1
2012s,sectors_v1,0.38264,215.4,0.05816,0.22119,0.54409,5,1
2013,citywide_rgb,0.37734,212.4,0.04518,0.25193,0.50275,5,
2013,xsensor_rgb,0.38976,219.4,0.04654,0.26056,0.51896,5,
2015,citywide_rgb,0.37797,212.8,0.05221,0.23303,0.52292,5,
2015,xsensor_rgb,0.39371,221.7,0.06265,0.21978,0.56764,5,
2016,fullext_sectors_v1,0.38303,215.6,0.06311,0.20783,0.55823,5,
2017,citywide_rgb,0.37602,211.7,0.05195,0.23182,0.52023,5,
2017,xsensor_train,0.38059,214.3,0.04273,0.26197,0.4992,5,
2018s,sectors_v1,0.38891,219.0,0.05861,0.22622,0.5516,5,1
2019,citywide_rgb,0.35835,201.7,0.05532,0.20477,0.51193,5,1
2019n,p2nir,0.36322,204.5,0.05185,0.2193,0.50715,5,1
2020s,sectors_v1,0.38741,218.1,0.05491,0.23497,0.53984,5,1
2021,citywide_rgb,0.3656,205.8,0.0637,0.18878,0.54243,5,1
2021s,fullext_sectors_v1,0.38474,216.6,0.05319,0.23707,0.5324,5,0
2022,citywide_rgb,0.35339,199.0,0.05009,0.21435,0.49243,5,1
2023,citywide_rgb,0.3656,205.8,0.05238,0.2202,0.511,5,1
2023n,,0.36988,208.2,0.05547,0.21589,0.52387,5,1
2024,citywide_rgb,0.40605,228.6,0.06056,0.23793,0.57417,5,1
