year,tag,sector,p_raw,p_adj,thresh,precision,recall,valid_land_px,gsd_cm,canopy_ha_true,is_champion
2000,citywide_rgb,S1,0.48025,0.74789,0.5133,0.8534,0.548,2052351,40.1,24.7,
2000,citywide_rgb,S2,0.43175,0.67237,0.5133,0.8534,0.548,6138642,40.1,66.45,
2000,citywide_rgb,S3,0.19365,0.30158,0.5133,0.8534,0.548,7364138,40.1,35.77,
2000,citywide_rgb,S4,0.14741,0.22956,0.5133,0.8534,0.548,11268762,40.1,41.61,
2000,citywide_rgb,S5,0.23968,0.37326,0.5133,0.8534,0.548,8155899,40.1,49.0,
2000,xsensor_rgb,S1,0.58025,0.713,0.5133,0.7745,0.6303,2052351,40.1,23.55,
2000,xsensor_rgb,S2,0.52735,0.648,0.5133,0.7745,0.6303,6138642,40.1,64.05,
2000,xsensor_rgb,S3,0.28833,0.35429,0.5133,0.7745,0.6303,7364138,40.1,42.02,
2000,xsensor_rgb,S4,0.22203,0.27283,0.5133,0.7745,0.6303,11268762,40.1,49.45,
2000,xsensor_rgb,S5,0.34004,0.41783,0.5133,0.7745,0.6303,8155899,40.1,54.86,
2002,citywide_rgb,S1,0.49018,0.66881,0.4988,0.8372,0.6136,2053547,40.1,22.09,
2002,citywide_rgb,S2,0.46486,0.63426,0.4988,0.8372,0.6136,6144981,40.1,62.69,
2002,citywide_rgb,S3,0.24719,0.33727,0.4988,0.8372,0.6136,7373425,40.1,40.0,
2002,citywide_rgb,S4,0.17553,0.2395,0.4988,0.8372,0.6136,11268904,40.1,43.41,
2002,citywide_rgb,S5,0.27348,0.37314,0.4988,0.8372,0.6136,8162655,40.1,48.99,
2002,xsensor_rgb,S1,0.44367,0.73321,0.57,0.8377,0.5069,2053547,40.1,24.22,
2002,xsensor_rgb,S2,0.42738,0.70629,0.57,0.8377,0.5069,6144981,40.1,69.81,
2002,xsensor_rgb,S3,0.21245,0.35109,0.57,0.8377,0.5069,7373425,40.1,41.64,
2002,xsensor_rgb,S4,0.14566,0.24072,0.57,0.8377,0.5069,11268904,40.1,43.63,
2002,xsensor_rgb,S5,0.2363,0.39051,0.57,0.8377,0.5069,8162655,40.1,51.27,
2003s,sectors_v1,S1,0.31841,0.76376,0.5,0.8153,0.3399,3549878,30.48,25.23,1
2003s,sectors_v1,S2,0.32019,0.76801,0.5,0.8153,0.3399,10626338,30.48,75.91,1
2003s,sectors_v1,S3,0.14353,0.34427,0.5,0.8153,0.3399,12757446,30.48,40.83,1
2003s,sectors_v1,S4,0.07606,0.18245,0.5,0.8153,0.3399,19519337,30.48,33.07,1
