site,year,mask,thresh,tp,fn,fp,recall_agreed,precision_agreed,contested_frac
forest_1,2016,edmonds_canopy_prob_2016.tif,0.509,4565754,961882,16678,0.826,0.9964,0.2079
forest_3,2016,edmonds_canopy_prob_2016.tif,0.509,123841,41324,700,0.7498,0.9944,0.437
forest_4,2016,edmonds_canopy_prob_2016.tif,0.509,2637219,557882,75366,0.8254,0.9722,0.1873
forest_6,2016,edmonds_canopy_prob_2016.tif,0.509,1667589,78096,11942,0.9553,0.9929,0.073
marsh_deciduous,2016,edmonds_canopy_prob_2016.tif,0.509,8843798,2408642,730935,0.7859,0.9237,0.2759
neg_cemetery,2016,edmonds_canopy_prob_2016.tif,0.509,314877,105043,805,0.7498,0.9974,0.1831
neg_civic_field,2016,edmonds_canopy_prob_2016.tif,0.509,2786,939,67,0.7479,0.9765,0.0681
neg_stadium,2016,edmonds_canopy_prob_2016.tif,0.509,513800,71051,981,0.8785,0.9981,0.1376
neg_parking,2016,edmonds_canopy_prob_2016.tif,0.509,0,2541,0,0.0,nan,0.0157
neg_water,2016,edmonds_canopy_prob_2016.tif,0.509,0,0,0,nan,nan,0.0
residential_mixed,2016,edmonds_canopy_prob_2016.tif,0.509,771498,571235,16939,0.5746,0.9785,0.3029
