epoch,prev,next,tier,gap_left_yr,gap_right_yr,shift_prev_dx_m,shift_prev_dy_m,shift_next_dx_m,shift_next_dy_m,n_match_prev,n_match_next,candidate_cells_raw,healed_cells,healed_ha,healed_pp_of_city,n_components
2011s,2009,2013,HEAL,2,2,-0.638,0.519,-0.793,0.6,2681,3645,129951,90022,36.01,1.461,4473
2013,2011s,2015,HEAL,2,2,0.795,-0.6,0.056,0.209,3643,2636,79467,42334,16.93,0.687,3015
2015,2013,2016,HEAL,2,1,-0.056,-0.21,0.307,-0.141,2637,1752,240245,187541,75.02,3.043,9441
2016,2015,2019,BLIND,1,3,-0.307,0.141,-0.253,0.403,1750,3280,108813,77940,31.18,1.265,4035
2019,2016,2021,BLIND,3,2,0.256,-0.404,-0.017,-0.429,3264,4071,213151,158783,63.51,2.577,8799
2021,2019,2024,BLIND,2,3,0.02,0.429,1.0,-0.561,4077,3803,67207,29737,11.89,0.483,2427
# min_area_m2,28.0
# heal_tier_cells,319897
# n_epochs_HEAL,3
# n_epochs_REVIEW,0
# n_epochs_BLIND,3
