epoch,prev,next,tier,gap_left_yr,gap_right_yr,shift_prev_dx_m,shift_prev_dy_m,shift_next_dx_m,shift_next_dy_m,n_match_prev,n_match_next,candidate_cells_raw,healed_cells,healed_ha,healed_pp_of_city,n_components
2011s,2009,2013,HEAL,2,2,-0.638,0.519,-0.793,0.6,2681,3645,129951,90022,36.01,1.461,4473
2013,2011s,2015,HEAL,2,2,0.795,-0.6,0.056,0.209,3643,2636,79467,42334,16.93,0.687,3015
2015,2013,2016,HEAL,2,1,-0.056,-0.21,0.307,-0.141,2637,1752,240245,187541,75.02,3.043,9441
2016,2015,2017,REVIEW,1,1,-0.307,0.141,-0.61,-0.04,1750,3277,83007,53584,21.43,0.87,3629
2017,2016,2019,REVIEW,1,2,0.608,0.04,0.278,0.373,3269,5488,270507,204563,81.83,3.32,10264
2019,2017,2020,REVIEW,2,1,-0.278,-0.377,-0.143,-0.4,5488,5783,52949,15526,6.21,0.252,1439
2020,2019,2021,REVIEW,1,1,0.143,0.4,0.179,0.0,5753,3043,505964,404413,161.77,6.563,16506
2021,2020,2022,REVIEW,1,1,-0.182,0.0,-0.417,-0.217,3053,2684,25744,6899,2.76,0.112,583
2022,2021,2023,REVIEW,1,1,0.417,0.217,0.44,0.134,2682,5906,176492,110603,44.24,1.795,7132
2023,2022,2024,REVIEW,1,1,-0.44,-0.133,0.879,-0.555,5921,3621,159585,90155,36.06,1.463,6340
# min_area_m2,28.0
# heal_tier_cells,319897
# n_epochs_HEAL,3
# n_epochs_REVIEW,7
# n_epochs_BLIND,0
