year,tag,recall_at_p75,ci_lo,ci_hi,delta_ci_lo,delta_ci_hi,delta_sig
2006s,t1_2006s_add05,0.5675,0.3626,0.688,-0.0497,0.0023,0
2006s,t1_2006s_add16,0.0814,0.003,0.1108,-0.6072,-0.3592,1
2006s,t1_2006s_base,0.5847,0.3755,0.6987,,,
2006s,t1_2006s_in05,0.6072,0.4203,0.717,0.0123,0.044,1
2006s,t1_2006s_in16,0.6307,0.4429,0.7375,0.0333,0.0743,1
2011s,t1_2011s_add05,0.723,0.565,0.821,-0.0164,0.0083,0
2011s,t1_2011s_add16,0.6988,0.5197,0.8012,-0.056,-0.0138,1
2011s,t1_2011s_base,0.7252,0.5688,0.8184,,,
2011s,t1_2011s_base_s2,0.7201,0.5588,0.8163,-0.0171,0.0024,0
2011s,t1_2011s_base_s3,0.7167,0.5622,0.8146,-0.0192,0.0029,0
2011s,t1_2011s_cor05,0.7251,0.5648,0.8222,-0.013,0.0064,0
2011s,t1_2011s_cor10,0.7273,0.5604,0.8249,-0.0152,0.0121,0
2011s,t1_2011s_in05,0.7427,0.6012,0.8293,0.0065,0.0429,1
2011s,t1_2011s_in16,0.7461,0.6249,0.8259,0.0017,0.0617,1
2016,t1_2016_add05,0.7505,0.5953,0.8368,0.0393,0.1487,1
2016,t1_2016_add16,0.7353,0.5697,0.8305,0.0346,0.118,1
2016,t1_2016_base,0.6693,0.4579,0.7905,,,
2016,t1_2016_in05,0.7441,0.5943,0.8323,0.035,0.1448,1
2016,t1_2016_in16,0.7351,0.5985,0.8182,0.0215,0.1475,1
2016,t1_2016_nir,0.7429,0.5771,0.833,0.0349,0.1307,1
2019n,t1_2019n_base,0.6749,0.5509,0.7859,,,
2019n,t1_2019n_nir,0.7146,0.5593,0.8014,-0.013,0.048,0
2020,t1_2020_add05,0.6871,0.6149,0.7953,-0.0181,0.0738,0
2020,t1_2020_add16,0.7005,0.6139,0.7254,-0.005,0.0635,0
2020,t1_2020_base,0.6402,0.5995,0.726,,,
2020,t1_2020_in05,0.6753,0.5997,0.701,-0.029,0.0372,0
2020,t1_2020_in16,0.6592,0.6123,0.6864,-0.0451,0.0209,0
