year,tag,recall_at_p75,prec_at_p75,k_at_p75,n_eligible_cuts,dep_k,dep_recall,dep_precision,delta_recall_at_p75,sweep_file
2006s,t1_2006s_add05,0.5676,0.751,105,93,63,0.7413,0.6525,-0.0171,qc_indep_sweep_2006s_t1_2006s_add05_ccap_2021_hires_lc_sample-test.csv
2006s,t1_2006s_add16,0.0814,0.7866,129,5,113,0.7894,0.4444,-0.5033,qc_indep_sweep_2006s_t1_2006s_add16_ccap_2021_hires_lc_sample-test.csv
2006s,t1_2006s_base,0.5847,0.7504,90,101,64,0.7694,0.6315,,qc_indep_sweep_2006s_t1_2006s_base_ccap_2021_hires_lc_sample-test.csv
2006s,t1_2006s_in05,0.6073,0.7504,81,118,63,0.7622,0.6469,0.0226,qc_indep_sweep_2006s_t1_2006s_in05_ccap_2021_hires_lc_sample-test.csv
2006s,t1_2006s_in16,0.6308,0.7502,108,90,69,0.7674,0.6566,0.0461,qc_indep_sweep_2006s_t1_2006s_in16_ccap_2021_hires_lc_sample-test.csv
2011s,t1_2011s_add05,0.7243,0.75,111,112,63,0.7879,0.7058,-0.001,qc_indep_sweep_2011s_t1_2011s_add05_ccap_2021_hires_lc_sample-test.csv
2011s,t1_2011s_add16,0.6989,0.7502,88,120,56,0.7856,0.6908,-0.0264,qc_indep_sweep_2011s_t1_2011s_add16_ccap_2021_hires_lc_sample-test.csv
2011s,t1_2011s_base,0.7253,0.7502,92,125,57,0.7831,0.7091,,qc_indep_sweep_2011s_t1_2011s_base_ccap_2021_hires_lc_sample-test.csv
2011s,t1_2011s_base_s2,0.7201,0.7506,94,138,67,0.7886,0.7019,-0.0052,qc_indep_sweep_2011s_t1_2011s_base_s2_ccap_2021_hires_lc_sample-test.csv
2011s,t1_2011s_base_s3,0.7168,0.7504,115,101,66,0.7777,0.7075,-0.0085,qc_indep_sweep_2011s_t1_2011s_base_s3_ccap_2021_hires_lc_sample-test.csv
2011s,t1_2011s_cor05,0.7251,0.7503,99,104,61,0.781,0.7116,-0.0002,qc_indep_sweep_2011s_t1_2011s_cor05_ccap_2021_hires_lc_sample-test.csv
2011s,t1_2011s_cor10,0.7285,0.75,88,116,58,0.7925,0.7061,0.0032,qc_indep_sweep_2011s_t1_2011s_cor10_ccap_2021_hires_lc_sample-test.csv
2011s,t1_2011s_in05,0.7427,0.7511,66,147,55,0.7765,0.7266,0.0174,qc_indep_sweep_2011s_t1_2011s_in05_ccap_2021_hires_lc_sample-test.csv
2011s,t1_2011s_in16,0.7461,0.7528,58,170,54,0.7798,0.7249,0.0208,qc_indep_sweep_2011s_t1_2011s_in16_ccap_2021_hires_lc_sample-test.csv
2016,t1_2016_add05,0.7505,0.7502,70,163,56,0.7712,0.7357,0.0812,qc_indep_sweep_2016_t1_2016_add05_ccap_2021_hires_lc_sample-test.csv
2016,t1_2016_add16,0.7353,0.7505,83,136,57,0.7752,0.7232,0.066,qc_indep_sweep_2016_t1_2016_add16_ccap_2021_hires_lc_sample-test.csv
2016,t1_2016_base,0.6693,0.7582,131,91,103,0.7798,0.6795,,qc_indep_sweep_2016_t1_2016_base_ccap_2021_hires_lc_sample-test.csv
2016,t1_2016_in05,0.7441,0.7504,44,177,37,0.781,0.7233,0.0748,qc_indep_sweep_2016_t1_2016_in05_ccap_2021_hires_lc_sample-test.csv
2016,t1_2016_in16,0.7351,0.7521,41,193,34,0.7825,0.7116,0.0658,qc_indep_sweep_2016_t1_2016_in16_ccap_2021_hires_lc_sample-test.csv
2016,t1_2016_nir,0.7429,0.7503,46,203,42,0.7594,0.7388,0.0736,qc_indep_sweep_2016_t1_2016_nir_ccap_2021_hires_lc_sample-test.csv
2019n,t1_2019n_base,0.6749,0.7638,129,92,124,0.7567,0.7112,,qc_indep_sweep_2019n_t1_2019n_base_ccap_2021_hires_lc_sample-test.csv
2019n,t1_2019n_nir,0.7146,0.7507,126,94,106,0.751,0.7273,0.0397,qc_indep_sweep_2019n_t1_2019n_nir_ccap_2021_hires_lc_sample-test.csv
2020,t1_2020_add05,0.6871,0.7889,31,204,30,0.7786,0.7186,0.0469,qc_indep_sweep_2020_t1_2020_add05_ccap_2021_hires_lc_sample-test.csv
2020,t1_2020_add16,0.7005,0.7664,28,149,28,0.7005,0.7664,0.0603,qc_indep_sweep_2020_t1_2020_add16_ccap_2021_hires_lc_sample-test.csv
2020,t1_2020_base,0.6402,0.7999,27,205,26,0.7039,0.7383,,qc_indep_sweep_2020_t1_2020_base_ccap_2021_hires_lc_sample-test.csv
2020,t1_2020_in05,0.6753,0.7702,20,203,20,0.6753,0.7702,0.0351,qc_indep_sweep_2020_t1_2020_in05_ccap_2021_hires_lc_sample-test.csv
2020,t1_2020_in16,0.6592,0.7968,18,187,18,0.6592,0.7968,0.019,qc_indep_sweep_2020_t1_2020_in16_ccap_2021_hires_lc_sample-test.csv
