row_off,col_off,split,block
17511,8574,val,3_1
21006,12757,train,4_2
20110,13013,train,4_2
17639,9725,val,3_1
19343,12372,train,3_2
12932,14168,test,2_2
21519,12628,train,4_2
18830,12884,train,3_2
19430,8446,val,3_1
12164,14297,test,2_2
12548,15192,test,2_3
21135,12245,train,4_2
11907,15449,test,2_3
18790,8318,val,3_1
12675,14040,test,2_2
11523,15064,test,2_3
20494,15444,val,4_3
12675,15320,test,2_3
20366,12628,train,4_2
17766,9597,val,3_1
12420,15832,test,2_3
18446,12757,train,3_2
19174,8830,val,3_1
17638,8061,val,3_1
12547,13528,test,2_2
13315,15448,test,2_3
19046,8701,val,3_1
13699,14169,test,2_2
19559,8702,val,3_1
17895,9085,val,3_1
13699,14680,test,2_2
20238,12500,train,4_2
13572,13145,test,2_2
20878,12116,train,4_2
17895,8190,val,3_1
12420,13529,test,2_2
13059,14169,test,2_2
19343,12884,train,3_2
17895,8445,val,3_1
13700,15448,test,2_3
12420,13657,test,2_2
11651,15449,test,2_3
13316,15064,test,2_3
17255,8702,val,3_1
12931,15577,test,2_3
17127,9341,val,3_1
17254,8062,val,3_1
19598,12628,train,3_2
17766,8190,val,3_1
11651,14169,test,2_2
13572,13656,test,2_2
12548,13656,test,2_2
19470,12372,train,3_2
20623,15060,val,4_3
20622,12757,train,4_2
18318,12245,train,3_2
19470,12500,train,3_2
11779,13144,test,2_2
13955,14169,test,2_2
19558,9725,val,3_1
13059,13913,test,2_2
13955,13657,test,2_2
18663,9725,val,3_1
19982,15189,val,4_3
18278,8061,val,3_1
19214,12117,train,3_2
13571,14937,test,2_3
19686,8061,test,4_1
19854,14932,val,4_3
18574,12501,train,3_2
13187,14808,test,2_3
18919,9086,val,3_1
13956,15193,test,2_3
18319,12501,train,3_2
19175,9470,val,3_1
21390,15573,val,4_3
14083,13784,test,2_2
11780,14681,test,2_2
13188,14424,test,2_2
12035,13784,test,2_2
12676,14809,test,2_3
12675,13912,test,2_2
13444,13656,test,2_2
20622,15316,val,4_3
19086,12885,train,3_2
12675,14425,test,2_2
13316,15576,test,2_3
12420,14552,test,2_2
11523,15576,test,2_3
19174,8958,val,3_1
19471,12117,train,3_2
17382,9086,val,3_1
18830,12373,train,3_2
17511,8702,val,3_1
19814,9725,test,4_1
12931,14937,test,2_3
19302,9341,val,3_1
12548,14296,test,2_2
18663,8318,val,3_1
14084,13529,test,2_2
12164,14809,test,2_3
21262,12500,train,4_2
19726,12756,train,4_2
12547,14937,test,2_3
21134,12372,train,4_2
19599,12885,train,3_2
12932,13145,test,2_2
20623,12372,train,4_2
20622,12501,train,4_2
13315,13913,test,2_2
13828,14553,test,2_2
13315,13400,test,2_2
18406,8446,val,3_1
19430,8829,val,3_1
12804,14680,test,2_2
19087,13012,train,3_2
18023,9597,val,3_1
20367,15316,val,4_3
20110,12885,train,4_2
18022,8830,val,3_1
12547,13400,test,2_2
18191,12756,train,3_2
20366,12884,train,4_2
13059,15705,test,2_3
21007,12885,train,4_2
13700,13144,test,2_2
17767,9213,val,3_1
11779,15192,test,2_3
13828,14041,test,2_2
17766,8829,val,3_1
20750,13012,train,4_2
18574,13012,train,3_2
12164,14424,test,2_2
19599,12757,train,3_2
17127,9213,val,3_1
13699,14425,test,2_2
12291,14424,test,2_2
19558,9597,val,3_1
18791,9341,val,3_1
20494,12116,train,4_2
11652,15065,test,2_3
20495,15188,val,4_3
12547,15064,test,2_3
18575,12245,train,3_2
18919,9725,val,3_1
18279,9086,val,3_1
18190,13012,train,3_2
12932,15193,test,2_3
17895,8958,val,3_1
19855,12245,train,4_2
17767,9469,val,3_1
19983,13012,train,4_2
19726,15060,val,4_3
20111,14805,val,4_3
11652,13145,test,2_2
20879,12756,train,4_2
13956,15576,test,2_3
13571,14552,test,2_2
21391,13013,train,4_2
20111,15316,val,4_3
19342,12244,train,3_2
13060,13401,test,2_2
12803,15193,test,2_3
13828,13528,test,2_2
20878,14805,val,4_3
18447,12628,train,3_2
12036,14809,test,2_3
13444,14937,test,2_3
13188,13912,test,2_2
19303,8317,val,3_1
20239,15060,val,4_3
21391,14805,val,4_3
13956,14936,test,2_3
19215,12756,train,3_2
19175,8062,val,3_1
12291,13784,test,2_2
19174,9597,val,3_1
14212,15704,test,2_3
17638,8190,val,3_1
12804,14297,test,2_2
18662,9342,val,3_1
18702,12756,train,3_2
20110,15572,val,4_3
21391,12629,train,4_2
20367,15444,val,4_3
21390,15189,val,4_3
18447,12245,train,3_2
19687,9726,test,4_1
21262,12245,train,4_2
20238,15444,val,4_3
12931,13273,test,2_2
13315,14552,test,2_2
11780,13784,test,2_2
12036,13145,test,2_2
19687,9598,test,4_1
13444,14681,test,2_2
20367,12116,train,4_2
12163,15193,test,2_3
13955,14552,test,2_2
12164,13400,test,2_2
12292,13273,test,2_2
19431,9469,val,3_1
21135,12629,train,4_2
18663,8958,val,3_1
19430,8574,val,3_1
13828,13401,test,2_2
19471,12629,train,3_2
12035,15705,test,2_3
13955,13400,test,2_2
19687,8574,test,4_1
18406,8829,val,3_1
12932,14040,test,2_2
19046,8830,val,3_1
14083,14425,test,2_2
11524,15832,test,2_3
12036,13400,test,2_2
18319,12372,train,3_2
12292,13144,test,2_2
18534,9725,val,3_1
20111,12245,train,4_2
20879,12884,train,4_2
13187,15448,test,2_3
17511,9086,val,3_1
19727,15444,val,4_3
11780,15449,test,2_3
19047,9469,val,3_1
18535,8702,val,3_1
20494,12500,train,4_2
14211,15449,test,2_3
21518,15444,val,4_3
11651,14040,test,2_2
12804,14041,test,2_2
17127,9470,val,3_1
20878,15316,val,4_3
18919,8189,val,3_1
19686,9085,test,4_1
13187,14936,test,2_3
20110,12373,train,4_2
19854,15061,val,4_3
20111,12629,train,4_2
12803,14936,test,2_3
13187,13400,test,2_2
18703,12885,train,3_2
18407,9597,val,3_1
19175,9213,val,3_1
19303,9725,val,3_1
18022,9214,val,3_1
20750,14933,val,4_3
21519,12244,train,4_2
12931,13784,test,2_2
12291,15320,test,2_3
12676,15577,test,2_3
18190,12372,train,3_2
18279,9725,val,3_1
18022,8061,val,3_1
13059,13657,test,2_2
11908,14040,test,2_2
19430,8189,val,3_1
12931,13656,test,2_2
21263,15061,val,4_3
12548,13784,test,2_2
19343,12117,train,3_2
13828,15704,test,2_3
21391,12501,train,4_2
21134,12885,train,4_2
13828,15448,test,2_3
19983,12501,train,4_2
21263,12884,train,4_2
13699,13529,test,2_2
20367,13012,train,4_2
19174,8446,val,3_1
12931,14680,test,2_2
19559,8574,val,3_1
18790,8062,val,3_1
14083,14168,test,2_2
14084,14680,test,2_2
21006,12628,train,4_2
17254,9470,val,3_1
19598,13012,train,3_2
13315,14169,test,2_2
20879,12245,train,4_2
20878,13013,train,4_2
14212,15320,test,2_3
13315,13657,test,2_2
19174,8317,val,3_1
19687,8830,test,4_1
13956,15064,test,2_3
12164,14552,test,2_2
20623,12885,train,4_2
19430,8317,val,3_1
20878,15444,val,4_3
17382,8062,val,3_1
12676,15064,test,2_3
12932,14296,test,2_2
20494,14804,val,4_3
17127,8062,val,3_1
11523,15705,test,2_3
17510,9598,val,3_1
21519,15189,val,4_3
17895,8574,val,3_1
21007,15444,val,4_3
20878,14933,val,4_3
21263,15444,val,4_3
12036,15576,test,2_3
12291,15448,test,2_3
20750,15188,val,4_3
13571,15576,test,2_3
19430,8701,val,3_1
18702,12244,train,3_2
12676,13273,test,2_2
11907,14808,test,2_3
12547,15577,test,2_3
13572,15193,test,2_3
18919,8446,val,3_1
21390,14932,val,4_3
11908,13785,test,2_2
19559,8189,val,3_1
20366,15572,val,4_3
13572,14296,test,2_2
