row_off,col_off,split,block
136965,125055,train,4_4
136965,41685,train,4_1
160785,9925,train,5_0
196515,131010,train,6_4
196515,107190,train,6_3
109175,43670,val,3_1
129025,31760,train,4_1
194530,47640,test,6_1
158800,29775,train,5_0
198500,79400,test,6_2
138950,69475,test,4_2
39700,103220,train,1_3
127040,0,train,4_0
91310,119100,val,3_3
115130,41685,val,3_1
210410,144905,test,7_4
131010,125055,train,4_4
111160,89325,test,3_2
162770,65505,test,5_2
99250,9925,train,3_0
154830,17865,train,5_0
99250,95280,val,3_3
0,138950,val,0_4
138950,47640,train,4_1
21835,136965,val,0_4
158800,41685,train,5_1
202470,83370,test,6_2
121085,0,train,4_0
47640,95280,train,1_3
186590,67490,test,6_2
162770,45655,train,5_1
160785,131010,train,5_4
140935,77415,test,4_2
17865,140935,val,0_4
109175,41685,val,3_1
73445,77415,train,2_2
184605,69475,test,6_2
61535,79400,train,2_2
134980,27790,train,4_0
134980,7940,train,4_0
136965,9925,train,4_0
37715,125055,val,1_4
7940,127040,val,0_4
194530,51610,test,6_1
117115,57565,val,3_1
59550,134980,val,1_4
49625,89325,train,1_2
192545,13895,val,6_0
61535,144905,test,2_4
105205,146890,train,3_4
134980,99250,train,4_3
138950,71460,test,4_2
158800,19850,train,5_0
39700,144905,val,1_4
200485,1985,val,6_0
103220,69475,test,3_2
160785,117115,train,5_3
115130,83370,test,3_2
210410,127040,test,7_4
140935,113145,train,4_3
170710,129025,train,5_4
150860,25805,train,5_0
148875,0,train,4_0
127040,37715,train,4_1
107190,87340,test,3_2
71460,67490,train,2_2
131010,117115,train,4_3
150860,17865,train,5_0
164755,61535,test,5_2
127040,27790,train,4_0
109175,111160,val,3_3
192545,11910,val,6_0
129025,23820,train,4_0
158800,111160,train,5_3
180635,75430,test,6_2
131010,123070,train,4_4
156815,5955,train,5_0
186590,47640,test,6_1
81385,123070,test,2_4
111160,0,train,3_0
206440,5955,val,6_0
146890,61535,test,4_2
176665,105205,train,5_3
162770,31760,train,5_1
45655,101235,train,1_3
146890,21835,train,4_0
29775,127040,val,0_4
103220,105205,val,3_3
152845,49625,train,5_1
164755,41685,train,5_1
172695,75430,test,5_2
204455,67490,test,6_2
57565,71460,train,1_2
79400,79400,train,2_2
146890,83370,test,4_2
111160,107190,val,3_3
39700,138950,val,1_4
190560,81385,test,6_2
190560,33745,test,6_1
194530,115130,train,6_3
164755,129025,train,5_4
105205,119100,val,3_3
119100,17865,train,3_0
132995,101235,train,4_3
200485,87340,test,6_2
170710,37715,train,5_1
190560,129025,train,6_4
170710,29775,train,5_0
132995,99250,train,4_3
164755,23820,train,5_0
47640,131010,val,1_4
136965,146890,train,4_4
45655,103220,train,1_3
101235,55580,val,3_1
91310,41685,val,3_1
144905,25805,train,4_0
166740,83370,test,5_2
202470,85355,test,6_2
158800,45655,train,5_1
41685,107190,train,1_3
61535,119100,test,2_3
142920,146890,train,4_4
200485,29775,val,6_0
146890,107190,train,4_3
121085,125055,train,4_4
83370,91310,test,2_3
146890,111160,train,4_3
125055,81385,test,4_2
69475,99250,test,2_3
146890,113145,train,4_3
29775,123070,val,0_4
69475,93295,test,2_3
107190,61535,test,3_2
170710,21835,train,5_0
77415,107190,test,2_3
95280,45655,val,3_1
123070,67490,test,4_2
13895,125055,val,0_4
180635,9925,val,6_0
192545,123070,train,6_4
79400,103220,test,2_3
172695,103220,train,5_3
115130,85355,test,3_2
91310,93295,val,3_3
21835,107190,train,0_3
176665,117115,train,5_3
142920,79400,test,4_2
150860,15880,train,5_0
131010,19850,train,4_0
65505,103220,test,2_3
87340,111160,test,2_3
49625,87340,train,1_2
136965,69475,test,4_2
170710,45655,train,5_1
188575,41685,test,6_1
180635,61535,test,6_2
142920,63520,test,4_2
182620,23820,val,6_0
131010,107190,train,4_3
156815,121085,train,5_4
150860,105205,train,5_3
61535,71460,train,2_2
33745,140935,val,1_4
164755,85355,test,5_2
3970,144905,val,0_4
9925,103220,train,0_3
132995,113145,train,4_3
17865,123070,val,0_4
150860,115130,train,5_3
43670,138950,val,1_4
188575,117115,train,6_3
174680,99250,train,5_3
182620,7940,val,6_0
105205,75430,test,3_2
170710,61535,test,5_2
131010,1985,train,4_0
71460,61535,train,2_2
27790,103220,train,0_3
156815,41685,train,5_1
