row_off,col_off,split,block
1676,6704,train,0_2
31425,21788,val,10_7
28911,15503,train,9_5
5866,23045,val,1_7
9637,838,train,3_0
15503,16760,train,5_5
23045,5447,train,7_1
26397,17179,test,8_5
31006,7542,train,10_2
12151,5447,train,4_1
24721,26397,train,8_8
28073,419,test,9_0
1676,21788,test,0_7
10475,4190,train,3_1
25559,32682,train,8_10
5866,24721,val,1_8
29749,2514,test,9_0
14246,23883,test,4_7
11732,5866,train,3_1
23883,38548,test,7_12
7542,42738,train,2_14
6285,41481,train,2_13
6285,26816,val,2_8
25978,25140,train,8_8
2095,8799,train,0_2
12989,20950,test,4_6
10056,28492,train,3_9
23045,9637,train,7_3
20531,6285,train,6_2
26816,8380,val,8_2
25140,15084,test,8_5
26397,8799,val,8_2
31425,41900,test,10_13
25140,13827,train,8_4
5447,5447,test,1_1
2514,12989,test,0_4
18855,13408,train,6_4
27235,43157,test,9_14
15922,9218,train,5_3
28073,31006,val,9_10
22207,10475,train,7_3
25978,11732,train,8_3
12570,20950,test,4_6
13408,21369,test,4_7
19693,31425,val,6_10
14246,22626,test,4_7
4609,1257,val,1_0
15503,7123,train,5_2
23883,2095,val,7_0
22207,10056,train,7_3
31006,41062,test,10_13
24302,38548,test,8_12
26816,10056,train,8_3
31006,5447,test,10_1
20531,35615,train,6_11
25140,36453,test,8_12
4609,14665,train,1_4
18855,37710,train,6_12
18855,2933,train,6_0
22207,12989,test,7_4
13408,23464,test,4_7
10894,12989,val,3_4
11313,14665,val,3_4
31006,33101,train,10_11
12570,7123,train,4_2
838,22207,test,0_7
1676,13827,test,0_4
12151,28492,test,4_9
28073,12151,train,9_4
10056,28073,train,3_9
15503,2514,val,5_0
10056,18436,test,3_6
12570,4609,train,4_1
26816,7542,val,8_2
3771,33520,test,1_11
26397,10475,train,8_3
24302,23464,train,8_7
26397,11732,train,8_3
5028,12570,train,1_4
419,33520,train,0_11
25559,7123,val,8_2
26816,10894,train,8_3
8380,42319,train,2_14
11732,15922,val,3_5
7542,41062,train,2_13
20531,10894,train,6_3
10475,15084,val,3_5
22626,15084,val,7_5
6704,3771,val,2_1
23883,10894,train,7_3
23464,12570,test,7_4
10894,25559,train,3_8
9637,12151,val,3_4
13827,37710,test,4_12
2933,2095,val,0_0
9637,28911,train,3_9
24721,16341,test,8_5
10894,1676,train,3_0
28073,0,test,9_0
12570,41062,val,4_13
22207,7123,train,7_2
30168,15503,test,10_5
12989,25140,train,4_8
17179,37291,train,5_12
19274,38967,train,6_12
838,14246,test,0_4
25140,38967,test,8_12
24302,26397,train,8_8
24721,32682,train,8_10
16760,17598,train,5_5
27235,10475,train,9_3
10894,29749,train,3_9
21788,37291,test,7_12
25978,6704,val,8_2
24721,41062,train,8_13
29749,30587,val,9_10
31425,5028,test,10_1
2514,23464,test,0_7
12989,40224,val,4_13
21369,12570,test,7_4
22626,12570,test,7_4
16760,11313,train,5_3
19693,33101,train,6_11
20531,14246,train,6_4
22626,12151,test,7_4
13408,13408,val,4_4
27235,10894,train,9_3
27235,10056,train,9_3
28073,1676,test,9_0
26397,13408,train,8_4
13827,10056,test,4_3
0,34777,train,0_11
18017,2514,train,6_0
14246,8799,train,4_2
28911,3771,val,9_1
0,13827,test,0_4
31006,19274,train,10_6
25559,12151,train,8_4
30587,12570,train,10_4
419,11313,train,0_3
7542,33520,train,2_11
25559,11732,train,8_3
419,43157,train,0_14
20950,27654,train,6_9
4609,11313,val,1_3
21788,38129,test,7_12
27654,10056,train,9_3
15503,43157,test,5_14
6704,28492,val,2_9
2514,23883,test,0_7
20950,20950,val,6_6
2095,40643,train,0_13
22207,35615,train,7_11
18855,838,train,6_0
25978,7961,val,8_2
7542,11732,val,2_3
18017,40643,train,6_13
28492,42319,test,9_14
31006,22207,val,10_7
7123,9637,val,2_3
13827,22626,test,4_7
2933,26816,train,0_8
22626,38129,test,7_12
13827,23045,test,4_7
8799,6704,train,2_2
16341,20531,test,5_6
14246,16341,train,4_5
11313,19274,test,3_6
20531,35196,train,6_11
12989,27654,test,4_9
21369,12151,test,7_4
0,20950,val,0_6
3352,33939,test,1_11
2095,36872,val,0_12
21369,15922,val,7_5
31006,21369,val,10_7
5866,25559,val,1_8
419,3771,train,0_1
31006,33939,train,10_11
26816,26816,train,8_8
1676,30587,train,0_10
14665,31425,train,4_10
6704,1676,train,2_0
15503,25559,val,5_8
24302,6285,val,8_2
24302,31844,train,8_10
20112,8799,train,6_2
3771,1676,val,1_0
16760,5447,test,5_1
22626,1676,val,7_0
31425,5866,test,10_1
15922,38129,train,5_12
419,10475,train,0_3
14246,30587,train,4_10
31425,33101,train,10_11
11732,39805,train,3_13
6704,41062,train,2_13
4609,23464,val,1_7
25559,10475,train,8_3
17179,7542,train,5_2
12570,21788,test,4_7
28492,16341,train,9_5
7542,5028,val,2_1
18436,419,train,6_0
21369,16341,val,7_5
29330,8799,train,9_2
23883,30587,train,7_10
5866,9637,val,1_3
28911,12570,train,9_4
17179,14246,test,5_4
26397,7542,val,8_2
21369,6285,train,7_2
14246,23045,test,4_7
21788,38967,test,7_12
9637,8380,val,3_2
23045,6704,train,7_2
2095,41062,train,0_13
17179,36453,train,5_12
19693,8799,train,6_2
15084,5447,test,5_1
22207,6704,train,7_2
23883,31425,train,7_10
24302,29330,val,8_9
7123,15922,train,2_5
19693,10475,train,6_3
31425,28492,val,10_9
23464,12151,test,7_4
21369,838,val,7_0
8380,34358,train,2_11
11313,37291,train,3_12
21369,28073,train,7_9
25978,11313,train,8_3
11732,19274,test,3_6
25559,12570,train,8_4
11313,29749,train,3_9
25978,12570,train,8_4
11732,23883,test,3_7
8799,25978,val,2_8
5028,25559,val,1_8
30587,18855,train,10_6
3352,24302,val,1_8
30587,15922,test,10_5
15922,32682,train,5_10
28911,7123,train,9_2
30587,7961,train,10_2
419,33939,train,0_11
18436,10056,train,6_3
2514,22626,test,0_7
7542,13408,train,2_4
30587,7123,train,10_2
7542,41900,train,2_13
26397,7123,val,8_2
28911,8799,train,9_2
3352,24721,val,1_8
10056,40224,train,3_13
1676,1676,val,0_0
26816,12151,train,8_4
17179,31425,train,5_10
28911,838,test,9_0
11313,36872,train,3_12
5028,32682,test,1_10
23045,26816,test,7_8
26397,20950,test,8_6
22626,43157,val,7_14
2933,22626,test,0_7
20950,22626,val,6_7
16760,37291,train,5_12
14665,21788,test,4_7
10475,28073,train,3_9
12570,32682,train,4_10
25559,2933,train,8_0
5447,42738,train,1_14
17179,19274,test,5_6
15084,24302,val,5_8
20112,10056,train,6_3
21788,27235,train,7_9
25559,12989,train,8_4
23045,41900,test,7_13
29749,6704,train,9_2
3352,39805,train,1_13
24302,6704,val,8_2
22626,12989,test,7_4
17598,34358,train,5_11
11732,20950,test,3_6
18855,25559,train,6_8
23883,20112,val,7_6
