row_off,col_off,split,block
16650,22311,train,3_4
27306,5328,train,5_1
16983,22311,train,3_4
18981,22644,train,3_4
33633,3330,val,6_0
20646,17982,train,4_3
18981,22311,train,3_4
26640,1665,train,5_0
17316,22311,train,3_4
12654,11322,train,2_2
27639,22644,test,5_4
27306,17316,train,5_3
31968,23310,test,6_4
31635,22977,test,6_4
18648,16983,train,3_3
29304,22977,test,5_4
4995,21645,train,1_4
5994,19647,val,1_3
34299,21645,test,6_4
2331,17982,val,0_3
24309,2664,test,4_0
19647,22311,train,3_4
14652,23310,val,2_4
16983,7659,train,3_1
6327,23976,train,1_4
26307,5994,train,5_1
11322,24309,val,2_4
11988,17316,test,2_3
27972,23310,test,5_4
32634,17316,train,6_3
1998,18981,val,0_3
27972,16983,train,5_3
12321,18315,test,2_3
26307,5661,train,5_1
13320,20313,val,2_4
20979,1665,test,4_0
23643,3663,test,4_0
16650,20313,train,3_4
14652,22644,val,2_4
33633,21978,test,6_4
18315,11655,val,3_2
33300,16317,train,6_3
18315,21978,train,3_4
24309,3330,test,4_0
4662,18981,val,0_3
18981,14319,val,3_2
26307,1998,train,5_0
15651,11322,val,3_2
16983,3663,train,3_0
29304,23310,test,5_4
25641,10323,train,5_2
26973,10656,train,5_2
13653,16650,test,2_3
6993,19647,val,1_3
24975,17982,train,5_3
6327,16983,val,1_3
18648,14652,val,3_2
32301,22311,test,6_4
25308,22311,test,5_4
13320,22977,val,2_4
13653,22644,val,2_4
21978,3663,test,4_0
14652,22977,val,2_4
30303,22311,test,6_4
26973,23310,test,5_4
8325,18648,val,1_3
11988,9324,train,2_1
27639,22977,test,5_4
999,17316,val,0_3
23310,2664,test,4_0
30636,12654,train,6_2
18648,13986,val,3_2
20313,22644,train,4_4
14319,22311,val,2_4
27639,13320,train,5_2
4329,22977,train,0_4
25974,5994,train,5_1
16317,11655,val,3_2
22644,16650,train,4_3
6993,18648,val,1_3
31635,15984,train,6_3
3996,22977,train,0_4
27972,22311,test,5_4
29304,12987,train,5_2
19980,24309,train,4_4
14652,7992,train,2_1
3330,21645,train,0_4
8991,15984,val,1_3
22311,20313,train,4_4
9657,14985,val,1_3
3996,21645,train,0_4
22644,3663,test,4_0
9324,15318,val,1_3
8991,17982,val,1_3
1332,18648,val,0_3
26307,23976,test,5_4
33966,6660,train,6_1
30969,22644,test,6_4
1332,19314,val,0_3
28638,6660,train,5_1
1332,18315,val,0_3
28638,20979,test,5_4
23643,1665,test,4_0
13320,23310,val,2_4
27306,2664,train,5_0
28305,22977,test,5_4
31635,16650,train,6_3
32967,16317,train,6_3
33300,5994,train,6_1
15651,16650,train,3_3
26640,5661,train,5_1
20313,21312,train,4_4
10656,15984,test,2_3
4995,22311,train,1_4
3996,22644,train,0_4
1998,18648,val,0_3
25974,19980,test,5_4
28638,24309,test,5_4
29304,22311,test,5_4
25974,20979,test,5_4
13320,17316,test,2_3
1665,23310,train,0_4
34299,7326,train,6_1
25641,22644,test,5_4
9990,16317,test,2_3
30969,13986,train,6_2
18648,20313,train,3_4
25974,23976,test,5_4
28638,7659,train,5_1
29970,3663,val,6_0
21312,3996,test,4_0
22977,19314,train,4_3
7992,21978,train,1_4
34632,2664,val,7_0
25308,22977,test,5_4
2997,21978,train,0_4
6993,18981,val,1_3
9657,17316,val,1_3
4662,19314,val,0_3
17982,21978,train,3_4
4329,18648,val,0_3
10656,16317,test,2_3
2997,18648,val,0_3
22977,333,test,4_0
29637,2664,val,6_0
19314,18981,train,3_3
4329,18315,val,0_3
26973,22644,test,5_4
7326,19647,val,1_3
29970,12654,train,6_2
32301,16317,train,6_3
9657,15318,val,1_3
26973,4662,train,5_0
31968,22977,test,6_4
3663,18981,val,0_3
26640,3996,train,5_0
22644,24309,train,4_4
12987,22644,val,2_4
17649,21312,train,3_4
5328,21978,train,1_4
18315,18648,train,3_3
26307,3996,train,5_0
33966,3996,val,6_0
22311,14319,test,4_2
26973,2331,train,5_0
21978,22311,train,4_4
12654,16317,test,2_3
19647,24309,train,3_4
32301,14319,train,6_2
25974,9657,train,5_1
23976,6660,train,4_1
17982,10323,val,3_2
29970,11988,train,6_2
4662,23310,train,0_4
1998,19314,val,0_3
28971,10656,train,5_2
9324,15984,val,1_3
26640,4662,train,5_0
30303,4662,val,6_0
24309,9324,train,4_1
26640,3330,train,5_0
1998,18315,val,0_3
32967,22644,test,6_4
25641,8658,train,5_1
31302,20979,test,6_4
4995,17649,val,1_3
31302,22644,test,6_4
18315,13986,val,3_2
27639,2664,train,5_0
10323,15984,test,2_3
33633,6993,train,6_1
1665,19647,val,0_3
27306,5994,train,5_1
30636,8325,train,6_1
26973,5994,train,5_1
24975,22977,test,5_4
11655,23976,val,2_4
30636,23310,test,6_4
9990,15318,test,2_3
32634,23310,test,6_4
24642,23310,test,5_4
8658,16317,val,1_3
27639,7659,train,5_1
26973,21978,test,5_4
15651,2664,train,3_0
32634,22644,test,6_4
5661,23976,train,1_4
25974,20646,test,5_4
4662,22311,train,0_4
18315,22311,train,3_4
28971,23976,test,5_4
23310,6993,train,4_1
29970,11655,train,6_2
12987,18648,test,2_3
23310,3996,test,4_0
20313,22311,train,4_4
1998,17982,val,0_3
31635,8325,train,6_1
25308,6327,train,5_1
8991,15318,val,1_3
22977,7326,train,4_1
21978,11322,test,4_2
31635,22644,test,6_4
13653,16983,test,2_3
4662,23643,train,0_4
32301,7659,train,6_1
30969,3996,val,6_0
22644,2664,test,4_0
19980,10989,test,4_2
26307,8658,train,5_1
19647,16983,train,3_3
1998,17316,val,0_3
23643,4329,test,4_0
20979,4329,test,4_0
28638,16650,train,5_3
999,19647,val,0_3
4329,22644,train,0_4
31635,8658,train,6_1
28638,23310,test,5_4
22311,13320,test,4_2
26307,3330,train,5_0
1332,16317,val,0_3
18981,17982,train,3_3
11655,20646,val,2_4
32301,11988,train,6_2
24975,20313,test,5_4
5661,16983,val,1_3
4662,22977,train,0_4
9324,14985,val,1_3
27306,22311,test,5_4
20313,17982,train,4_3
