row_off,col_off,split,block
0,18432,train,0_4
18688,4352,test,4_1
19456,1536,train,5_0
20224,16640,test,5_4
25856,7680,train,6_2
20736,4608,train,5_1
6144,11776,train,1_3
2816,13568,val,0_3
8960,17408,test,2_4
16896,17408,train,4_4
9216,10240,train,2_2
20992,15360,test,5_4
7168,10752,train,1_2
11776,8448,train,3_2
18176,2304,train,4_0
21504,5632,train,5_1
23040,17152,test,6_4
18688,2304,train,4_0
11520,17152,val,3_4
512,14336,val,0_3
1024,12032,val,0_3
24576,13056,test,6_3
7168,12800,train,1_3
23808,1792,test,6_0
3072,14848,val,0_3
24064,14848,test,6_3
14592,18176,val,3_4
18944,2048,train,5_0
11008,16640,test,2_4
11264,17152,val,3_4
22528,7168,train,6_1
20224,16896,test,5_4
1280,13568,val,0_3
20224,4352,train,5_1
7936,11520,train,2_3
7168,9216,train,1_2
18432,8448,val,4_2
20480,3328,train,5_0
17152,2304,train,4_0
768,12288,val,0_3
7168,11520,train,1_3
23040,8192,train,6_2
15360,8192,val,4_2
12032,8960,train,3_2
15616,7936,val,4_2
2816,13312,val,0_3
17920,11776,test,4_3
2304,14848,val,0_3
23296,1536,test,6_0
26112,6144,train,6_1
2304,16384,train,0_4
7424,9728,train,1_2
19712,1536,train,5_0
13312,7936,train,3_2
23552,17408,test,6_4
17664,3840,test,4_1
8960,18176,test,2_4
16384,5120,test,4_1
11520,16896,val,3_4
6144,12032,train,1_3
15616,13056,test,4_3
7424,10240,train,1_2
9216,12800,train,2_3
1536,14336,val,0_3
7168,12032,train,1_3
1024,14080,val,0_3
20736,12032,train,5_3
7680,9984,train,2_2
20224,7168,train,5_1
7680,12288,train,2_3
18176,4608,test,4_1
25600,18432,test,6_4
25600,5120,train,6_1
15360,14592,test,4_3
6912,10496,train,1_2
7424,11008,train,1_2
19968,7936,train,5_2
18688,5120,test,4_1
21760,7936,train,5_2
11264,9472,train,3_2
5376,13056,train,1_3
15616,8448,val,4_2
24064,1280,test,6_0
21760,17152,test,5_4
20480,3584,train,5_0
18432,6400,test,4_1
24832,9216,train,6_2
8960,9984,train,2_2
18176,4096,test,4_1
13312,16640,val,3_4
18432,4352,test,4_1
23040,13056,test,6_3
11264,8448,train,3_2
12288,17408,val,3_4
23808,1024,test,6_0
20480,3072,train,5_0
22784,3072,test,6_0
22016,9728,train,5_2
7168,11776,train,1_3
3584,14848,val,0_3
18432,13824,test,4_3
19968,17152,test,5_4
16640,17152,train,4_4
8704,16640,test,2_4
25088,18432,test,6_4
5120,13568,train,1_3
11776,13568,val,3_3
1024,13312,val,0_3
22784,17408,test,6_4
11008,15616,test,2_4
3328,13056,val,0_3
20480,9728,train,5_2
512,14848,val,0_3
20992,17664,test,5_4
23296,2816,test,6_0
22784,18432,test,6_4
7424,10752,train,1_2
20480,16640,test,5_4
17664,14592,test,4_3
6912,12288,train,1_3
24320,14592,test,6_3
23040,16896,test,6_4
16896,6912,test,4_1
20736,2304,train,5_0
7424,11264,train,1_3
16896,18432,train,4_4
5632,18432,val,1_4
5120,18176,val,1_4
23552,9728,train,6_2
24320,6656,train,6_1
3840,17664,val,1_4
18176,2048,train,4_0
16640,16896,train,4_4
256,18432,train,0_4
512,17920,train,0_4
768,14848,val,0_3
9472,17920,test,2_4
9728,18176,test,2_4
16384,17920,train,4_4
7680,11264,train,2_3
13312,18176,val,3_4
12032,13312,val,3_3
11008,4352,val,2_1
256,12544,val,0_3
7680,10752,train,2_2
0,14848,val,0_3
21504,6912,train,5_1
4864,15872,val,1_4
23808,17664,test,6_4
20736,8448,train,5_2
2560,13312,val,0_3
2304,14336,val,0_3
26112,16128,test,6_4
11264,15872,val,3_4
13824,14336,val,3_3
13056,16640,val,3_4
14592,15872,val,3_4
18432,10240,val,4_2
1024,13824,val,0_3
8192,12032,train,2_3
13568,8960,train,3_2
5888,17920,val,1_4
25344,11264,test,6_3
1280,13824,val,0_3
22272,15104,test,5_4
9984,17152,test,2_4
14080,18176,val,3_4
1536,14848,val,0_3
1280,14336,val,0_3
14080,16896,val,3_4
4864,13056,train,1_3
9728,13568,train,2_3
20992,4352,train,5_1
20224,3584,train,5_0
9216,9984,train,2_2
