row_off,col_off,split,block
111160,67490,test,3_2
202470,129025,train,6_4
150860,33745,test,5_1
192545,71460,train,6_2
204455,109175,train,6_3
210410,140935,train,7_4
47640,134980,train,1_4
202470,57565,test,6_1
186590,71460,train,6_2
117115,113145,val,3_3
158800,35730,test,5_1
49625,113145,train,1_3
174680,117115,test,5_3
206440,1985,train,6_0
103220,61535,test,3_2
134980,131010,train,4_4
99250,73445,test,3_2
172695,53595,test,5_1
146890,37715,val,4_1
144905,19850,train,4_0
85355,105205,train,2_3
204455,57565,test,6_1
19850,129025,val,0_4
51610,101235,train,1_3
91310,123070,val,3_4
107190,87340,test,3_2
200485,47640,test,6_1
204455,43670,test,6_1
198500,53595,test,6_1
17865,123070,val,0_4
202470,131010,train,6_4
172695,49625,test,5_1
21835,129025,val,0_4
27790,123070,val,0_4
172695,91310,test,5_3
204455,0,train,6_0
43670,117115,train,1_3
53595,103220,train,1_3
160785,53595,test,5_1
119100,65505,test,3_2
184605,83370,train,6_2
160785,37715,test,5_1
15880,123070,val,0_4
55580,61535,train,1_2
129025,117115,test,4_3
97265,127040,val,3_4
125055,97265,test,4_3
172695,95280,test,5_3
45655,129025,train,1_4
117115,85355,test,3_2
61535,97265,train,2_3
51610,109175,train,1_3
210410,123070,train,7_4
127040,37715,val,4_1
206440,57565,test,6_1
178650,79400,train,5_2
136965,131010,train,4_4
9925,121085,val,0_4
131010,31760,val,4_1
148875,91310,test,4_3
134980,39700,val,4_1
140935,15880,train,4_0
23820,129025,val,0_4
69475,75430,train,2_2
0,57565,train,0_1
75430,79400,train,2_2
123070,99250,test,4_3
13895,127040,val,0_4
91310,73445,test,3_2
208425,45655,test,6_1
99250,113145,val,3_3
39700,111160,train,1_3
99250,129025,val,3_4
117115,123070,val,3_4
132995,105205,test,4_3
73445,0,val,2_0
202470,121085,train,6_4
174680,33745,test,5_1
57565,105205,train,1_3
63520,146890,val,2_4
15880,142920,val,0_4
29775,131010,val,0_4
55580,105205,train,1_3
27790,107190,train,0_3
180635,37715,test,6_1
184605,45655,test,6_1
47640,117115,train,1_3
15880,125055,val,0_4
125055,1985,train,4_0
67490,103220,train,2_3
79400,146890,val,2_4
97265,69475,test,3_2
196515,105205,train,6_3
140935,93295,test,4_3
99250,71460,test,3_2
204455,129025,train,6_4
117115,81385,test,3_2
115130,89325,test,3_2
57565,103220,train,1_3
21835,131010,val,0_4
144905,33745,val,4_1
119100,146890,val,3_4
9925,105205,train,0_3
49625,63520,train,1_2
184605,41685,test,6_1
103220,3970,test,3_0
172695,75430,train,5_2
136965,93295,test,4_3
178650,47640,test,5_1
119100,61535,test,3_2
158800,131010,train,5_4
176665,99250,test,5_3
105205,127040,val,3_4
69475,59550,val,2_1
25805,140935,val,0_4
65505,73445,train,2_2
65505,146890,val,2_4
196515,83370,train,6_2
210410,129025,train,7_4
136965,95280,test,4_3
29775,105205,train,0_3
172695,31760,test,5_1
166740,111160,test,5_3
69475,93295,train,2_3
43670,119100,train,1_3
142920,15880,train,4_0
113145,0,test,3_0
115130,87340,test,3_2
160785,71460,train,5_2
47640,144905,train,1_4
142920,117115,test,4_3
1985,0,val,0_0
168725,103220,test,5_3
125055,103220,test,4_3
57565,79400,train,1_2
208425,59550,test,6_1
176665,129025,train,5_4
89325,121085,val,2_4
91310,93295,val,3_3
97265,93295,val,3_3
99250,37715,train,3_1
65505,97265,train,2_3
11910,0,val,0_0
180635,49625,test,6_1
11910,105205,train,0_3
182620,65505,train,6_2
156815,19850,train,5_0
75430,103220,train,2_3
123070,111160,test,4_3
63520,121085,val,2_4
152845,31760,test,5_1
127040,53595,val,4_1
119100,29775,test,3_0
186590,33745,test,6_1
138950,103220,test,4_3
194530,115130,train,6_3
79400,99250,train,2_3
51610,142920,train,1_4
73445,81385,train,2_2
115130,85355,test,3_2
27790,127040,val,0_4
121085,115130,test,4_3
150860,79400,train,5_2
208425,7940,train,6_0
11910,107190,train,0_3
69475,73445,train,2_2
5955,123070,val,0_4
123070,101235,test,4_3
123070,47640,val,4_1
190560,5955,train,6_0
29775,103220,train,0_3
81385,146890,val,2_4
109175,107190,val,3_3
154830,41685,test,5_1
27790,132995,val,0_4
105205,129025,val,3_4
113145,121085,val,3_4
39700,99250,train,1_3
21835,136965,val,0_4
146890,73445,train,4_2
109175,127040,val,3_4
55580,107190,train,1_3
7940,107190,train,0_3
101235,71460,test,3_2
127040,13895,train,4_0
49625,89325,train,1_2
0,83370,train,0_2
206440,129025,train,6_4
210410,89325,val,7_2
186590,19850,train,6_0
204455,113145,train,6_3
49625,136965,train,1_4
134980,101235,test,4_3
85355,146890,val,2_4
91310,35730,train,3_1
178650,33745,test,5_1
25805,121085,val,0_4
200485,17865,train,6_0
75430,101235,train,2_3
47640,129025,train,1_4
49625,99250,train,1_3
111160,107190,val,3_3
131010,71460,train,4_2
113145,85355,test,3_2
103220,105205,val,3_3
15880,101235,train,0_3
83370,129025,val,2_4
186590,127040,train,6_4
109175,97265,val,3_3
170710,59550,test,5_1
27790,83370,train,0_2
182620,47640,test,6_1
131010,17865,train,4_0
192545,105205,train,6_3
91310,61535,test,3_2
31760,97265,train,1_3
101235,87340,test,3_2
9925,144905,val,0_4
105205,109175,val,3_3
21835,125055,val,0_4
146890,35730,val,4_1
77415,146890,val,2_4
63520,123070,val,2_4
77415,107190,train,2_3
168725,75430,train,5_2
166740,57565,test,5_1
132995,115130,test,4_3
156815,75430,train,5_2
180635,19850,train,6_0
35730,101235,train,1_3
107190,99250,val,3_3
15880,146890,val,0_4
206440,51610,test,6_1
55580,93295,train,1_3
15880,140935,val,0_4
67490,73445,train,2_2
79400,103220,train,2_3
21835,138950,val,0_4
160785,49625,test,5_1
71460,83370,train,2_2
73445,97265,train,2_3
206440,39700,test,6_1
188575,11910,train,6_0
200485,119100,train,6_3
117115,29775,test,3_0
158800,101235,test,5_3
200485,77415,train,6_2
107190,43670,train,3_1
144905,131010,train,4_4
172695,17865,train,5_0
164755,93295,test,5_3
210410,132995,train,7_4
101235,47640,train,3_1
166740,1985,train,5_0
160785,33745,test,5_1
49625,119100,train,1_3
117115,75430,test,3_2
140935,146890,train,4_4
144905,41685,val,4_1
29775,95280,train,0_3
136965,105205,test,4_3
101235,43670,train,3_1
93295,117115,val,3_3
3970,123070,val,0_4
144905,45655,val,4_1
65505,75430,train,2_2
132995,13895,train,4_0
132995,117115,test,4_3
75430,127040,val,2_4
57565,85355,train,1_2
9925,123070,val,0_4
132995,55580,val,4_1
43670,144905,train,1_4
150860,93295,test,5_3
97265,77415,test,3_2
31760,99250,train,1_3
172695,117115,test,5_3
196515,45655,test,6_1
200485,51610,test,6_1
180635,9925,train,6_0
125055,59550,val,4_1
150860,129025,train,5_4
168725,115130,test,5_3
194530,109175,train,6_3
45655,103220,train,1_3
174680,3970,train,5_0
11910,121085,val,0_4
152845,95280,test,5_3
140935,0,train,4_0
25805,127040,val,0_4
59550,93295,train,1_3
111160,127040,val,3_4
69475,0,val,2_0
121085,107190,test,4_3
129025,101235,test,4_3
25805,134980,val,0_4
65505,79400,train,2_2
206440,109175,train,6_3
162770,35730,test,5_1
144905,95280,test,4_3
91310,121085,val,3_4
168725,31760,test,5_1
156815,125055,train,5_4
91310,89325,test,3_2
55580,67490,train,1_2
73445,109175,train,2_3
170710,31760,test,5_1
172695,97265,test,5_3
111160,146890,val,3_4
39700,117115,train,1_3
142920,35730,val,4_1
95280,83370,test,3_2
134980,103220,test,4_3
33745,101235,train,1_3
87340,55580,val,2_1
0,138950,val,0_4
91310,67490,test,3_2
119100,121085,val,3_4
77415,87340,train,2_2
210410,138950,train,7_4
61535,81385,train,2_2
184605,17865,train,6_0
142920,101235,test,4_3
105205,87340,test,3_2
103220,146890,val,3_4
164755,45655,test,5_1
105205,146890,val,3_4
190560,103220,train,6_3
87340,47640,val,2_1
61535,91310,train,2_3
200485,123070,train,6_4
178650,95280,test,5_3
101235,5955,test,3_0
19850,121085,val,0_4
61535,127040,val,2_4
115130,127040,val,3_4
23820,134980,val,0_4
208425,75430,train,6_2
196515,31760,test,6_1
166740,43670,test,5_1
180635,11910,train,6_0
136965,3970,train,4_0
119100,93295,val,3_3
188575,9925,train,6_0
200485,0,train,6_0
184605,131010,train,6_4
109175,129025,val,3_4
43670,111160,train,1_3
97265,1985,test,3_0
67490,0,val,2_0
168725,99250,test,5_3
29775,0,val,0_0
21835,121085,val,0_4
1985,9925,val,0_0
29775,132995,val,0_4
119100,85355,test,3_2
59550,99250,train,1_3
174680,41685,test,5_1
131010,49625,val,4_1
188575,45655,test,6_1
127040,99250,test,4_3
174680,19850,train,5_0
117115,109175,val,3_3
61535,79400,train,2_2
154830,33745,test,5_1
125055,43670,val,4_1
194530,35730,test,6_1
138950,0,train,4_0
174680,39700,test,5_1
192545,107190,train,6_3
29775,134980,val,0_4
17865,127040,val,0_4
150860,1985,train,5_0
150860,103220,test,5_3
1985,144905,val,0_4
45655,132995,train,1_4
132995,59550,val,4_1
57565,91310,train,1_3
99250,93295,val,3_3
103220,129025,val,3_4
198500,103220,train,6_3
99250,69475,test,3_2
103220,67490,test,3_2
1985,23820,val,0_0
196515,19850,train,6_0
97265,83370,test,3_2
146890,95280,test,4_3
186590,17865,train,6_0
198500,111160,train,6_3
55580,81385,train,1_2
109175,49625,train,3_1
150860,105205,test,5_3
1985,127040,val,0_4
138950,13895,train,4_0
91310,69475,test,3_2
148875,53595,val,4_1
69475,47640,val,2_1
91310,31760,train,3_1
103220,49625,train,3_1
170710,1985,train,5_0
119100,125055,val,3_4
15880,105205,train,0_3
156815,131010,train,5_4
180635,1985,train,6_0
198500,19850,train,6_0
13895,125055,val,0_4
136965,107190,test,4_3
132995,31760,val,4_1
167601,47935,train,neg
167601,51007,train,neg
169137,50495,train,neg
114423,31053,train,neg
169649,50495,train,neg
145576,29626,train,neg
173745,50495,train,neg
172209,49471,train,neg
172209,51007,train,neg
113911,32077,train,neg
170673,46911,train,neg
172721,49983,train,neg
127878,112661,train,neg
129414,112661,train,neg
170673,49471,train,neg
167601,48959,train,neg
127615,64404,train,neg
126591,65428,train,neg
105144,16550,train,neg
170673,51519,train,neg
127103,64404,train,neg
144040,29626,train,neg
126079,65428,train,neg
172209,53055,train,neg
106680,18598,train,neg
127615,63380,train,neg
105656,18598,train,neg
170673,52031,train,neg
125567,65428,train,neg
106680,17574,train,neg
107192,17062,train,neg
128390,114197,train,neg
113399,31053,train,neg
144552,28602,train,neg
127878,112149,train,neg
114423,31565,train,neg
173233,50495,train,neg
113911,31053,train,neg
145576,29114,train,neg
107192,17574,train,neg
167601,47423,train,neg
169649,48447,train,neg
171185,48959,train,neg
129926,113173,train,neg
144040,30138,train,neg
173233,51519,train,neg
144552,30138,train,neg
107192,18598,train,neg
106168,17574,train,neg
170161,48959,train,neg
170673,47423,train,neg
127878,113685,train,neg
105144,18598,train,neg
113399,32077,train,neg
113399,31565,train,neg
145064,28602,train,neg
107192,18086,train,neg
129414,114197,train,neg
171697,51519,train,neg
171697,51007,train,neg
171697,52543,train,neg
128390,113685,train,neg
173233,49983,train,neg
107192,15526,train,neg
