row_off,col_off,split,block
51870,44555,train,5_4
59850,46550,train,6_4
65835,39900,train,6_4
41230,35910,train,4_3
38570,28595,train,3_2
11305,47880,val,1_4
25270,33250,val,2_3
1995,41230,test,0_4
42560,17290,train,4_1
41895,30590,train,4_3
51205,42560,train,5_4
54530,11970,test,5_1
55195,12635,test,5_1
59850,35910,train,6_3
37240,33915,train,3_3
64505,45220,train,6_4
13965,33250,train,1_3
30590,46550,test,3_4
22610,36575,val,2_3
38570,39900,test,3_4
21280,32585,val,2_3
56525,15295,test,5_1
10640,47215,val,1_4
47880,43890,train,4_4
7980,45220,test,0_4
53865,27265,val,5_2
51205,9975,test,5_1
20615,29925,val,2_3
39900,31255,train,4_3
52535,6650,val,5_0
51205,19285,test,5_1
19950,29925,val,2_3
53865,21280,val,5_2
54530,7980,val,5_0
42560,25270,train,4_2
33915,16625,test,3_1
19950,32585,val,2_3
50540,46550,train,5_4
69160,26600,val,7_2
15960,42560,val,1_4
63840,19950,train,6_2
53865,9310,val,5_0
50540,35245,train,5_3
53865,7980,val,5_0
11305,43890,val,1_4
9975,48545,val,1_4
43890,37240,train,4_3
51870,39235,train,5_3
15295,34580,train,1_3
5320,41895,test,0_4
6650,49210,test,0_4
4655,35245,train,0_3
55195,25935,val,5_2
22610,44555,train,2_4
55860,44555,train,5_4
15960,43225,val,1_4
29260,21945,val,2_2
7980,41230,test,0_4
39235,6650,test,3_0
22610,31920,val,2_3
61180,47880,train,6_4
52535,38570,train,5_3
19950,33250,val,2_3
9975,42560,val,1_4
51870,13965,test,5_1
27930,38570,val,2_3
29260,23275,val,2_2
39235,44555,test,3_4
51205,44555,train,5_4
52535,48545,train,5_4
49210,47880,train,4_4
57190,9310,val,5_0
37240,15295,test,3_1
4655,39900,test,0_4
19950,28595,val,2_2
69160,43890,val,7_4
3990,41230,test,0_4
49875,37905,train,5_3
27265,25935,val,2_2
53865,8645,val,5_0
23940,20615,val,2_2
63840,28595,train,6_2
59185,17955,test,5_1
57190,47215,train,5_4
3325,34580,train,0_3
55195,46550,train,5_4
52535,10640,test,5_1
12635,23275,train,1_2
5985,41230,test,0_4
23940,21945,val,2_2
665,39900,test,0_4
55860,45220,train,5_4
25935,39235,val,2_3
59850,41895,train,6_4
37905,15295,test,3_1
59185,19285,test,5_1
4655,42560,test,0_4
50540,9975,test,5_1
59185,3325,val,5_0
48545,30590,train,4_3
64505,44555,train,6_4
69825,17955,train,7_1
11305,34580,train,1_3
32585,27930,train,3_2
53865,43890,train,5_4
20615,33250,val,2_3
49875,9975,test,5_1
66500,22610,train,6_2
48545,43890,train,4_4
9975,35910,train,1_3
19950,25270,val,2_2
35910,45220,test,3_4
66500,20615,train,6_2
4655,35910,train,0_3
53865,46550,train,5_4
45220,16625,train,4_1
9310,47880,test,0_4
4655,40565,test,0_4
11305,41895,val,1_4
52535,8645,val,5_0
25935,25935,val,2_2
8645,46550,test,0_4
49875,6650,val,5_0
3990,39900,test,0_4
23275,21945,val,2_2
44555,7315,train,4_0
65835,31920,train,6_3
4655,49210,test,0_4
20615,32585,val,2_3
19950,31920,val,2_3
55860,7315,val,5_0
69825,27930,val,7_2
49875,11305,test,5_1
60515,41895,train,6_4
49875,33915,train,5_3
49875,24605,val,5_2
18620,49210,val,1_4
53865,45220,train,5_4
19950,30590,val,2_3
49210,45220,train,4_4
37905,28595,train,3_2
5320,39900,test,0_4
23275,31255,val,2_3
26600,34580,val,2_3
20615,31920,val,2_3
56525,14630,test,5_1
20615,8645,train,2_0
64505,37905,train,6_3
6650,39900,test,0_4
35245,41895,test,3_4
13300,49210,val,1_4
13965,39900,val,1_4
52535,21280,val,5_2
22610,49210,train,2_4
52535,45220,train,5_4
37240,48545,test,3_4
21280,23275,val,2_2
21280,21280,val,2_2
3990,35245,train,0_3
35245,29925,train,3_3
3325,41230,test,0_4
37905,29260,train,3_2
6650,42560,test,0_4
49210,37905,train,4_3
9310,47215,test,0_4
25270,47880,train,2_4
22610,23940,val,2_2
47880,35910,train,4_3
63175,45885,train,6_4
33915,32585,train,3_3
31920,15295,test,3_1
53865,6650,val,5_0
33915,26600,train,3_2
20615,31255,val,2_3
7315,41230,test,0_4
1995,40565,test,0_4
60515,41230,train,6_4
9310,35910,train,0_3
21280,34580,val,2_3
37905,27930,train,3_2
53200,9975,test,5_1
17955,43890,val,1_4
21945,13965,train,2_1
7980,39900,test,0_4
32585,45220,test,3_4
37240,27930,train,3_2
43225,17955,train,4_1
8645,45220,test,0_4
20615,28595,val,2_2
64505,29925,train,6_3
20615,30590,val,2_3
55860,47215,train,5_4
35245,39900,test,3_4
25935,34580,val,2_3
59185,5320,val,5_0
69160,8645,train,7_0
52535,43225,train,5_4
34580,47215,test,3_4
9310,43890,test,0_4
45885,5320,train,4_0
45220,22610,train,4_2
58520,23275,val,5_2
19950,3325,train,2_0
55195,11305,test,5_1
9975,8645,train,1_0
63175,4655,train,6_0
65170,7980,train,6_0
36575,28595,train,3_2
2660,45220,test,0_4
37240,26600,train,3_2
51870,32585,train,5_3
57855,21945,val,5_2
60515,44555,train,6_4
50540,7315,val,5_0
56525,11970,test,5_1
27265,34580,val,2_3
37905,17955,test,3_1
