row_off,col_off,split,block
38423,3992,val,5_0
12475,35928,val,1_4
47405,13473,train,6_1
15968,29441,val,2_3
27944,21457,val,3_2
39421,36427,train,5_4
37425,26447,train,5_3
11976,21457,val,1_2
38922,4491,val,5_0
11477,26447,train,1_3
51896,32934,train,6_4
23952,19960,val,3_2
29441,35429,train,3_4
28443,20958,val,3_2
49401,34431,train,6_4
43413,6487,val,5_0
33932,16467,train,4_2
42415,28942,train,5_3
51896,34930,train,6_4
51896,19960,train,6_2
31936,14471,train,4_1
41916,13473,test,5_1
26946,33433,train,3_4
998,34930,test,0_4
37924,34930,train,5_4
5489,18962,train,0_2
14970,28443,val,2_3
35928,34431,train,4_4
39421,27445,train,5_3
6487,32934,test,0_4
39920,8982,test,5_1
2994,30439,test,0_4
499,35928,test,0_4
46906,33932,train,6_4
16467,33433,test,2_4
2994,36427,test,0_4
37924,7984,test,5_1
46407,22455,train,6_3
22954,25449,test,3_3
43912,28942,train,5_3
49900,3992,test,6_0
6487,34431,test,0_4
17465,22954,val,2_3
17964,7984,train,2_1
44411,7485,test,5_1
14970,22954,val,2_3
30938,12974,train,4_1
43912,34431,train,5_4
45409,4491,test,6_0
1497,36427,test,0_4
31936,3493,train,4_0
42415,4990,val,5_0
38423,5489,val,5_0
42415,10479,test,5_1
25449,16966,val,3_2
27944,14970,val,3_2
41417,13972,test,5_1
17465,14471,train,2_1
44411,17964,val,5_2
28443,21457,val,3_2
27445,32435,train,3_4
23453,18463,val,3_2
51397,32435,train,6_4
37425,28443,train,5_3
44411,29940,train,5_4
35928,31936,train,4_4
1996,29940,test,0_4
13972,18962,val,1_2
5988,33932,test,0_4
15469,30439,test,2_4
51397,24451,train,6_3
7984,35928,val,1_4
4491,32435,test,0_4
25449,27445,test,3_3
41417,4491,val,5_0
7485,34930,val,1_4
31936,32435,train,4_4
46407,2994,test,6_0
40918,10978,test,5_1
39920,29940,train,5_4
19461,35429,test,2_4
22455,6986,train,3_0
42914,34431,train,5_4
30439,33932,train,4_4
37425,19461,val,5_2
27445,21457,val,3_2
2495,29940,test,0_4
38423,20459,val,5_2
998,29940,test,0_4
39421,19461,val,5_2
21457,36427,test,2_4
6487,30439,test,0_4
45409,3992,test,6_0
4990,30439,test,0_4
46407,6986,test,6_0
4491,29940,test,0_4
29441,34431,train,3_4
38922,4990,val,5_0
11477,29940,val,1_4
44910,33932,train,6_4
3493,29940,test,0_4
13972,19960,val,1_2
9481,32934,val,1_4
38922,6487,val,5_0
19960,31936,test,2_4
7485,32934,val,1_4
14471,33932,val,1_4
24451,21457,val,3_2
3992,30439,test,0_4
46407,4491,test,6_0
33433,6487,train,4_0
22954,12974,val,3_1
45908,24950,train,6_3
19960,35928,test,2_4
6986,30938,test,0_4
41916,6487,val,5_0
46906,34930,train,6_4
2495,25948,train,0_3
35928,24451,train,4_3
5489,34930,test,0_4
15968,23952,val,2_3
40419,32934,train,5_4
26946,32934,train,3_4
41916,7984,test,5_1
33433,6986,train,4_0
42415,11477,test,5_1
12475,33932,val,1_4
4491,19461,train,0_2
42415,35429,train,5_4
13473,19461,val,1_2
35429,22954,train,4_3
24451,17465,val,3_2
40419,6487,val,5_0
41916,16467,val,5_2
15469,31936,test,2_4
1497,26946,train,0_3
39421,5489,val,5_0
499,35429,test,0_4
9980,24950,train,1_3
499,30938,test,0_4
23952,27944,test,3_3
32435,17465,train,4_2
38423,18962,val,5_2
16467,25449,val,2_3
6986,32435,test,0_4
15968,11477,train,2_1
2994,30938,test,0_4
11976,26946,train,1_3
17964,16467,train,2_2
3493,24950,train,0_3
39421,34930,train,5_4
44411,2495,val,5_0
28942,499,train,3_0
14471,17465,val,1_2
19461,24950,val,2_3
21457,25948,val,2_3
8982,34431,val,1_4
6986,34930,test,0_4
5988,31437,test,0_4
37425,23453,train,5_3
6487,33932,test,0_4
41417,7485,test,5_1
51896,10978,train,6_1
23453,16966,val,3_2
41417,11477,test,5_1
40419,4990,val,5_0
42415,7485,test,5_1
28942,20459,val,3_2
15469,26946,val,2_3
6487,32435,test,0_4
9481,26447,train,1_3
30439,33433,train,4_4
2495,26447,train,0_3
5988,31936,test,0_4
39421,35429,train,5_4
28443,33932,train,3_4
47405,26447,train,6_3
15469,30938,test,2_4
5988,33433,test,0_4
41916,4990,val,5_0
40918,10479,test,5_1
26946,11976,val,3_1
39920,36427,train,5_4
40918,32934,train,5_4
23952,17465,val,3_2
27445,34930,train,3_4
28443,34930,train,3_4
42914,7485,test,5_1
38922,25948,train,5_3
21457,32934,test,2_4
46407,33433,train,6_4
5988,30439,test,0_4
8483,30439,val,1_4
51896,33433,train,6_4
17964,33932,test,2_4
43912,4990,val,5_0
5489,31936,test,0_4
6487,10479,train,0_1
41417,34431,train,5_4
24950,21457,val,3_2
50399,22455,train,6_3
45908,22455,train,6_3
13972,20958,val,1_2
41916,11477,test,5_1
1497,29940,test,0_4
37425,10978,test,5_1
13972,21956,val,1_2
28443,28942,test,3_3
40918,16467,val,5_2
48403,3493,test,6_0
41916,33433,train,5_4
39421,32934,train,5_4
18463,31936,test,2_4
42914,11477,test,5_1
13473,33433,val,1_4
44910,4491,test,6_0
13972,19461,val,1_2
15968,30938,test,2_4
1996,26447,train,0_3
8483,32934,val,1_4
37425,29441,train,5_3
43413,4491,val,5_0
20459,33932,test,2_4
21956,31437,test,2_4
45908,5489,test,6_0
16966,30938,test,2_4
40918,34930,train,5_4
30938,3493,train,4_0
1497,30439,test,0_4
44910,28942,train,6_3
38423,15469,val,5_2
2994,26447,train,0_3
33932,25449,train,4_3
38922,9481,test,5_1
33932,33433,train,4_4
27445,17964,val,3_2
38922,17465,val,5_2
25449,22455,test,3_3
5489,10479,train,0_1
1996,26946,train,0_3
50399,34930,train,6_4
14970,22455,val,2_3
4990,32435,test,0_4
25948,4491,train,3_0
43912,8483,test,5_1
36427,30938,train,4_4
43413,34431,train,5_4
18463,22455,val,2_3
998,35928,test,0_4
9481,36427,val,1_4
50399,33433,train,6_4
51896,11976,train,6_1
39421,8483,test,5_1
6986,34431,test,0_4
45908,4990,test,6_0
5489,33932,test,0_4
30439,9980,train,4_1
15469,23952,val,2_3
45908,5988,test,6_0
3992,34930,test,0_4
43413,9481,test,5_1
40918,34431,train,5_4
39421,23952,train,5_3
49401,27944,train,6_3
40918,5988,val,5_0
2994,34930,test,0_4
37924,15968,val,5_2
41417,11976,test,5_1
6986,31437,test,0_4
34930,15469,train,4_2
33433,19960,train,4_2
0,34930,test,0_4
42415,8982,test,5_1
1996,30439,test,0_4
31936,499,train,4_0
24451,11477,val,3_1
44411,13473,test,5_1
51397,25948,train,6_3
42914,6487,val,5_0
38423,11976,test,5_1
39421,9980,test,5_1
22455,17465,val,3_2
37425,4491,val,5_0
24950,33433,train,3_4
19960,25449,val,2_3
51896,12475,train,6_1
46407,1996,test,6_0
37924,35928,train,5_4
48902,17465,train,6_2
50898,13972,train,6_1
14970,24451,val,2_3
29441,28942,test,3_3
40918,7485,test,5_1
4990,31437,test,0_4
5489,26447,train,0_3
45409,6986,test,6_0
7485,25948,train,1_3
15968,8982,train,2_1
23952,16966,val,3_2
2495,26946,train,0_3
44411,33932,train,5_4
18962,36427,test,2_4
26946,34930,train,3_4
33932,8982,train,4_1
4491,31437,test,0_4
27445,33433,train,3_4
39920,13972,test,5_1
25449,17964,val,3_2
19960,25948,val,2_3
42914,5988,val,5_0
40419,13473,test,5_1
6487,25948,train,0_3
499,31437,test,0_4
36427,23453,train,4_3
51896,499,test,6_0
17465,23453,val,2_3
48403,17964,train,6_2
38423,2495,val,5_0
