row_off,col_off,split,block
30439,30938,train,4_4
14471,17964,val,1_2
24950,17465,val,3_2
8483,32934,val,1_4
7984,31437,val,1_4
14970,22455,val,2_3
39920,32934,train,5_4
37924,9980,test,5_1
41417,11976,test,5_1
47405,16966,train,6_2
28942,20459,val,3_2
49900,6986,test,6_0
29940,3992,train,4_0
28443,21457,val,3_2
49401,34431,train,6_4
19960,25948,val,2_3
29940,4990,train,4_0
36926,27944,train,4_3
29441,23453,test,3_3
26447,21956,val,3_2
10978,25449,train,1_3
26946,32934,train,3_4
998,34930,test,0_4
37924,35928,train,5_4
5489,18962,train,0_2
14970,29441,val,2_3
28942,35928,train,3_4
6986,26447,train,0_3
499,35928,test,0_4
28942,31936,train,3_4
41916,35429,train,5_4
16467,33433,test,2_4
2994,36427,test,0_4
7485,25948,train,1_3
9481,31936,val,1_4
27445,18962,val,3_2
49900,1996,test,6_0
29441,20459,val,3_2
17964,7984,train,2_1
11477,29940,val,1_4
19461,24950,val,2_3
48403,16966,train,6_2
39421,34431,train,5_4
998,29940,test,0_4
1497,36427,test,0_4
44910,29441,train,6_3
29441,14471,val,3_1
1996,26946,train,0_3
39421,27445,train,5_3
18463,14970,train,2_2
12475,30439,val,1_4
17465,31437,test,2_4
2495,30439,test,0_4
28443,19461,val,3_2
17465,14471,train,2_1
28942,21956,val,3_2
42914,6487,val,5_0
33433,28942,train,4_3
11976,30938,val,1_4
50898,29441,train,6_3
5988,33433,test,0_4
38423,10479,test,5_1
47405,17964,train,6_2
41417,6487,val,5_0
49900,30439,train,6_4
38922,8483,test,5_1
14471,20459,val,1_2
18962,22455,val,2_3
32934,6487,train,4_0
29441,9980,val,3_1
31936,4990,train,4_0
37425,19960,val,5_2
22455,17465,val,3_2
44411,28942,train,5_3
25948,33433,train,3_4
46407,2994,test,6_0
43413,24950,train,5_3
23453,21457,val,3_2
19461,35429,test,2_4
40419,33932,train,5_4
30439,34431,train,4_4
5489,30938,test,0_4
45409,5489,test,6_0
9980,26946,train,1_3
5489,30439,test,0_4
33932,15968,train,4_2
40419,4990,val,5_0
5489,32435,test,0_4
21457,36427,test,2_4
6986,32435,test,0_4
41916,5988,val,5_0
34431,7485,train,4_1
40419,8982,test,5_1
4491,31936,test,0_4
15469,23952,val,2_3
39421,13473,test,5_1
35928,33433,train,4_4
6487,32435,test,0_4
37425,25948,train,5_3
23952,16467,val,3_2
28443,18962,val,3_2
42415,33932,train,5_4
1996,26447,train,0_3
38922,8982,test,5_1
17964,16467,train,2_2
48403,13972,train,6_1
35429,28942,train,4_3
2994,30938,test,0_4
38922,26447,train,5_3
13972,21956,val,1_2
998,30439,test,0_4
50399,16467,train,6_2
35429,29940,train,4_4
19960,35928,test,2_4
43413,11477,test,5_1
46906,34930,train,6_4
41916,10978,test,5_1
44411,4491,val,5_0
48902,31936,train,6_4
47405,22954,train,6_3
7984,24451,train,1_3
48403,11976,train,6_1
45908,2994,test,6_0
26447,36427,train,3_4
5988,30938,test,0_4
9980,26447,train,1_3
32934,5988,train,4_0
41916,6487,val,5_0
40419,26946,train,5_3
4491,19461,train,0_2
6986,30938,test,0_4
46906,35429,train,6_4
36926,0,train,4_0
39421,5988,val,5_0
40918,21956,val,5_2
14471,18962,val,1_2
11477,30439,val,1_4
41417,15968,val,5_2
37425,9980,test,5_1
499,35429,test,0_4
41916,6986,val,5_0
8483,32435,val,1_4
39920,10479,test,5_1
48902,29441,train,6_3
23952,10978,val,3_1
44910,4491,test,6_0
43912,6487,val,5_0
15968,11477,train,2_1
41417,13972,test,5_1
5988,33932,test,0_4
33433,3493,train,4_0
52395,24950,test,7_3
33932,36427,train,4_4
28443,34930,train,3_4
28942,499,train,3_0
45908,29441,train,6_3
44411,16467,val,5_2
5988,31437,test,0_4
24950,11477,val,3_1
27944,20958,val,3_2
41916,8982,test,5_1
23453,16467,val,3_2
45908,4491,test,6_0
40918,8982,test,5_1
6986,33433,test,0_4
48403,25948,train,6_3
1996,25948,train,0_3
44411,5489,val,5_0
37924,5988,val,5_0
1497,24451,train,0_3
41417,4990,val,5_0
8483,25449,train,1_3
30439,33932,train,4_4
14970,24451,val,2_3
6986,31437,test,0_4
39421,35928,train,5_4
29940,36427,train,4_4
10479,35928,val,1_4
34431,23952,train,4_3
6487,30439,test,0_4
15968,33932,test,2_4
44411,2495,val,5_0
40918,32934,train,5_4
37924,7984,test,5_1
26447,33932,train,3_4
28443,34431,train,3_4
13473,35429,val,1_4
21457,32934,test,2_4
42415,34431,train,5_4
1497,29940,test,0_4
23453,19960,val,3_2
27944,35928,train,3_4
17964,33932,test,2_4
6487,34431,test,0_4
13972,19960,val,1_2
6487,10479,train,0_1
46407,33433,train,6_4
25948,12475,val,3_1
25449,26447,test,3_3
16966,22954,val,2_3
40419,8483,test,5_1
13473,19461,val,1_2
12475,21956,val,1_2
3992,34431,test,0_4
6986,34431,test,0_4
30439,6986,train,4_0
33932,24950,train,4_3
5489,24950,train,0_3
41916,33433,train,5_4
34431,15469,train,4_2
26447,22954,test,3_3
38423,25449,train,5_3
27944,34930,train,3_4
47904,24451,train,6_3
38423,28942,train,5_3
6986,31936,test,0_4
6487,32934,test,0_4
33932,12475,train,4_1
27944,17465,val,3_2
43413,19461,val,5_2
43413,4990,val,5_0
6487,26447,train,0_3
39421,8483,test,5_1
41417,6986,val,5_0
20459,33932,test,2_4
16966,24950,val,2_3
4990,31437,test,0_4
50399,14471,train,6_1
40918,34930,train,5_4
49900,5988,test,6_0
41916,4990,val,5_0
41916,13473,test,5_1
28942,19960,val,3_2
51896,12475,train,6_1
38423,5988,val,5_0
11976,26946,train,1_3
45908,32435,train,6_4
42914,5489,val,5_0
43912,12974,test,5_1
43912,7984,test,5_1
5489,10479,train,0_1
45409,4491,test,6_0
9481,31437,val,1_4
39920,33433,train,5_4
2495,26447,train,0_3
7485,34930,val,1_4
1996,30439,test,0_4
51896,28443,train,6_3
37425,15968,val,5_2
27445,34930,train,3_4
41417,31936,train,5_4
998,35928,test,0_4
9481,36427,val,1_4
50399,33433,train,6_4
48403,28443,train,6_3
47904,14471,train,6_1
20958,31936,test,2_4
40918,34431,train,5_4
40918,7984,test,5_1
28443,36427,train,3_4
18962,25948,val,2_3
2994,34930,test,0_4
15469,32435,test,2_4
2994,26447,train,0_3
18463,29441,val,2_3
0,34930,test,0_4
52395,10978,train,7_1
31936,499,train,4_0
17964,15469,train,2_2
39920,26447,train,5_3
44411,15968,val,5_2
22954,16467,val,3_2
45908,5489,test,6_0
49401,35429,train,6_4
2495,30938,test,0_4
8982,24451,train,1_3
41916,8483,test,5_1
7984,26946,train,1_3
52395,30938,train,7_4
46407,34431,train,6_4
22954,18962,val,3_2
40918,7485,test,5_1
13473,30938,val,1_4
13972,20958,val,1_2
15469,23453,val,2_3
9481,24451,train,1_3
46407,31437,train,6_4
15968,8982,train,2_1
37425,8982,test,5_1
13972,21457,val,1_2
26447,34930,train,3_4
18962,36427,test,2_4
27944,20459,val,3_2
26946,33433,train,3_4
15968,31437,test,2_4
6986,33932,test,0_4
37425,35928,train,5_4
33932,29441,train,4_3
13972,35429,val,1_4
4990,29940,test,0_4
37924,6487,val,5_0
26447,27445,test,3_3
499,25948,train,0_3
51896,499,test,6_0
19461,16966,train,2_2
24950,9481,val,3_1
37425,29940,train,5_4
7984,35928,val,1_4
44411,3992,val,5_0
45409,30938,train,6_4
39920,27944,train,5_3
6487,33932,test,0_4
40918,6986,val,5_0
48902,21956,train,6_2
2994,30439,test,0_4
27445,21457,val,3_2
